compiler,engine,panel,portfolio,workloads,geometric_mean_throughput_delta_percent,guard,threshold_percent
clang,rxtvm,profile-15,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,1.855609,no,
clang,rxtvm,profile-15,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,2.963348,no,
clang,rxtvm,profile-15,common-five,Sieve+Permute+Bounce+Richards+Base64,3.576584,no,1.0
clang,rxtvm,profile-20,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,3.857256,no,
clang,rxtvm,profile-20,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,3.393900,no,
clang,rxtvm,profile-20,common-five,Sieve+Permute+Bounce+Richards+Base64,5.475061,no,1.0
clang,rxtvm,profile-30,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,-1.109000,no,
clang,rxtvm,profile-30,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,-1.068595,no,
clang,rxtvm,profile-30,common-five,Sieve+Permute+Bounce+Richards+Base64,-1.088586,yes,1.0
clang,rxbvm,profile-15,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,2.607917,no,
clang,rxbvm,profile-15,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,2.300988,no,
clang,rxbvm,profile-15,common-five,Sieve+Permute+Bounce+Richards+Base64,4.647013,no,1.0
clang,rxbvm,profile-20,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,3.151819,no,
clang,rxbvm,profile-20,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,2.597472,no,
clang,rxbvm,profile-20,common-five,Sieve+Permute+Bounce+Richards+Base64,4.696938,no,1.0
clang,rxbvm,profile-30,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,1.354511,no,
clang,rxbvm,profile-30,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,0.207562,no,
clang,rxbvm,profile-30,common-five,Sieve+Permute+Bounce+Richards+Base64,2.160278,no,1.0
