compiler,engine,panel,workload,metric,candidate_cell,control_cell,candidate_median,control_median,throughput_ratio,throughput_delta_percent,guard_3pct
clang,rxtvm,profile-20,RexxCPS,benchmark_rate,rexxcps-rxtvm-clang-r5-profile-20,rexxcps-rxtvm-clang-r5-all-inline,45998523.000000,45650354.500000,1.007626852054,0.762685,no
clang,rxtvm,profile-30,Sieve,elapsed_ns,sieve-rxtvm-clang-r5-profile-30,sieve-rxtvm-clang-r5-all-inline,1016043000.000000,1000545000.000000,0.984746708555,-1.525329,no
clang,rxtvm,profile-30,Permute,elapsed_ns,permute-rxtvm-clang-r5-profile-30,permute-rxtvm-clang-r5-all-inline,1791848000.000000,1777517000.000000,0.992002111786,-0.799789,no
clang,rxtvm,profile-30,Bounce,elapsed_ns,bounce-rxtvm-clang-r5-profile-30,bounce-rxtvm-clang-r5-all-inline,1091071500.000000,1082810000.000000,0.992428085602,-0.757191,no
clang,rxtvm,profile-30,Richards,elapsed_ns,richards-rxtvm-clang-r5-profile-30,richards-rxtvm-clang-r5-all-inline,2105609500.000000,2084401500.000000,0.989927856993,-1.007214,no
clang,rxtvm,profile-30,Base64,elapsed_ns,base64-rxtvm-clang-r5-profile-30,base64-rxtvm-clang-r5-all-inline,1690458000.000000,1667618500.000000,0.986489164475,-1.351084,no
clang,rxtvm,profile-30,Towers,elapsed_ns,towers-rxtvm-clang-r5-profile-30,towers-rxtvm-clang-r5-all-inline,2016153500.000000,2002632500.000000,0.993293665388,-0.670633,no
clang,rxtvm,profile-30,RexxCPS,benchmark_rate,rexxcps-rxtvm-clang-r5-profile-30,rexxcps-rxtvm-clang-r5-all-inline,44898498.000000,45650354.500000,0.983530105993,-1.646989,no
clang,rxbvm,profile-15,Sieve,elapsed_ns,sieve-rxbvm-clang-r5-profile-15,sieve-rxbvm-clang-r5-all-inline,961176500.000000,1033304500.000000,1.075041368573,7.504137,no
clang,rxbvm,profile-15,Permute,elapsed_ns,permute-rxbvm-clang-r5-profile-15,permute-rxbvm-clang-r5-all-inline,1676840000.000000,1799604000.000000,1.073211516901,7.321152,no
clang,rxbvm,profile-15,Bounce,elapsed_ns,bounce-rxbvm-clang-r5-profile-15,bounce-rxbvm-clang-r5-all-inline,1054284500.000000,1086196000.000000,1.030268395296,3.026840,no
clang,rxbvm,profile-15,Richards,elapsed_ns,richards-rxbvm-clang-r5-profile-15,richards-rxbvm-clang-r5-all-inline,2067578500.000000,2089528000.000000,1.010616041906,1.061604,no
clang,rxbvm,profile-15,Base64,elapsed_ns,base64-rxbvm-clang-r5-profile-15,base64-rxbvm-clang-r5-all-inline,1678871500.000000,1753899000.000000,1.044689245127,4.468925,no
clang,rxbvm,profile-15,Towers,elapsed_ns,towers-rxbvm-clang-r5-profile-15,towers-rxbvm-clang-r5-all-inline,2043237500.000000,2039874000.000000,0.998353837965,-0.164616,no
clang,rxbvm,profile-15,RexxCPS,benchmark_rate,rexxcps-rxbvm-clang-r5-profile-15,rexxcps-rxbvm-clang-r5-all-inline,43097732.500000,45092779.000000,0.955756851890,-4.424315,yes
clang,rxbvm,profile-20,Sieve,elapsed_ns,sieve-rxbvm-clang-r5-profile-20,sieve-rxbvm-clang-r5-all-inline,1004369000.000000,1033304500.000000,1.028809630723,2.880963,no
clang,rxbvm,profile-20,Permute,elapsed_ns,permute-rxbvm-clang-r5-profile-20,permute-rxbvm-clang-r5-all-inline,1643371000.000000,1799604000.000000,1.095068612018,9.506861,no
clang,rxbvm,profile-20,Bounce,elapsed_ns,bounce-rxbvm-clang-r5-profile-20,bounce-rxbvm-clang-r5-all-inline,1018646500.000000,1086196000.000000,1.066312994744,6.631299,no
clang,rxbvm,profile-20,Richards,elapsed_ns,richards-rxbvm-clang-r5-profile-20,richards-rxbvm-clang-r5-all-inline,2125972500.000000,2089528000.000000,0.982857492277,-1.714251,no
clang,rxbvm,profile-20,Base64,elapsed_ns,base64-rxbvm-clang-r5-profile-20,base64-rxbvm-clang-r5-all-inline,1646214000.000000,1753899000.000000,1.065413731143,6.541373,no
clang,rxbvm,profile-20,Towers,elapsed_ns,towers-rxbvm-clang-r5-profile-20,towers-rxbvm-clang-r5-all-inline,2048710000.000000,2039874000.000000,0.995687042090,-0.431296,no
clang,rxbvm,profile-20,RexxCPS,benchmark_rate,rexxcps-rxbvm-clang-r5-profile-20,rexxcps-rxbvm-clang-r5-all-inline,44735520.500000,45092779.000000,0.992077256982,-0.792274,no
clang,rxbvm,profile-30,Sieve,elapsed_ns,sieve-rxbvm-clang-r5-profile-30,sieve-rxbvm-clang-r5-all-inline,1030343500.000000,1033304500.000000,1.002873798884,0.287380,no
clang,rxbvm,profile-30,Permute,elapsed_ns,permute-rxbvm-clang-r5-profile-30,permute-rxbvm-clang-r5-all-inline,1741564000.000000,1799604000.000000,1.033326366415,3.332637,no
clang,rxbvm,profile-30,Bounce,elapsed_ns,bounce-rxbvm-clang-r5-profile-30,bounce-rxbvm-clang-r5-all-inline,1079808500.000000,1086196000.000000,1.005915400740,0.591540,no
clang,rxbvm,profile-30,Richards,elapsed_ns,richards-rxbvm-clang-r5-profile-30,richards-rxbvm-clang-r5-all-inline,2124133000.000000,2089528000.000000,0.983708647246,-1.629135,no
clang,rxbvm,profile-30,Base64,elapsed_ns,base64-rxbvm-clang-r5-profile-30,base64-rxbvm-clang-r5-all-inline,1616240500.000000,1753899000.000000,1.085172039681,8.517204,no
clang,rxbvm,profile-30,Towers,elapsed_ns,towers-rxbvm-clang-r5-profile-30,towers-rxbvm-clang-r5-all-inline,2048047500.000000,2039874000.000000,0.996009125765,-0.399087,no
clang,rxbvm,profile-30,RexxCPS,benchmark_rate,rexxcps-rxbvm-clang-r5-profile-30,rexxcps-rxbvm-clang-r5-all-inline,44702820.500000,45092779.000000,0.991352085441,-0.864791,no
