compiler,engine,panel,portfolio,workloads,geometric_mean_throughput_delta_percent,guard,threshold_percent
clang,rxtvm,profile-5,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,-24.086683,no,
clang,rxtvm,profile-5,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,-21.625176,no,
clang,rxtvm,profile-5,common-five,Sieve+Permute+Bounce+Richards+Base64,-26.633984,yes,1.0
clang,rxtvm,profile-10,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,-3.274798,no,
clang,rxtvm,profile-10,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,-0.823055,no,
clang,rxtvm,profile-10,common-five,Sieve+Permute+Bounce+Richards+Base64,-1.174045,yes,1.0
clang,rxtvm,profile-15,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,1.850116,no,
clang,rxtvm,profile-15,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,3.011079,no,
clang,rxtvm,profile-15,common-five,Sieve+Permute+Bounce+Richards+Base64,3.361080,no,1.0
clang,rxtvm,profile-20,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,3.438374,no,
clang,rxtvm,profile-20,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,3.663247,no,
clang,rxtvm,profile-20,common-five,Sieve+Permute+Bounce+Richards+Base64,4.610826,no,1.0
clang,rxtvm,profile-30,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,-0.204447,no,
clang,rxtvm,profile-30,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,-0.413045,no,
clang,rxtvm,profile-30,common-five,Sieve+Permute+Bounce+Richards+Base64,-0.255208,no,1.0
clang,rxtvm,max-eligible,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,-0.723888,no,
clang,rxtvm,max-eligible,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,-0.656164,no,
clang,rxtvm,max-eligible,common-five,Sieve+Permute+Bounce+Richards+Base64,-1.260116,yes,1.0
clang,rxtvm,all-outline,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,-64.195271,no,
clang,rxtvm,all-outline,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,-66.140018,no,
clang,rxtvm,all-outline,common-five,Sieve+Permute+Bounce+Richards+Base64,-72.250149,yes,1.0
clang,rxbvm,profile-5,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,-16.915423,no,
clang,rxbvm,profile-5,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,-17.193851,no,
clang,rxbvm,profile-5,common-five,Sieve+Permute+Bounce+Richards+Base64,-17.542794,yes,1.0
clang,rxbvm,profile-10,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,-3.681211,no,
clang,rxbvm,profile-10,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,-4.257369,no,
clang,rxbvm,profile-10,common-five,Sieve+Permute+Bounce+Richards+Base64,-2.435487,yes,1.0
clang,rxbvm,profile-15,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,3.292181,no,
clang,rxbvm,profile-15,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,1.977262,no,
clang,rxbvm,profile-15,common-five,Sieve+Permute+Bounce+Richards+Base64,5.462071,no,1.0
clang,rxbvm,profile-20,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,5.682223,no,
clang,rxbvm,profile-20,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,3.333310,no,
clang,rxbvm,profile-20,common-five,Sieve+Permute+Bounce+Richards+Base64,7.973072,no,1.0
clang,rxbvm,profile-30,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,1.721655,no,
clang,rxbvm,profile-30,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,0.909619,no,
clang,rxbvm,profile-30,common-five,Sieve+Permute+Bounce+Richards+Base64,2.208590,no,1.0
clang,rxbvm,max-eligible,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,0.068747,no,
clang,rxbvm,max-eligible,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,-2.435505,no,
clang,rxbvm,max-eligible,common-five,Sieve+Permute+Bounce+Richards+Base64,0.150641,no,1.0
clang,rxbvm,all-outline,all-seven,Sieve+Permute+Bounce+Richards+Base64+Towers+RexxCPS,-60.217279,no,
clang,rxbvm,all-outline,without-base64,Sieve+Permute+Bounce+Richards+Towers+RexxCPS,-62.902863,no,
clang,rxbvm,all-outline,common-five,Sieve+Permute+Bounce+Richards+Base64,-68.589371,yes,1.0
