handler,tier
INTERRUPT,OWNER
INULL,RESERVED
LOAD_REG_INT,HOT_05
LOAD_REG_FLOAT,HOT_20
LOAD_REG_STRING,HOT_05
LOAD_REG_REG,MAXIMUM
LOAD_REG_DECIMAL,HOT_30
LOAD_INT_INT,MAXIMUM
LOAD_INT_REG,MAXIMUM
COPY_REG_REG,HOT_05
ICOPY_REG_REG,HOT_05
FCOPY_REG_REG,HOT_30
SCOPY_REG_REG,HOT_05
DCOPY_REG_REG,HOT_20
ACOPY_REG_REG,MAXIMUM
NULL_REG,HOT_10
IADD_REG_REG_REG,HOT_05
IADD_REG_REG_INT,HOT_05
ISUB_REG_REG_REG,HOT_10
ISUB_REG_REG_INT,HOT_10
ISUB_REG_INT_REG,HOT_15
IMULT_REG_REG_REG,MAXIMUM
IMULT_REG_REG_INT,HOT_15
IDIV_REG_REG_REG,MAXIMUM
IDIV_REG_REG_INT,HOT_15
IDIV_REG_INT_REG,MAXIMUM
IMOD_REG_REG_REG,MAXIMUM
IMOD_REG_REG_INT,HOT_10
IMOD_REG_INT_REG,MAXIMUM
INC_REG,MAXIMUM
DEC_REG,MAXIMUM
INC0,MAXIMUM
DEC0,MAXIMUM
INC1,HOT_30
DEC1,MAXIMUM
INC2,MAXIMUM
DEC2,MAXIMUM
BR_ID,HOT_05
BRT_ID_REG,HOT_05
BRF_ID_REG,HOT_05
BRTF_ID_ID_REG,HOT_05
BEQ_ID_REG_REG,MAXIMUM
BEQ_ID_REG_INT,HOT_15
BNE_ID_REG_REG,HOT_30
BNE_ID_REG_INT,HOT_10
CALL_FUNC,MAXIMUM
CALL_REG_FUNC,HOT_30
CALL_REG_FUNC_REG,HOT_30
DCALL_REG_REG_REG,MAXIMUM
RET,HOT_10
RET_REG,HOT_10
RET_INT,HOT_15
RET_FLOAT,MAXIMUM
RET_STRING,HOT_30
EXIT,MAXIMUM
EXIT_REG,MAXIMUM
EXIT_INT,MAXIMUM
SETOBJTYPE_REG_STRING,HOT_20
SRCMETHODSEL_REG_REG_STRING,MAXIMUM
SRCFPROCSEL_REG_STRING_REG,MAXIMUM
TYPEOF_REG_REG,MAXIMUM
ISTYPE_REG_REG_STRING,MAXIMUM
ASSERTTYPE_REG_STRING,HOT_20
SOCKNEW_REG,NEVER
SOCKCLOSE_REG_REG,NEVER
SOCKCONNECT_REG_REG_REG,NEVER
SOCKBIND_REG_REG_REG,NEVER
SOCKLISTEN_REG_REG_REG,NEVER
SOCKACCEPT_REG_REG,NEVER
SOCKSHUTDOWN_REG_REG_REG,NEVER
SOCKSEND_REG_REG_REG,NEVER
SOCKSENDB_REG_REG_REG,NEVER
