compiler,engine,panel,workload,metric,candidate_cell,control_cell,candidate_median,control_median,throughput_ratio,throughput_delta_percent,guard_3pct
clang,rxtvm,profile-5,Sieve,elapsed_ns,sieve-rxtvm-clang-r5-profile-5,sieve-rxtvm-clang-r5-all-inline,1176579500.000000,1001544500.000000,0.851234022010,-14.876598,yes
clang,rxtvm,profile-5,Permute,elapsed_ns,permute-rxtvm-clang-r5-profile-5,permute-rxtvm-clang-r5-all-inline,2861999000.000000,1782886500.000000,0.622951475525,-37.704852,yes
clang,rxtvm,profile-5,Bounce,elapsed_ns,bounce-rxtvm-clang-r5-profile-5,bounce-rxtvm-clang-r5-all-inline,1564976500.000000,1097604500.000000,0.701355259967,-29.864474,yes
clang,rxtvm,profile-5,Richards,elapsed_ns,richards-rxtvm-clang-r5-profile-5,richards-rxtvm-clang-r5-all-inline,2266158000.000000,2066128500.000000,0.911731882773,-8.826812,yes
clang,rxtvm,profile-5,Base64,elapsed_ns,base64-rxtvm-clang-r5-profile-5,base64-rxtvm-clang-r5-all-inline,2649417500.000000,1660797500.000000,0.626853827304,-37.314617,yes
clang,rxtvm,profile-5,Towers,elapsed_ns,towers-rxtvm-clang-r5-profile-5,towers-rxtvm-clang-r5-all-inline,2125754500.000000,2020808500.000000,0.950631175895,-4.936882,yes
clang,rxtvm,profile-5,RexxCPS,benchmark_rate,rexxcps-rxtvm-clang-r5-profile-5,rexxcps-rxtvm-clang-r5-all-inline,32743338.000000,45539045.000000,0.719016790976,-28.098321,yes
clang,rxtvm,profile-10,Sieve,elapsed_ns,sieve-rxtvm-clang-r5-profile-10,sieve-rxtvm-clang-r5-all-inline,919892500.000000,1001544500.000000,1.088762545624,8.876255,no
clang,rxtvm,profile-10,Permute,elapsed_ns,permute-rxtvm-clang-r5-profile-10,permute-rxtvm-clang-r5-all-inline,1570355500.000000,1782886500.000000,1.135339418367,13.533942,no
clang,rxtvm,profile-10,Bounce,elapsed_ns,bounce-rxtvm-clang-r5-profile-10,bounce-rxtvm-clang-r5-all-inline,1167753500.000000,1097604500.000000,0.939928246843,-6.007175,yes
clang,rxtvm,profile-10,Richards,elapsed_ns,richards-rxtvm-clang-r5-profile-10,richards-rxtvm-clang-r5-all-inline,2119673500.000000,2066128500.000000,0.974739034101,-2.526097,no
clang,rxtvm,profile-10,Base64,elapsed_ns,base64-rxtvm-clang-r5-profile-10,base64-rxtvm-clang-r5-all-inline,1995278500.000000,1660797500.000000,0.832363752729,-16.763625,yes
clang,rxtvm,profile-10,Towers,elapsed_ns,towers-rxtvm-clang-r5-profile-10,towers-rxtvm-clang-r5-all-inline,2063183000.000000,2020808500.000000,0.979461589205,-2.053841,no
clang,rxtvm,profile-10,RexxCPS,benchmark_rate,rexxcps-rxtvm-clang-r5-profile-10,rexxcps-rxtvm-clang-r5-all-inline,39067797.000000,45539045.000000,0.857896712590,-14.210329,yes
clang,rxtvm,profile-15,Sieve,elapsed_ns,sieve-rxtvm-clang-r5-profile-15,sieve-rxtvm-clang-r5-all-inline,979132000.000000,1001544500.000000,1.022890172112,2.289017,no
clang,rxtvm,profile-15,Permute,elapsed_ns,permute-rxtvm-clang-r5-profile-15,permute-rxtvm-clang-r5-all-inline,1559839500.000000,1782886500.000000,1.142993557991,14.299356,no
clang,rxtvm,profile-15,Bounce,elapsed_ns,bounce-rxtvm-clang-r5-profile-15,bounce-rxtvm-clang-r5-all-inline,1012391000.000000,1097604500.000000,1.084170542804,8.417054,no
clang,rxtvm,profile-15,Richards,elapsed_ns,richards-rxtvm-clang-r5-profile-15,richards-rxtvm-clang-r5-all-inline,2112368000.000000,2066128500.000000,0.978110111496,-2.188989,no
clang,rxtvm,profile-15,Base64,elapsed_ns,base64-rxtvm-clang-r5-profile-15,base64-rxtvm-clang-r5-all-inline,1745378500.000000,1660797500.000000,0.951540024127,-4.845998,yes
clang,rxtvm,profile-15,Towers,elapsed_ns,towers-rxtvm-clang-r5-profile-15,towers-rxtvm-clang-r5-all-inline,2032219500.000000,2020808500.000000,0.994384956940,-0.561504,no
clang,rxtvm,profile-15,RexxCPS,benchmark_rate,rexxcps-rxtvm-clang-r5-profile-15,rexxcps-rxtvm-clang-r5-all-inline,44134159.500000,45539045.000000,0.969149869085,-3.085013,yes
clang,rxtvm,profile-20,Sieve,elapsed_ns,sieve-rxtvm-clang-r5-profile-20,sieve-rxtvm-clang-r5-all-inline,945885500.000000,1001544500.000000,1.058843274371,5.884327,no
clang,rxtvm,profile-20,Permute,elapsed_ns,permute-rxtvm-clang-r5-profile-20,permute-rxtvm-clang-r5-all-inline,1632141000.000000,1782886500.000000,1.092360586493,9.236059,no
clang,rxtvm,profile-20,Bounce,elapsed_ns,bounce-rxtvm-clang-r5-profile-20,bounce-rxtvm-clang-r5-all-inline,1017709000.000000,1097604500.000000,1.078505250519,7.850525,no
clang,rxtvm,profile-20,Richards,elapsed_ns,richards-rxtvm-clang-r5-profile-20,richards-rxtvm-clang-r5-all-inline,2100473000.000000,2066128500.000000,0.983649159023,-1.635084,no
clang,rxtvm,profile-20,Base64,elapsed_ns,base64-rxtvm-clang-r5-profile-20,base64-rxtvm-clang-r5-all-inline,1626648500.000000,1660797500.000000,1.020993472161,2.099347,no
clang,rxtvm,profile-20,Towers,elapsed_ns,towers-rxtvm-clang-r5-profile-20,towers-rxtvm-clang-r5-all-inline,2020167500.000000,2020808500.000000,1.000317300422,0.031730,no
clang,rxtvm,profile-20,RexxCPS,benchmark_rate,rexxcps-rxtvm-clang-r5-profile-20,rexxcps-rxtvm-clang-r5-all-inline,46039943.500000,45539045.000000,1.010999319375,1.099932,no
clang,rxtvm,profile-30,Sieve,elapsed_ns,sieve-rxtvm-clang-r5-profile-30,sieve-rxtvm-clang-r5-all-inline,1018191000.000000,1001544500.000000,0.983650906362,-1.634909,no
clang,rxtvm,profile-30,Permute,elapsed_ns,permute-rxtvm-clang-r5-profile-30,permute-rxtvm-clang-r5-all-inline,1798229000.000000,1782886500.000000,0.991467994343,-0.853201,no
clang,rxtvm,profile-30,Bounce,elapsed_ns,bounce-rxtvm-clang-r5-profile-30,bounce-rxtvm-clang-r5-all-inline,1081187000.000000,1097604500.000000,1.015184699779,1.518470,no
clang,rxtvm,profile-30,Richards,elapsed_ns,richards-rxtvm-clang-r5-profile-30,richards-rxtvm-clang-r5-all-inline,2093797000.000000,2066128500.000000,0.986785490666,-1.321451,no
clang,rxtvm,profile-30,Base64,elapsed_ns,base64-rxtvm-clang-r5-profile-30,base64-rxtvm-clang-r5-all-inline,1643437000.000000,1660797500.000000,1.010563532402,1.056353,no
clang,rxtvm,profile-30,Towers,elapsed_ns,towers-rxtvm-clang-r5-profile-30,towers-rxtvm-clang-r5-all-inline,2021789500.000000,2020808500.000000,0.999514786282,-0.048521,no
clang,rxtvm,profile-30,RexxCPS,benchmark_rate,rexxcps-rxtvm-clang-r5-profile-30,rexxcps-rxtvm-clang-r5-all-inline,45490624.000000,45539045.000000,0.998936714637,-0.106329,no
clang,rxtvm,max-eligible,Sieve,elapsed_ns,sieve-rxtvm-clang-r5-max-eligible,sieve-rxtvm-clang-r5-all-inline,1035025000.000000,1001544500.000000,0.967652472163,-3.234753,yes
clang,rxtvm,max-eligible,Permute,elapsed_ns,permute-rxtvm-clang-r5-max-eligible,permute-rxtvm-clang-r5-all-inline,1813443500.000000,1782886500.000000,0.983149736951,-1.685026,no
clang,rxtvm,max-eligible,Bounce,elapsed_ns,bounce-rxtvm-clang-r5-max-eligible,bounce-rxtvm-clang-r5-all-inline,1093575000.000000,1097604500.000000,1.003684703838,0.368470,no
clang,rxtvm,max-eligible,Richards,elapsed_ns,richards-rxtvm-clang-r5-max-eligible,richards-rxtvm-clang-r5-all-inline,2078253000.000000,2066128500.000000,0.994166013474,-0.583399,no
clang,rxtvm,max-eligible,Base64,elapsed_ns,base64-rxtvm-clang-r5-max-eligible,base64-rxtvm-clang-r5-all-inline,1679766500.000000,1660797500.000000,0.988707359029,-1.129264,no
clang,rxtvm,max-eligible,Towers,elapsed_ns,towers-rxtvm-clang-r5-max-eligible,towers-rxtvm-clang-r5-all-inline,1997617500.000000,2020808500.000000,1.011609329614,1.160933,no
clang,rxtvm,max-eligible,RexxCPS,benchmark_rate,rexxcps-rxtvm-clang-r5-max-eligible,rexxcps-rxtvm-clang-r5-all-inline,45584936.500000,45539045.000000,1.001007739622,0.100774,no
clang,rxtvm,all-outline,Sieve,elapsed_ns,sieve-rxtvm-clang-r5-all-outline,sieve-rxtvm-clang-r5-all-inline,5932472000.000000,1001544500.000000,0.168824142786,-83.117586,yes
clang,rxtvm,all-outline,Permute,elapsed_ns,permute-rxtvm-clang-r5-all-outline,permute-rxtvm-clang-r5-all-inline,9618567000.000000,1782886500.000000,0.185358848153,-81.464115,yes
clang,rxtvm,all-outline,Bounce,elapsed_ns,bounce-rxtvm-clang-r5-all-outline,bounce-rxtvm-clang-r5-all-inline,6656791000.000000,1097604500.000000,0.164884927287,-83.511507,yes
clang,rxtvm,all-outline,Richards,elapsed_ns,richards-rxtvm-clang-r5-all-outline,richards-rxtvm-clang-r5-all-inline,3242987000.000000,2066128500.000000,0.637106624233,-36.289338,yes
