comparison,workload,crexx_cell,reference_cell,ratio_higher_is_better
rxvm/oorexx,Sieve,sieve-rxvm,sieve-oorexx,7.154018
rxvm/netrexx,Sieve,sieve-rxvm,sieve-netrexx,1.866856
rxbvm/oorexx,Sieve,sieve-rxbvm,sieve-oorexx,5.408124
rxbvm/netrexx,Sieve,sieve-rxbvm,sieve-netrexx,1.411261
rxvm/oorexx,Permute,permute-rxvm,permute-oorexx,2.144475
rxvm/netrexx,Permute,permute-rxvm,permute-netrexx,0.152842
rxbvm/oorexx,Permute,permute-rxbvm,permute-oorexx,2.009638
rxbvm/netrexx,Permute,permute-rxbvm,permute-netrexx,0.143232
rxvm/oorexx,Bounce,bounce-rxvm,bounce-oorexx,0.331744
rxvm/netrexx,Bounce,bounce-rxvm,bounce-netrexx,0.165603
rxbvm/oorexx,Bounce,bounce-rxbvm,bounce-oorexx,0.317745
rxbvm/netrexx,Bounce,bounce-rxbvm,bounce-netrexx,0.158615
rxvm/oorexx,Richards,richards-rxvm,richards-oorexx,0.153220
rxvm/netrexx,Richards,richards-rxvm,richards-netrexx,0.096875
rxbvm/oorexx,Richards,richards-rxbvm,richards-oorexx,0.150768
rxbvm/netrexx,Richards,richards-rxbvm,richards-netrexx,0.095325
rxvm/oorexx,Base64,base64-rxvm,base64-oorexx,0.725045
rxvm/netrexx,Base64,base64-rxvm,base64-netrexx,0.837607
rxbvm/oorexx,Base64,base64-rxbvm,base64-oorexx,0.774421
rxbvm/netrexx,Base64,base64-rxbvm,base64-netrexx,0.894648
