runtime,vm,phase,n,min_ns,q1_ns,median_ns,q3_ns,max_ns,mad_ns,relative_mad_percent,span_percent,rerun_recommended
crexx,shared,compile,20,149699000.000000,155325750.000000,177906000.000000,192728750.000000,199949000.000000,19275000.000000,10.834373,28.245253,yes
crexx,shared,assemble,20,9360000.000000,9696000.000000,11368500.000000,13741500.000000,16202000.000000,1811500.000000,15.934380,60.183841,yes
crexx,rxvm,load_first_result,20,2218000.000000,2439500.000000,2959500.000000,3086500.000000,4149000.000000,503000.000000,16.996114,65.247508,yes
crexx,rxbvm,load_first_result,20,2071000.000000,2224250.000000,2608000.000000,2754750.000000,3546000.000000,281500.000000,10.793712,56.556748,yes
oorexx,oorexx,translate,20,5415000.000000,6078750.000000,7394500.000000,8416250.000000,10469000.000000,1172500.000000,15.856380,68.348097,yes
oorexx,oorexx,load_first_result,20,5091000.000000,5267500.000000,6481500.000000,7347000.000000,9296000.000000,1237500.000000,19.092803,64.876957,yes
netrexx,netrexx,compile,20,1098898000.000000,1600435000.000000,1628910500.000000,1680353750.000000,2346662000.000000,42154000.000000,2.587865,76.601139,yes
netrexx,netrexx,load_first_result,20,27048000.000000,41524750.000000,44201000.000000,45996000.000000,86722000.000000,2265000.000000,5.124318,135.005995,yes
