runtime,vm,lifecycle,phase,sequence,elapsed_ns,correctness
crexx,shared,compile-load-first-result,compile,1,154173000,pass
crexx,shared,compile-load-first-result,assemble,1,9603000,pass
crexx,rxvm,compile-load-first-result,load_first_result,1,2284000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,1,2301000,pass
crexx,shared,compile-load-first-result,compile,2,150190000,pass
crexx,shared,compile-load-first-result,assemble,2,9372000,pass
crexx,rxvm,compile-load-first-result,load_first_result,2,2446000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,2,2229000,pass
crexx,shared,compile-load-first-result,compile,3,161460000,pass
crexx,shared,compile-load-first-result,assemble,3,9727000,pass
crexx,rxvm,compile-load-first-result,load_first_result,3,2429000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,3,2209000,pass
crexx,shared,compile-load-first-result,compile,4,158511000,pass
crexx,shared,compile-load-first-result,assemble,4,10632000,pass
crexx,rxvm,compile-load-first-result,load_first_result,4,2467000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,4,2352000,pass
crexx,shared,compile-load-first-result,compile,5,155710000,pass
crexx,shared,compile-load-first-result,assemble,5,9983000,pass
crexx,rxvm,compile-load-first-result,load_first_result,5,3033000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,5,3059000,pass
crexx,shared,compile-load-first-result,compile,6,149699000,pass
crexx,shared,compile-load-first-result,assemble,6,11165000,pass
crexx,rxvm,compile-load-first-result,load_first_result,6,3191000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,6,2558000,pass
crexx,shared,compile-load-first-result,compile,7,151769000,pass
crexx,shared,compile-load-first-result,assemble,7,9483000,pass
crexx,rxvm,compile-load-first-result,load_first_result,7,2365000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,7,2071000,pass
crexx,shared,compile-load-first-result,compile,8,160212000,pass
crexx,shared,compile-load-first-result,assemble,8,9360000,pass
crexx,rxvm,compile-load-first-result,load_first_result,8,2443000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,8,2210000,pass
crexx,shared,compile-load-first-result,compile,9,152941000,pass
crexx,shared,compile-load-first-result,assemble,9,9786000,pass
crexx,rxvm,compile-load-first-result,load_first_result,9,2218000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,9,2131000,pass
crexx,shared,compile-load-first-result,compile,10,172114000,pass
crexx,shared,compile-load-first-result,assemble,10,9511000,pass
