vm,metric,pairs,before_median,after_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total
rxvm,elapsed_ns,12,84235000.000000,83750500.000000,-11.927636,-1.322707,-0.580100,0.100211,4.570769,-0.915434,-3.490611,1.659743,noisy_inconclusive,9,12
rxbvm,elapsed_ns,12,92954000.000000,90269500.000000,-3.591426,-3.315158,-2.949887,-2.623489,-2.034331,-2.912351,-3.235042,-2.589660,clear_favorable,12,12
