vm,metric,pairs,before_median,after_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total
rxvm,elapsed_ns,36,84460500.000000,83714500.000000,-11.927636,-1.748771,-1.151991,-0.474739,7.763014,-1.262252,-2.337441,-0.187062,clear_favorable,32,36
rxbvm,elapsed_ns,36,93094500.000000,90281000.000000,-4.282108,-3.416691,-3.022743,-2.668125,-1.781028,-3.009117,-3.204016,-2.814217,clear_favorable,36,36
