comparison,workload,crexx_cell,reference_cell,ratio_higher_is_better
rxvm/oorexx,Sieve,sieve-rxvm,sieve-oorexx,6.917593
rxvm/netrexx,Sieve,sieve-rxvm,sieve-netrexx,1.809486
rxbvm/oorexx,Sieve,sieve-rxbvm,sieve-oorexx,6.200587
rxbvm/netrexx,Sieve,sieve-rxbvm,sieve-netrexx,1.621933
rxvm/oorexx,Permute,permute-rxvm,permute-oorexx,7.954639
rxvm/netrexx,Permute,permute-rxvm,permute-netrexx,0.581214
rxbvm/oorexx,Permute,permute-rxbvm,permute-oorexx,7.297186
rxbvm/netrexx,Permute,permute-rxbvm,permute-netrexx,0.533177
rxvm/oorexx,Bounce,bounce-rxvm,bounce-oorexx,3.706280
rxvm/netrexx,Bounce,bounce-rxvm,bounce-netrexx,1.814187
rxbvm/oorexx,Bounce,bounce-rxbvm,bounce-oorexx,3.429817
rxbvm/netrexx,Bounce,bounce-rxbvm,bounce-netrexx,1.678861
rxvm/oorexx,Richards,richards-rxvm,richards-oorexx,0.564256
rxvm/netrexx,Richards,richards-rxvm,richards-netrexx,0.368665
rxbvm/oorexx,Richards,richards-rxbvm,richards-oorexx,0.552019
rxbvm/netrexx,Richards,richards-rxbvm,richards-netrexx,0.360669
rxvm/oorexx,Base64,base64-rxvm,base64-oorexx,0.781779
rxvm/netrexx,Base64,base64-rxvm,base64-netrexx,0.908878
rxbvm/oorexx,Base64,base64-rxbvm,base64-oorexx,0.734150
rxbvm/netrexx,Base64,base64-rxbvm,base64-netrexx,0.853506
