candidate,workload,metric,pairs,s0_median,candidate_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total
S1,Sieve,elapsed_ns,34,1090310500.000000,1094516500.000000,-2.177522,-1.192377,-0.153551,0.495375,1.057616,-0.393923,-0.731711,-0.056134,clear_adverse,13,34
S1b,Sieve,elapsed_ns,34,1090310500.000000,1089999000.000000,-16.600098,-0.555923,-0.051495,0.436443,1.843015,-0.536924,-1.572259,0.498411,noisy_inconclusive,16,34
S1,Permute,elapsed_ns,36,1779669500.000000,1780826500.000000,-11.662141,-1.484738,-0.374853,0.210806,5.961293,-0.690537,-1.530034,0.148960,noisy_inconclusive,12,36
S1b,Permute,elapsed_ns,36,1779669500.000000,1772350500.000000,-3.492428,-0.837673,-0.108778,0.554622,6.089191,-0.138347,-0.725035,0.448342,noisy_inconclusive,16,36
S1,Bounce,elapsed_ns,36,1084532500.000000,1093208000.000000,-4.026538,-2.064629,-0.627104,0.444039,2.558494,-0.733542,-1.268018,-0.199065,clear_adverse,14,36
S1b,Bounce,elapsed_ns,36,1084532500.000000,1084613000.000000,-15.794793,-1.425770,-0.151852,0.692302,3.235239,-0.534169,-1.533917,0.465580,noisy_inconclusive,14,36
S1,Richards,elapsed_ns,36,2332858500.000000,2331530500.000000,-2.089888,-0.854166,-0.135272,0.387929,8.944403,0.445954,-0.398470,1.290377,noisy_inconclusive,13,36
S1b,Richards,elapsed_ns,36,2332858500.000000,2328359000.000000,-0.976221,-0.244669,0.371043,0.714811,8.959833,0.881687,0.099190,1.664183,clear_favorable,22,36
S1,Base64,elapsed_ns,34,1439359000.000000,1406028500.000000,-34.254766,-7.233955,0.291448,8.619840,28.204583,0.406792,-4.524512,5.338097,noisy_inconclusive,19,34
S1b,Base64,elapsed_ns,34,1439359000.000000,1420993500.000000,-23.858283,-10.599115,0.357982,8.198643,23.677045,0.565002,-4.005582,5.135587,noisy_inconclusive,17,34
S1,Towers,elapsed_ns,36,2235168000.000000,2241200000.000000,-3.021717,-0.623293,-0.220011,0.250878,0.916772,-0.226261,-0.471537,0.019015,noisy_inconclusive,12,36
S1b,Towers,elapsed_ns,36,2235168000.000000,2215583500.000000,-8.224689,0.373276,0.826165,1.193497,2.567635,0.386594,-0.327003,1.100190,noisy_inconclusive,31,36
S1,RexxCPS,benchmark_rate,36,48761649.000000,48877181.500000,-14.610574,-1.108124,0.206673,0.800609,15.130575,-0.056890,-1.327712,1.213932,noisy_inconclusive,19,36
S1b,RexxCPS,benchmark_rate,36,48761649.000000,49124054.000000,-2.398796,-0.021849,0.847843,1.212337,14.796320,0.930465,0.062342,1.798589,clear_favorable,26,36
