comparison,workload,crexx_cell,reference_cell,ratio_higher_is_better
rxvm/oorexx,Sieve,sieve-rxvm,sieve-oorexx,6.760187
rxvm/netrexx,Sieve,sieve-rxvm,sieve-netrexx,1.699450
rxbvm/oorexx,Sieve,sieve-rxbvm,sieve-oorexx,6.194722
rxbvm/netrexx,Sieve,sieve-rxbvm,sieve-netrexx,1.557298
rxvm/oorexx,Permute,permute-rxvm,permute-oorexx,8.626290
rxvm/netrexx,Permute,permute-rxvm,permute-netrexx,0.541737
rxbvm/oorexx,Permute,permute-rxbvm,permute-oorexx,8.026946
rxbvm/netrexx,Permute,permute-rxbvm,permute-netrexx,0.504098
rxvm/oorexx,Bounce,bounce-rxvm,bounce-oorexx,4.188062
rxvm/netrexx,Bounce,bounce-rxvm,bounce-netrexx,1.605733
rxbvm/oorexx,Bounce,bounce-rxbvm,bounce-oorexx,4.058297
rxbvm/netrexx,Bounce,bounce-rxbvm,bounce-netrexx,1.555980
rxvm/oorexx,Richards,richards-rxvm,richards-oorexx,0.350662
rxvm/netrexx,Richards,richards-rxvm,richards-netrexx,0.172139
rxbvm/oorexx,Richards,richards-rxbvm,richards-oorexx,0.348219
rxbvm/netrexx,Richards,richards-rxbvm,richards-netrexx,0.170940
rxvm/oorexx,Base64,base64-rxvm,base64-oorexx,0.723087
rxvm/netrexx,Base64,base64-rxvm,base64-netrexx,0.671923
rxbvm/oorexx,Base64,base64-rxbvm,base64-oorexx,0.710393
rxbvm/netrexx,Base64,base64-rxbvm,base64-netrexx,0.660127
