scope,build,mode,vm,aircraft,expected,actual,status
reference,release,noopt,rxvm,2,42,42,pass
reference,release,noopt,rxvm,10,390,390,pass
reference,release,noopt,rxvm,100,4305,4305,pass
reference,release,noopt,rxvm,200,8655,8655,pass
reference,release,noopt,rxvm,250,10830,10830,pass
reference,release,noopt,rxvm,500,14484,14484,pass
reference,release,noopt,rxvm,1000,14484,14484,pass
reference,debug,opt,rxvm,2,42,42,pass
reference,debug,opt,rxvm,10,390,390,pass
reference,release-linked,opt,rxvm,100,4305,4305,pass
matrix,debug,noopt,rxvm,10,390,390,pass
matrix,debug,noopt,rxtvm,10,390,390,pass
matrix,debug,noopt,rxbvm,10,390,390,pass
matrix,debug,opt,rxvm,10,390,390,pass
matrix,debug,opt,rxtvm,10,390,390,pass
matrix,debug,opt,rxbvm,10,390,390,pass
matrix,release,noopt,rxvm,10,390,390,pass
matrix,release,noopt,rxtvm,10,390,390,pass
matrix,release,noopt,rxbvm,10,390,390,pass
matrix,release,opt,rxvm,10,390,390,pass
matrix,release,opt,rxtvm,10,390,390,pass
matrix,release,opt,rxbvm,10,390,390,pass
runner,release,noopt,rxvm,10,390,390,pass
runner,release,opt,rxvm,10,390,390,pass
runner,release,noopt,rxtvm,10,390,390,pass
runner,release,opt,rxtvm,10,390,390,pass
