compiler,release_flags,executable_bytes,text_bytes,sha256
MinGW GCC 15.2,-O3 -DNDEBUG,3609163,3332656,4C010B82E8A0DE8A79260FD5DFB891432B0D64AD3511A8F32079250A08C90DF9
Clang 22.1.8 GNU target,-O3 -DNDEBUG,1204224,1012800,C88E156AA595B1AF6B2A20CE289FD45FCD80C6F2B4C1DBCBC4DC496FF0A644F6
MSVC 19.44,/O2 /Ob2 /DNDEBUG,669696,560348,CDF0571666B9778E435D4F1C68EEE78005BE9985B4422FD2AEF7527DD1B6E413
