block,state,n,gcc_rxbvm,clang_rxbvm,msvc_rxbvm,oorexx,regina,netrexx_exact_class,msvc_over_gcc,msvc_over_clang,msvc_over_oorexx,clang_over_gcc
initial,post-install-and-build,10,6215407.500000,6340611.000000,7182710.500000,10701157.500000,10632669.000000,8093405.500000,1.155630,1.132810,0.671209,1.020144
append,post-five-minute-cooldown,10,8992204.500000,9099789.500000,10323282.000000,15917253.000000,15461945.500000,18633329.000000,1.148026,1.134453,0.648559,1.011964
