fixture,procedure,record,mnemonic,reason,redirects,migration_id
whole_procedure_flow,typed_copy_compare,1,ICOPY_REG_REG,all-uses-redirected,1,M05
whole_procedure_flow,typed_copy_join,1,ICOPY_REG_REG,all-uses-redirected,1,M05
whole_procedure_flow,typed_copy_source_changed,0,LOAD_REG_INT,producer-destination-forwarded,1,M06
whole_procedure_flow,complex_independent_region,2,ICOPY_REG_REG,all-uses-redirected,1,M05
whole_procedure_flow,typed_copy_live_across_call,0,LOAD_REG_INT,producer-destination-forwarded,1,M06
whole_procedure_flow,redundant_load_join,9,LOAD_REG_INT,redundant-identical-load,0,M02
whole_procedure_panel,typed_float_compare,1,FCOPY_REG_REG,all-uses-redirected,1,M05
whole_procedure_panel,typed_string_compare,1,SCOPY_REG_REG,all-uses-redirected,1,M05
whole_procedure_panel,full_copy_identity,0,COPY_REG_REG,identity-copy,0,M04
whole_procedure_panel,redundant_null_join,6,NULL_REG,redundant-null,0,M03
whole_procedure_panel,redundant_conversion_join,7,ITOF_REG,redundant-context-free-conversion,0,M01
whole_procedure_panel,copy_loop_dominated,2,ICOPY_REG_REG,all-uses-redirected,1,M05
whole_procedure_panel,endlife_then_independent,2,ICOPY_REG_REG,all-uses-redirected,1,M05
whole_procedure_panel,copy_before_endlife,0,LOAD_REG_INT,producer-destination-forwarded,1,M06
whole_procedure_panel,relevant_register_metadata,0,LOAD_REG_INT,producer-destination-forwarded,1,M06
whole_procedure_panel,unrelated_register_metadata,1,ICOPY_REG_REG,all-uses-redirected,1,M05
whole_procedure_panel,copy_across_unobserved_throw,1,ICOPY_REG_REG,all-uses-redirected,1,M05
whole_procedure_panel,indirect_control_flow_fail_closed,5,ICOPY_REG_REG,all-uses-redirected,1,M05
nr18_flow_harvest,forward_integer_result,0,LOAD_REG_INT,producer-destination-forwarded,1,M06
nr18_flow_harvest,forward_float_result,0,LOAD_REG_FLOAT,producer-destination-forwarded,1,M06
nr18_flow_harvest,compare_producer_result,1,IEQ_REG_REG_INT,producer-destination-forwarded,1,M06
nr18_flow_harvest,jump_table_enables_local_flow,2,LOAD_REG_INT,producer-destination-forwarded,1,M06
nr18_flow_harvest,jump_table_enables_local_flow,6,LOAD_REG_INT,producer-destination-forwarded,1,M06
nr18_flow_harvest,jump_table_enables_local_flow,10,LOAD_REG_INT,producer-destination-forwarded,1,M06
nr18_flow_harvest,jump_table_enables_local_flow,14,LOAD_REG_INT,producer-destination-forwarded,1,M06
nr18_flow_harvest,jump_table_enables_local_flow,18,LOAD_REG_INT,producer-destination-forwarded,1,M06
