runtime,vm,lifecycle,phase,sequence,elapsed_ns,correctness
crexx,shared,compile-load-first-result,compile,1,115207000,pass
crexx,shared,compile-load-first-result,assemble,1,15866000,pass
crexx,rxvm,compile-load-first-result,load_first_result,1,15816000,pass
crexx,shared,compile-load-first-result,compile,2,110261000,pass
crexx,shared,compile-load-first-result,assemble,2,15796000,pass
crexx,rxvm,compile-load-first-result,load_first_result,2,15756000,pass
crexx,shared,compile-load-first-result,compile,3,119404000,pass
crexx,shared,compile-load-first-result,assemble,3,15862000,pass
crexx,rxvm,compile-load-first-result,load_first_result,3,15742000,pass
crexx,shared,compile-load-first-result,compile,4,112558000,pass
crexx,shared,compile-load-first-result,assemble,4,15838000,pass
crexx,rxvm,compile-load-first-result,load_first_result,4,15721000,pass
crexx,shared,compile-load-first-result,compile,5,105848000,pass
crexx,shared,compile-load-first-result,assemble,5,11984000,pass
crexx,rxvm,compile-load-first-result,load_first_result,5,15680000,pass
crexx,shared,compile-load-first-result,compile,6,105877000,pass
crexx,shared,compile-load-first-result,assemble,6,13763000,pass
crexx,rxvm,compile-load-first-result,load_first_result,6,13363000,pass
crexx,shared,compile-load-first-result,compile,7,116597000,pass
crexx,shared,compile-load-first-result,assemble,7,14869000,pass
crexx,rxvm,compile-load-first-result,load_first_result,7,15740000,pass
crexx,shared,compile-load-first-result,compile,8,114287000,pass
crexx,shared,compile-load-first-result,assemble,8,15884000,pass
crexx,rxvm,compile-load-first-result,load_first_result,8,15829000,pass
crexx,shared,compile-load-first-result,compile,9,113080000,pass
crexx,shared,compile-load-first-result,assemble,9,11941000,pass
crexx,rxvm,compile-load-first-result,load_first_result,9,12319000,pass
crexx,shared,compile-load-first-result,compile,10,114512000,pass
crexx,shared,compile-load-first-result,assemble,10,15884000,pass
crexx,rxvm,compile-load-first-result,load_first_result,10,15837000,pass
oorexx,oorexx,compile-load-first-result,translate,1,11749000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,1,15751000,pass
oorexx,oorexx,compile-load-first-result,translate,2,15733000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,2,15745000,pass
oorexx,oorexx,compile-load-first-result,translate,3,14281000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,3,15672000,pass
oorexx,oorexx,compile-load-first-result,translate,4,13511000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,4,12567000,pass
oorexx,oorexx,compile-load-first-result,translate,5,15783000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,5,15782000,pass
oorexx,oorexx,compile-load-first-result,translate,6,15800000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,6,15837000,pass
oorexx,oorexx,compile-load-first-result,translate,7,15740000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,7,15793000,pass
oorexx,oorexx,compile-load-first-result,translate,8,15791000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,8,15694000,pass
oorexx,oorexx,compile-load-first-result,translate,9,14064000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,9,14398000,pass
oorexx,oorexx,compile-load-first-result,translate,10,14676000,pass
oorexx,oorexx,compile-load-first-result,load_first_result,10,10943000,pass
netrexx,netrexx,compile-load-first-result,compile,1,620019000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,1,31131000,pass
netrexx,netrexx,compile-load-first-result,compile,2,471156000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,2,42360000,pass
netrexx,netrexx,compile-load-first-result,compile,3,476488000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,3,43175000,pass
netrexx,netrexx,compile-load-first-result,compile,4,473885000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,4,44482000,pass
netrexx,netrexx,compile-load-first-result,compile,5,475794000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,5,30961000,pass
netrexx,netrexx,compile-load-first-result,compile,6,481163000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,6,45182000,pass
netrexx,netrexx,compile-load-first-result,compile,7,493464000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,7,41711000,pass
netrexx,netrexx,compile-load-first-result,compile,8,489619000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,8,43725000,pass
netrexx,netrexx,compile-load-first-result,compile,9,488778000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,9,44449000,pass
netrexx,netrexx,compile-load-first-result,compile,10,494077000,pass
netrexx,netrexx,compile-load-first-result,load_first_result,10,42602000,pass
