runtime,vm,phase,n,min_ns,q1_ns,median_ns,q3_ns,max_ns,mad_ns,relative_mad_percent,span_percent,rerun_recommended
crexx,shared,compile,10,105848000.000000,110835250.000000,113683500.000000,115033250.000000,119404000.000000,2218500.000000,1.951471,11.924334,yes
crexx,shared,assemble,10,11941000.000000,14039500.000000,15817000.000000,15865000.000000,15884000.000000,67000.000000,0.423595,24.928874,yes
crexx,rxvm,load_first_result,10,12319000.000000,15690250.000000,15741000.000000,15801000.000000,15837000.000000,68000.000000,0.431993,22.349279,yes
oorexx,oorexx,translate,10,11749000.000000,14118250.000000,15204500.000000,15772250.000000,15800000.000000,591000.000000,3.887007,26.643428,yes
oorexx,oorexx,load_first_result,10,10943000.000000,14716500.000000,15719500.000000,15774250.000000,15837000.000000,68000.000000,0.432584,31.133306,yes
netrexx,netrexx,compile,10,471156000.000000,475967500.000000,484970500.000000,492502750.000000,620019000.000000,8800000.000000,1.814543,30.695269,yes
netrexx,netrexx,load_first_result,10,30961000.000000,41873250.000000,42888500.000000,44268000.000000,45182000.000000,1369000.000000,3.191998,33.158073,yes
