phase,round,vm,variant,int_direct_read_us,int_accessor_read_us,int_direct_write_us,int_accessor_write_us,float_direct_read_us,float_accessor_read_us,float_direct_write_us,float_accessor_write_us,i64_direct_read_us,i64_accessor_read_us,i64_direct_write_us,i64_accessor_write_us,f32_direct_read_us,f32_accessor_read_us,f32_direct_write_us,f32_accessor_write_us,int_checksum,i64_checksum,result
paired_append_1,11,rxtvm,base,4634,6755,3929,3687,3651,12714,9642,33251,12685,36102,12386,26537,13810,36195,22133,33804,7000000,50000500000,pass
paired_append_1,11,rxtvm,current,4100,5776,3428,3696,3839,12750,9837,20590,13263,36193,12119,26685,13587,36165,21987,34572,7000000,50000500000,pass
paired_append_1,11,rxtvm,preguard,4406,6687,3513,4268,3845,13042,10186,19845,12942,36091,12234,26461,13552,36021,22289,34048,7000000,50000500000,pass
paired_append_1,12,rxbvm,base,3947,5814,3272,3480,3524,10773,8805,27467,11076,34442,9977,24641,11366,34273,19929,30906,7000000,50000500000,pass
paired_append_1,12,rxbvm,current,4263,5805,3064,3441,3573,10970,9055,19030,11245,34230,10020,24930,11174,34246,19650,31917,7000000,50000500000,pass
paired_append_1,12,rxbvm,preguard,3979,6186,3080,4037,3701,11030,8719,17546,11071,34261,9930,24352,11111,34338,19679,30908,7000000,50000500000,pass
paired_append_1,12,rxtvm,base,4092,5778,3157,3635,3759,12796,9819,31644,13037,36283,12370,27137,13618,36146,21928,34315,7000000,50000500000,pass
paired_append_1,12,rxtvm,current,4223,5685,3453,3548,3583,12814,9650,20238,12641,36417,12369,25865,13643,36151,22169,33772,7000000,50000500000,pass
paired_append_1,12,rxtvm,preguard,4121,6338,3305,4101,3585,13047,10560,19555,13218,36259,11859,26044,13699,36397,21809,33126,7000000,50000500000,pass
paired_append_2,1,rxbvm,base,3970,5892,3044,3470,3539,11047,8760,28164,11269,34144,10339,24872,11278,34196,19734,31467,7000000,50000500000,pass
paired_append_2,1,rxbvm,current,4161,5754,3093,3464,3672,10929,8799,19177,11231,34589,10406,24808,11212,34399,19838,31678,7000000,50000500000,pass
paired_append_2,1,rxbvm,preguard,3905,6277,3077,4204,3637,11342,8820,18930,11096,34161,10149,25079,11400,34325,19485,31912,7000000,50000500000,pass
paired_append_2,1,rxtvm,base,4652,6275,3412,3667,3751,12595,10196,33883,12764,36186,12883,27259,13779,36862,22604,35130,7000000,50000500000,pass
paired_append_2,1,rxtvm,current,4693,5985,3124,3681,3683,12905,10066,20475,13180,36186,12480,27609,13585,36405,22185,33196,7000000,50000500000,pass
paired_append_2,1,rxtvm,preguard,4273,6612,3765,4428,4069,12960,9847,19927,12972,35946,12408,25762,13717,36088,22306,33923,7000000,50000500000,pass
paired_append_2,2,rxbvm,base,3961,5827,3319,3481,3596,10885,8542,28044,11413,34044,10204,25066,11400,34624,19301,31177,7000000,50000500000,pass
paired_append_2,2,rxbvm,current,4115,5677,3197,3489,3514,11080,9035,19052,11154,34039,10155,25045,11466,33813,19628,31755,7000000,50000500000,pass
paired_append_2,2,rxbvm,preguard,4076,6244,3188,4049,3657,11213,9102,17581,11191,34359,10113,24372,11511,34197,19472,30946,7000000,50000500000,pass
paired_append_2,2,rxtvm,base,4372,6307,3137,3689,3668,12808,9818,31950,12644,36280,12606,26787,13601,36289,22518,33904,7000000,50000500000,pass
paired_append_2,2,rxtvm,current,4060,5728,3761,3938,4412,12756,10121,20647,12814,36473,12399,26308,13704,36282,22598,33797,7000000,50000500000,pass
paired_append_2,2,rxtvm,preguard,4233,6787,3196,4099,3769,12987,9873,19954,12660,36376,12384,26304,13891,35778,22326,33983,7000000,50000500000,pass
paired_append_2,3,rxbvm,base,4063,5753,3106,3502,3709,10994,8869,28591,10972,34131,10415,25489,11688,34429,20163,31951,7000000,50000500000,pass
paired_append_2,3,rxbvm,current,4024,5803,3089,3475,3695,11148,9072,19020,11149,33943,10299,24802,11424,34221,19696,32153,7000000,50000500000,pass
paired_append_2,3,rxbvm,preguard,3999,6202,3132,4034,3763,11123,8807,17823,11005,34680,10380,24248,11169,34508,19625,30685,7000000,50000500000,pass
paired_append_2,3,rxtvm,base,4217,6017,3354,3539,3820,12824,9888,31651,13277,35918,12082,27305,13537,35955,21825,34219,7000000,50000500000,pass
paired_append_2,3,rxtvm,current,4075,6892,3343,3663,3691,12991,9748,20268,13084,35933,12037,26736,13708,36234,21731,34337,7000000,50000500000,pass
paired_append_2,3,rxtvm,preguard,4557,6971,3270,4200,3739,13098,9932,20026,13313,36014,12104,26879,13625,35985,21680,33887,7000000,50000500000,pass
paired_append_2,4,rxbvm,base,4561,5775,3084,3647,3727,10779,8834,28095,11280,34806,10153,24536,11298,34520,19614,31047,7000000,50000500000,pass
paired_append_2,4,rxbvm,current,3980,5685,3137,3547,3599,11863,8904,18887,11148,34495,10130,24417,11289,34276,19410,31217,7000000,50000500000,pass
paired_append_2,4,rxbvm,preguard,4238,6245,3129,4049,3720,11086,8718,18297,11091,34005,10012,24543,11263,34288,19211,31119,7000000,50000500000,pass
paired_append_2,4,rxtvm,base,4030,5852,3731,3696,3686,12746,9691,31473,12921,36098,12153,26840,13477,36532,22171,33261,7000000,50000500000,pass
paired_append_2,4,rxtvm,current,4422,5748,3674,4167,3976,12941,9959,20627,13272,36167,12441,26275,13754,36407,22557,33626,7000000,50000500000,pass
paired_append_2,4,rxtvm,preguard,4104,6323,3276,4191,3726,13058,9814,20061,12858,36275,12064,26181,13888,36198,21895,33763,7000000,50000500000,pass
paired_append_2,5,rxbvm,base,4305,5785,3171,3473,3543,10987,8921,27910,11019,33759,10123,24705,11382,34411,19675,31046,7000000,50000500000,pass
paired_append_2,5,rxbvm,current,3867,5682,3180,3590,3584,10802,8854,18264,11100,34240,10218,24056,11479,34279,19302,31338,7000000,50000500000,pass
paired_append_2,5,rxbvm,preguard,4233,6576,3245,4195,3639,11271,8965,18433,11170,34201,10125,24379,11466,34045,19574,31056,7000000,50000500000,pass
paired_append_2,5,rxtvm,base,4383,6584,3937,3758,3663,12772,9739,31718,12698,36236,12185,26563,13859,36411,22218,33959,7000000,50000500000,pass
paired_append_2,5,rxtvm,current,4539,6714,3695,3950,4029,12795,9704,20564,13366,36377,12417,26371,13854,36234,22434,33863,7000000,50000500000,pass
paired_append_2,5,rxtvm,preguard,4180,6713,3586,4177,3937,12951,9849,19825,12755,36333,12597,26126,13975,36217,22034,34090,7000000,50000500000,pass
paired_append_2,6,rxbvm,base,4554,5892,3064,3552,3649,10769,8742,27428,11164,34313,10275,24026,11393,34391,19634,30910,7000000,50000500000,pass
paired_append_2,6,rxbvm,current,3927,5746,3280,3507,3558,11151,8849,19033,11222,34027,10290,24342,12040,34226,19851,31798,7000000,50000500000,pass
paired_append_2,6,rxbvm,preguard,4248,6266,3321,4189,3528,11148,8805,17761,11311,34652,10344,24162,11561,34363,19626,31464,7000000,50000500000,pass
paired_append_2,6,rxtvm,base,4131,5786,3180,3598,3774,12820,9825,31604,12799,36350,12474,26335,13836,36019,22286,33683,7000000,50000500000,pass
paired_append_2,6,rxtvm,current,4094,6004,3141,3661,3663,12836,9848,20619,13081,36147,12433,26206,13537,36076,22428,34032,7000000,50000500000,pass
paired_append_2,6,rxtvm,preguard,4070,7452,3218,4087,4047,13091,10065,19568,13472,36154,12149,26511,13443,36140,22078,34231,7000000,50000500000,pass
paired_append_2,7,rxbvm,base,4275,5716,3072,3522,3545,11151,8935,30113,11110,34014,10126,25056,11732,34242,19449,31827,7000000,50000500000,pass
paired_append_2,7,rxbvm,current,3952,5659,3086,3437,3618,10951,8739,18898,11060,34267,10072,24866,11675,34335,19452,31669,7000000,50000500000,pass
paired_append_2,7,rxbvm,preguard,4254,6284,3105,4215,3613,11254,8871,18841,11046,34274,10224,24349,11357,34278,19782,31390,7000000,50000500000,pass
paired_append_2,7,rxtvm,base,4086,5728,3381,3628,3602,12660,9880,31610,12825,36632,12189,26792,13615,36276,22240,34206,7000000,50000500000,pass
paired_append_2,7,rxtvm,current,4362,5957,3373,3550,3601,12866,9842,20645,13070,37315,12464,26462,13718,36328,22343,33551,7000000,50000500000,pass
paired_append_2,7,rxtvm,preguard,4021,6786,3466,4122,3641,12955,10254,19892,12703,36107,12184,26178,13888,35870,22234,34068,7000000,50000500000,pass
paired_append_2,8,rxbvm,base,3926,5755,3095,3570,3597,11001,8624,27967,10972,34170,10104,24888,11305,34469,19620,31217,7000000,50000500000,pass
paired_append_2,8,rxbvm,current,4086,5679,3203,3479,3778,10974,8901,18967,11088,34001,10110,24873,11137,34184,19926,32108,7000000,50000500000,pass
paired_append_2,8,rxbvm,preguard,3871,6303,3108,4016,3634,11086,8757,17967,10786,34566,9932,24466,11183,34345,19734,30849,7000000,50000500000,pass
paired_append_2,8,rxtvm,base,4123,5767,3933,4003,3802,12912,9626,32004,12711,36472,12520,27359,13821,36231,22084,34400,7000000,50000500000,pass
paired_append_2,8,rxtvm,current,4147,5682,3554,3603,3617,12894,9698,20512,13254,36371,12121,25824,13847,36231,22026,32538,7000000,50000500000,pass
paired_append_2,8,rxtvm,preguard,4132,6289,3164,4201,3682,12960,9944,19965,12648,36152,12576,25965,13918,36127,22269,33719,7000000,50000500000,pass
paired_append_2,9,rxbvm,base,4026,5800,3073,3503,3694,11026,8861,28006,11057,34226,10411,24862,11407,34234,20060,31870,7000000,50000500000,pass
paired_append_2,9,rxbvm,current,3982,5777,3100,3513,3548,11097,8833,19039,11337,34194,10063,24612,12042,34161,19759,31638,7000000,50000500000,pass
paired_append_2,9,rxbvm,preguard,3927,6208,3117,4019,3793,11095,8822,18039,10944,34255,10363,24731,11179,34677,19527,31750,7000000,50000500000,pass
paired_append_2,9,rxtvm,base,4408,6039,3109,3648,3665,12822,9937,32053,13041,36566,12331,26940,13750,36416,22145,34677,7000000,50000500000,pass
paired_append_2,9,rxtvm,current,4364,6028,3220,3688,3794,12815,10080,20690,13498,36187,12490,27055,13886,36563,22279,34360,7000000,50000500000,pass
paired_append_2,9,rxtvm,preguard,4203,6305,3195,4280,3942,13096,9833,19637,13321,36781,12334,27010,13823,35760,21964,34411,7000000,50000500000,pass
paired_append_2,10,rxbvm,base,4020,5761,3078,3487,3669,10861,9019,27855,10992,34316,10050,24111,11200,34292,19825,31270,7000000,50000500000,pass
paired_append_2,10,rxbvm,current,4074,5649,3189,3531,3657,10975,8850,18942,11166,35209,10325,24767,11376,34827,19496,31607,7000000,50000500000,pass
paired_append_2,10,rxbvm,preguard,4103,6270,3092,4112,3617,11134,9018,18631,11180,34091,10109,24786,11374,34194,19026,31415,7000000,50000500000,pass
paired_append_2,10,rxtvm,base,4114,7242,3695,3953,4277,12810,9881,31528,13014,36542,12319,27125,13638,37577,22436,33897,7000000,50000500000,pass
paired_append_2,10,rxtvm,current,4329,6016,3785,3734,3875,12928,9812,20662,13156,36196,12016,26455,13854,36123,22209,33400,7000000,50000500000,pass
paired_append_2,10,rxtvm,preguard,4513,6803,3716,4214,3619,13394,10277,19438,13269,36504,12329,26272,13722,36170,22194,33662,7000000,50000500000,pass
paired_append_2,11,rxbvm,base,4326,5885,3058,3483,3705,10925,8733,27825,11295,34071,10223,24790,11899,34333,19616,31120,7000000,50000500000,pass
paired_append_2,11,rxbvm,current,4106,5744,3164,3484,3653,11046,8725,18989,11118,34678,10248,24709,11202,34641,20171,31598,7000000,50000500000,pass
paired_append_2,11,rxbvm,preguard,4284,6505,3240,4134,3705,11286,8585,19032,11121,34228,10173,25200,11344,34178,19820,32208,7000000,50000500000,pass
paired_append_2,11,rxtvm,base,4085,5991,3516,3750,3765,12920,9768,32150,12739,36370,12356,26831,14012,36483,22403,33341,7000000,50000500000,pass
paired_append_2,11,rxtvm,current,4395,6205,3179,3572,3656,12808,9858,20414,12990,35834,12442,26492,13678,36049,22415,33979,7000000,50000500000,pass
paired_append_2,11,rxtvm,preguard,4003,6854,3188,4188,3950,13113,10094,19384,13366,36305,12272,26625,13697,35931,22089,34094,7000000,50000500000,pass
paired_append_2,12,rxbvm,base,4046,5831,3278,3480,3634,11134,8838,28375,11000,34505,10288,24900,11305,34221,20028,33027,7000000,50000500000,pass
paired_append_2,12,rxbvm,current,4014,5745,3189,3469,3733,10784,8802,18126,11197,34364,10114,24159,11139,34377,19649,31170,7000000,50000500000,pass
paired_append_2,12,rxbvm,preguard,3960,6316,3124,4003,3631,11136,8953,18329,10989,34512,10074,24258,11059,34288,19576,30937,7000000,50000500000,pass
paired_append_2,12,rxtvm,base,4196,6181,4043,3625,3963,12814,10273,31714,12855,36296,12163,26422,13731,36167,22054,34027,7000000,50000500000,pass
paired_append_2,12,rxtvm,current,4367,6275,3356,3910,4046,13595,10550,21098,13010,36609,11786,26174,13670,36105,21911,33190,7000000,50000500000,pass
paired_append_2,12,rxtvm,preguard,4461,6977,3256,4439,3777,13028,9735,20021,12865,35956,12328,26143,13634,36401,22178,33869,7000000,50000500000,pass
