vm,variant,metric,n,min,q1,median,q3,max,mad,relative_mad_percent,span_percent,initial_noise_append_required
rxtvm,preguard,f32_accessor_write_us,46,32899.000000,33651.500000,33801.500000,34010.750000,35956.000000,179.000000,0.529562,9.043977,yes
rxtvm,current,int_direct_read_us,46,3972.000000,4067.500000,4154.500000,4356.000000,5049.000000,110.000000,2.647731,25.923697,yes
rxtvm,current,int_accessor_read_us,46,5664.000000,5724.250000,5969.000000,6268.000000,7585.000000,252.000000,4.221813,32.182945,yes
rxtvm,current,int_direct_write_us,46,3110.000000,3173.000000,3364.500000,3689.750000,3998.000000,214.500000,6.375390,26.393223,yes
rxtvm,current,int_accessor_write_us,46,3548.000000,3635.750000,3695.000000,3808.250000,4202.000000,67.000000,1.813261,17.699594,yes
rxtvm,current,float_direct_read_us,46,3582.000000,3680.750000,3797.000000,3987.750000,4412.000000,145.000000,3.818804,21.859363,yes
rxtvm,current,float_accessor_read_us,46,12582.000000,12796.000000,12831.500000,12924.750000,13595.000000,72.000000,0.561119,7.894634,yes
rxtvm,current,float_direct_write_us,46,9650.000000,9801.750000,9857.000000,10017.500000,10550.000000,91.000000,0.923202,9.130567,yes
rxtvm,current,float_accessor_write_us,46,20224.000000,20463.750000,20564.500000,20646.500000,21098.000000,96.500000,0.469255,4.250043,yes
rxtvm,current,i64_direct_read_us,46,12555.000000,12736.750000,12972.500000,13192.000000,13498.000000,234.000000,1.803816,7.269223,yes
rxtvm,current,i64_accessor_read_us,46,35834.000000,36144.750000,36257.000000,36414.000000,40909.000000,144.500000,0.398544,13.997297,yes
rxtvm,current,i64_direct_write_us,46,11786.000000,12283.500000,12395.500000,12447.250000,13071.000000,81.000000,0.653463,10.366665,yes
rxtvm,current,i64_accessor_write_us,46,25724.000000,26078.750000,26194.000000,26454.000000,27609.000000,204.000000,0.778804,7.196304,yes
rxtvm,current,f32_direct_read_us,46,13447.000000,13674.250000,13762.000000,13845.250000,14514.000000,87.000000,0.632176,7.753234,yes
rxtvm,current,f32_accessor_read_us,46,35632.000000,36035.000000,36117.500000,36243.750000,36910.000000,116.500000,0.322558,3.538451,yes
rxtvm,current,f32_direct_write_us,46,21731.000000,22068.000000,22194.500000,22370.250000,22622.000000,160.000000,0.720899,4.014508,yes
rxtvm,current,f32_accessor_write_us,46,32538.000000,33519.250000,33789.500000,34050.000000,34572.000000,269.000000,0.796105,6.019621,yes
rxbvm,base,int_direct_read_us,36,3926.000000,3969.250000,4036.000000,4240.750000,4561.000000,76.000000,1.883053,15.733399,no
rxbvm,base,int_accessor_read_us,36,5696.000000,5765.750000,5789.500000,5851.000000,6022.000000,35.500000,0.613179,5.630883,no
rxbvm,base,int_direct_write_us,36,3027.000000,3072.000000,3096.000000,3153.000000,3326.000000,32.000000,1.033592,9.657623,no
rxbvm,base,int_accessor_write_us,36,3460.000000,3473.000000,3484.000000,3531.250000,3647.000000,18.000000,0.516648,5.367394,no
rxbvm,base,float_direct_read_us,36,3524.000000,3565.500000,3624.500000,3695.000000,3764.000000,68.000000,1.876121,6.621603,no
rxbvm,base,float_accessor_read_us,36,10662.000000,10870.750000,11005.000000,11047.250000,11175.000000,79.500000,0.722399,4.661517,no
rxbvm,base,float_direct_write_us,36,8542.000000,8748.500000,8823.500000,8904.500000,9254.000000,76.000000,0.861336,8.069360,no
rxbvm,base,float_accessor_write_us,36,26756.000000,27847.500000,28035.000000,28400.250000,30113.000000,266.000000,0.948814,11.974318,no
rxbvm,base,i64_direct_read_us,36,10970.000000,11056.000000,11128.500000,11215.000000,11444.000000,81.500000,0.732354,4.259334,no
rxbvm,base,i64_accessor_read_us,36,33759.000000,34065.000000,34169.500000,34313.000000,34981.000000,130.000000,0.380456,3.576289,no
rxbvm,base,i64_direct_write_us,36,9935.000000,10102.250000,10154.500000,10298.250000,10497.000000,104.500000,1.029100,5.534492,no
rxbvm,base,i64_accessor_write_us,36,23973.000000,24578.250000,24839.000000,24989.250000,25489.000000,207.500000,0.835380,6.103305,no
rxbvm,base,f32_direct_read_us,36,11159.000000,11259.250000,11353.500000,11428.750000,11899.000000,95.000000,0.836746,6.517814,no
rxbvm,base,f32_accessor_read_us,36,33938.000000,34234.000000,34343.000000,34429.250000,34900.000000,100.000000,0.291180,2.801153,no
rxbvm,base,f32_direct_write_us,36,19197.000000,19607.500000,19722.000000,19929.750000,20202.000000,145.500000,0.737755,5.095832,no
rxbvm,base,f32_accessor_write_us,36,30744.000000,31074.000000,31531.000000,31783.250000,33027.000000,325.000000,1.030732,7.240493,no
rxbvm,preguard,int_direct_read_us,46,3827.000000,3902.000000,3992.000000,4157.500000,4652.000000,111.000000,2.780561,20.666333,yes
rxbvm,preguard,int_accessor_read_us,46,6186.000000,6262.250000,6285.000000,6343.000000,6576.000000,44.500000,0.708035,6.205251,yes
rxbvm,preguard,int_direct_write_us,46,3053.000000,3092.000000,3123.500000,3197.000000,3360.000000,36.000000,1.152553,9.828718,yes
rxbvm,preguard,int_accessor_write_us,46,3971.000000,4016.750000,4076.000000,4167.750000,4266.000000,62.000000,1.521099,7.237488,yes
rxbvm,preguard,float_direct_read_us,46,3528.000000,3609.250000,3643.500000,3716.250000,3793.000000,53.500000,1.468368,7.273226,yes
rxbvm,preguard,float_accessor_read_us,46,11030.000000,11125.750000,11219.000000,11284.250000,11391.000000,80.000000,0.713076,3.217756,yes
rxbvm,preguard,float_direct_write_us,46,8585.000000,8773.750000,8866.000000,8962.000000,9332.000000,97.500000,1.099707,8.425446,yes
rxbvm,preguard,float_accessor_write_us,46,17546.000000,17880.500000,18438.000000,18758.750000,19223.000000,401.000000,2.174856,9.095347,yes
rxbvm,preguard,i64_direct_read_us,46,10780.000000,10995.000000,11091.500000,11200.500000,11548.000000,102.000000,0.919623,6.924221,yes
rxbvm,preguard,i64_accessor_read_us,46,33711.000000,34077.500000,34263.000000,34453.500000,35474.000000,191.500000,0.558912,5.145492,yes
rxbvm,preguard,i64_direct_write_us,46,9860.000000,10041.250000,10111.000000,10291.500000,10490.000000,84.000000,0.830778,6.230838,yes
