comparison,vm,metric,pairs,q1_percent,median_percent,q3_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,favorable,total,interval_result,three_percent_point_guard
current_vs_preguard,rxtvm,int_direct_write_us,36,-4.119853,0.250082,4.560344,0.318420,-3.276314,3.913154,18,36,noisy_inconclusive,clear
current_vs_preguard,rxtvm,int_accessor_write_us,36,-14.203949,-12.958629,-9.590235,-11.768470,-13.478977,-10.057963,36,36,clear_favorable,clear
current_vs_preguard,rxtvm,float_direct_read_us,36,-1.937777,1.551021,7.085847,2.633923,-0.030302,5.298148,17,36,noisy_inconclusive,clear
current_vs_preguard,rxtvm,float_accessor_read_us,36,-2.249540,-1.538291,-0.794933,-1.361915,-1.822501,-0.901328,34,36,clear_favorable,clear
current_vs_preguard,rxtvm,float_direct_write_us,36,-3.574190,-1.414420,1.362242,-1.177857,-2.357205,0.001490,22,36,noisy_inconclusive,clear
current_vs_preguard,rxtvm,float_accessor_write_us,36,2.807084,3.740855,4.815902,3.830031,3.284251,4.375811,0,36,clear_adverse,hit
current_vs_preguard,rxtvm,i64_direct_read_us,36,-1.843074,-0.630569,1.816490,-0.154074,-1.025347,0.717200,20,36,noisy_inconclusive,clear
current_vs_preguard,rxtvm,i64_accessor_read_us,36,-0.680726,0.000002,0.673265,0.399088,-0.386859,1.185035,18,36,noisy_inconclusive,clear
current_vs_preguard,rxtvm,i64_direct_write_us,36,-0.917799,0.201843,1.403615,0.110810,-0.667255,0.888875,15,36,noisy_inconclusive,clear
current_vs_preguard,rxtvm,i64_accessor_write_us,36,-0.807353,0.028824,0.812233,-0.061612,-0.786077,0.662854,17,36,noisy_inconclusive,clear
current_vs_preguard,rxtvm,f32_direct_read_us,36,-0.749863,0.067752,0.764926,0.293207,-0.222692,0.809106,18,36,noisy_inconclusive,clear
current_vs_preguard,rxtvm,f32_accessor_read_us,36,-0.398691,0.065044,0.606024,0.149100,-0.154697,0.452898,17,36,noisy_inconclusive,clear
current_vs_preguard,rxtvm,f32_direct_write_us,36,-0.643447,0.167275,1.503208,0.342721,-0.141981,0.827423,16,36,noisy_inconclusive,clear
current_vs_preguard,rxtvm,f32_accessor_write_us,36,-0.751983,0.382944,0.809198,-0.100172,-0.706793,0.506449,17,36,noisy_inconclusive,clear
current_vs_preguard,rxbvm,int_direct_read_us,36,-3.473206,0.454039,4.779735,0.494746,-1.741046,2.730539,15,36,noisy_inconclusive,clear
current_vs_preguard,rxbvm,int_accessor_read_us,36,-9.914703,-8.798379,-7.965114,-8.892242,-9.557599,-8.226885,36,36,clear_favorable,clear
current_vs_preguard,rxbvm,int_direct_write_us,36,-1.374846,-0.528898,1.539959,-0.000234,-0.938750,0.938281,21,36,noisy_inconclusive,clear
current_vs_preguard,rxbvm,int_accessor_write_us,36,-15.277549,-13.843895,-12.446490,-13.853486,-14.568581,-13.138392,36,36,clear_favorable,clear
current_vs_preguard,rxbvm,float_direct_read_us,36,-2.672839,-1.043253,0.693050,-0.997436,-1.772097,-0.222775,24,36,clear_favorable,clear
current_vs_preguard,rxbvm,float_accessor_read_us,36,-3.703259,-2.635722,-0.628950,-2.117721,-2.889103,-1.346339,32,36,clear_favorable,clear
current_vs_preguard,rxbvm,float_direct_write_us,36,-1.537642,-0.555873,1.020105,2.964882,-3.839268,9.769032,22,36,noisy_inconclusive,clear
current_vs_preguard,rxbvm,float_accessor_write_us,36,-0.489808,1.107314,5.549098,5.106581,-1.597265,11.810426,13,36,noisy_inconclusive,clear
current_vs_preguard,rxbvm,i64_direct_read_us,36,-0.666720,0.397224,1.678350,1.622931,-0.869688,4.115550,15,36,noisy_inconclusive,clear
current_vs_preguard,rxbvm,i64_accessor_read_us,36,-0.875948,-0.109316,0.539513,1.904202,-2.187548,5.995952,22,36,noisy_inconclusive,clear
current_vs_preguard,rxbvm,i64_direct_write_us,36,-1.590327,0.178717,1.272917,0.541037,-1.050135,2.132208,18,36,noisy_inconclusive,clear
current_vs_preguard,rxbvm,i64_accessor_write_us,36,-1.132160,-0.413219,1.778472,0.325905,-0.516025,1.167835,22,36,noisy_inconclusive,clear
current_vs_preguard,rxbvm,f32_direct_read_us,36,-0.603259,0.065701,1.408503,1.022537,0.167559,1.877515,16,36,clear_adverse,clear
current_vs_preguard,rxbvm,f32_accessor_read_us,36,-0.374349,0.074549,0.531929,0.363740,-0.279378,1.006859,17,36,noisy_inconclusive,clear
current_vs_preguard,rxbvm,f32_direct_write_us,36,-1.676616,0.346921,1.156853,0.101453,-0.915836,1.118742,16,36,noisy_inconclusive,clear
current_vs_preguard,rxbvm,f32_accessor_write_us,36,-0.715752,0.684316,2.071979,0.901742,0.076311,1.727174,14,36,clear_adverse,clear
