variant,rxas_sha256,rxas_bytes,rxas_source_instructions,assembler,rxbin_sha256,rxbin_bytes,disassembled_instructions,assertinitialized_total,assertinitialized_main
g0,2d0ada1319aa498d1a7aa0256fa8465ce8c15c9db02a5d5246ff14385b566147,130880,757,preserved_pre_guard,bed030aee6322e85eec17708a17f1f36f6f1288c722ab4abbb5030cdea8513fe,41654,593,10,0
candidate_pre_guard,e6079165152f468c5da4b8466a28cab848a09eac58e313c7343456d6faa05d96,133982,768,preserved_pre_guard,e7816a86befc089a54e8d565ef5fe512af62c860730f0288bb93a1d22b59ee78,42510,602,17,7
candidate_selected,e6079165152f468c5da4b8466a28cab848a09eac58e313c7343456d6faa05d96,133982,768,current,b8807ceac584954400e6e629c1f163d37b3a089f219374ed64bb9dfbf2831a15,42518,594,11,1
