workload,vm,metric,pairs,control_median,candidate_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total,guard_hit
RXPA-Reentrant,rxbvm,elapsed_ns,12,1228564500.000000,1242183000.000000,-2.423922,-0.313472,1.897178,3.170331,4.247027,1.368096,-0.042248,2.778441,noisy_inconclusive,4,12,no
RXPA-Reentrant,rxtvm,elapsed_ns,12,1219288500.000000,1247634000.000000,0.081148,1.388353,2.355060,3.267357,3.532237,2.175049,1.417704,2.932394,clear_adverse,0,12,no
RXPA-Legacy,rxbvm,elapsed_ns,12,1251501000.000000,1254992000.000000,-3.029547,-1.291320,-0.257018,1.754759,2.984447,0.104869,-1.105497,1.315234,noisy_inconclusive,7,12,no
RXPA-Legacy,rxtvm,elapsed_ns,12,1250780000.000000,1244331000.000000,-5.718835,-1.460388,0.030850,0.464729,2.662946,-0.413910,-1.754527,0.926707,noisy_inconclusive,6,12,no
RXPA-Reentrant-Lifecycle,rxbvm,elapsed_ns,12,15251500.000000,15414000.000000,-0.596018,-0.295888,1.051407,2.288694,4.162517,1.179650,0.232019,2.127282,clear_adverse,4,12,no
RXPA-Reentrant-Lifecycle,rxtvm,elapsed_ns,12,15534500.000000,15498000.000000,-2.216672,-1.041947,-0.260977,0.337858,3.523848,-0.208562,-1.182716,0.765592,noisy_inconclusive,8,12,no
RXPA-Legacy-Lifecycle,rxbvm,elapsed_ns,12,15457000.000000,15546000.000000,-2.222797,-0.559986,0.144467,1.352114,3.143653,0.246539,-0.744738,1.237817,noisy_inconclusive,5,12,no
RXPA-Legacy-Lifecycle,rxtvm,elapsed_ns,12,15377500.000000,15477500.000000,-2.290323,0.056890,0.397727,1.108487,2.853152,0.486907,-0.299868,1.273682,noisy_inconclusive,3,12,no
Sieve,rxbvm,elapsed_ns,12,1051591000.000000,1045541000.000000,-2.853066,-0.920531,-0.284736,0.579779,2.666269,-0.234163,-1.133483,0.665157,noisy_inconclusive,6,12,no
Sieve,rxtvm,elapsed_ns,12,955294000.000000,952874000.000000,-2.879062,-1.060212,-0.099703,0.933986,1.635022,-0.194978,-1.031578,0.641622,noisy_inconclusive,6,12,no
RexxCPS,rxbvm,benchmark_rate,12,44745042.500000,44927837.500000,-1.517659,-0.200140,0.251965,0.866028,4.064972,0.624971,-0.400931,1.650873,noisy_inconclusive,7,12,no
RexxCPS,rxtvm,benchmark_rate,12,45362685.000000,45248463.500000,-2.484624,-1.356812,-0.497888,0.394236,2.428561,-0.375677,-1.339248,0.587894,noisy_inconclusive,5,12,no
