vm_mode,cell,position,n,native_cps_mean,process_real_mean_s
rxvm,A,1,4,1187821.750,8.438
rxvm,A,2,4,1149207.500,8.725
rxvm,A,3,4,1162219.750,8.633
rxvm,B,1,4,1142463.000,8.787
rxvm,B,2,4,1188633.000,8.430
rxvm,B,3,4,1152021.500,8.700
rxvm,C,1,4,1157654.500,8.662
rxvm,C,2,4,1172648.250,8.550
rxvm,C,3,4,1188767.500,8.430
rxbvm,A,1,4,1164624.250,8.607
rxbvm,A,2,4,1143658.750,8.762
rxbvm,A,3,4,1153744.750,8.688
rxbvm,B,1,4,1133733.500,8.863
rxbvm,B,2,4,1163188.250,8.622
rxbvm,B,3,4,1140216.000,8.787
rxbvm,C,1,4,1161316.250,8.630
rxbvm,C,2,4,1149406.000,8.723
rxbvm,C,3,4,1167020.750,8.585
