vm_mode,round,comparison,left_cell,right_cell,left_position,right_position,left_native_cps,right_native_cps,native_cps_delta_percent,left_process_real_s,right_process_real_s,process_real_delta_percent
rxvm,1,infrastructure_B_vs_A,A,B,1,2,1201945,1200554,-0.115729,8.33,8.34,+0.120048
rxvm,1,fusion_C_vs_B,B,C,2,3,1200554,1207126,+0.547414,8.34,8.30,-0.479616
rxvm,1,overall_C_vs_A,A,C,1,3,1201945,1207126,+0.431051,8.33,8.30,-0.360144
rxvm,2,infrastructure_B_vs_A,A,B,3,1,1215062,1199342,-1.293761,8.25,8.36,+1.333333
rxvm,2,fusion_C_vs_B,B,C,1,2,1199342,1201166,+0.152083,8.36,8.34,-0.239234
rxvm,2,overall_C_vs_A,A,C,3,2,1215062,1201166,-1.143645,8.25,8.34,+1.090909
rxvm,3,infrastructure_B_vs_A,A,B,2,3,1185210,1186674,+0.123522,8.45,8.44,-0.118343
rxvm,3,fusion_C_vs_B,B,C,3,1,1186674,1196628,+0.838815,8.44,8.37,-0.829384
rxvm,3,overall_C_vs_A,A,C,2,1,1185210,1196628,+0.963374,8.45,8.37,-0.946746
rxvm,4,infrastructure_B_vs_A,A,B,3,2,1177893,1189077,+0.949492,8.50,8.42,-0.941176
rxvm,4,fusion_C_vs_B,B,C,2,1,1189077,1183623,-0.458675,8.42,8.46,+0.475059
rxvm,4,overall_C_vs_A,A,C,3,1,1177893,1183623,+0.486462,8.50,8.46,-0.470588
rxvm,5,infrastructure_B_vs_A,A,B,1,3,1185353,1164698,-1.742519,8.45,8.60,+1.775148
rxvm,5,fusion_C_vs_B,B,C,3,2,1164698,1199166,+2.959394,8.60,8.35,-2.906977
rxvm,5,overall_C_vs_A,A,C,1,2,1185353,1199166,+1.165307,8.45,8.35,-1.183432
rxvm,6,infrastructure_B_vs_A,A,B,2,1,1166383,1155865,-0.901762,8.59,8.67,+0.931315
rxvm,6,fusion_C_vs_B,B,C,1,3,1155865,1172825,+1.467299,8.67,8.54,-1.499423
rxvm,6,overall_C_vs_A,A,C,2,3,1166383,1172825,+0.552306,8.59,8.54,-0.582072
rxvm,7,infrastructure_B_vs_A,A,B,2,1,1141596,1153529,+1.045291,8.78,8.68,-1.138952
rxvm,7,fusion_C_vs_B,B,C,1,3,1153529,1155033,+0.130383,8.68,8.67,-0.115207
rxvm,7,overall_C_vs_A,A,C,2,3,1141596,1155033,+1.177036,8.78,8.67,-1.252847
rxvm,8,infrastructure_B_vs_A,A,B,1,3,1151902,1149728,-0.188731,8.70,8.71,+0.114943
rxvm,8,fusion_C_vs_B,B,C,3,2,1149728,1159031,+0.809148,8.71,8.65,-0.688863
rxvm,8,overall_C_vs_A,A,C,1,2,1151902,1159031,+0.618889,8.70,8.65,-0.574713
rxvm,9,infrastructure_B_vs_A,A,B,3,2,1160429,1153124,-0.629509,8.63,8.69,+0.695249
rxvm,9,fusion_C_vs_B,B,C,2,1,1153124,1156799,+0.318699,8.69,8.66,-0.345224
rxvm,9,overall_C_vs_A,A,C,3,1,1160429,1156799,-0.312815,8.63,8.66,+0.347625
rxvm,10,infrastructure_B_vs_A,A,B,2,3,1103641,1106986,+0.303088,9.08,9.05,-0.330396
rxvm,10,fusion_C_vs_B,B,C,3,1,1106986,1093568,-1.212120,9.05,9.16,+1.215470
rxvm,10,overall_C_vs_A,A,C,2,1,1103641,1093568,-0.912706,9.08,9.16,+0.881057
rxvm,11,infrastructure_B_vs_A,A,B,3,1,1095495,1061116,-3.138216,9.15,9.44,+3.169399
rxvm,11,fusion_C_vs_B,B,C,1,2,1061116,1131230,+6.607572,9.44,8.86,-6.144068
rxvm,11,overall_C_vs_A,A,C,3,2,1095495,1131230,+3.261996,9.15,8.86,-3.169399
rxvm,12,infrastructure_B_vs_A,A,B,1,2,1212087,1211777,-0.025576,8.27,8.27,+0.000000
rxvm,12,fusion_C_vs_B,B,C,2,3,1211777,1220086,+0.685687,8.27,8.21,-0.725514
rxvm,12,overall_C_vs_A,A,C,1,3,1212087,1220086,+0.659936,8.27,8.21,-0.725514
