vm_mode,retained_baseline_cps_median,rebuilt_baseline_cell_A_cps_median,baseline_session_drift_percent,retained_candidate_cps_median,rerun_candidate_cell_C_cps_median,candidate_session_drift_percent,retained_cross_session_cps_delta_percent,rerun_cell_median_cps_delta_percent,rerun_paired_median_cps_delta_percent,retained_baseline_real_median_s,rebuilt_baseline_cell_A_real_median_s,baseline_real_session_drift_percent,retained_candidate_real_median_s,rerun_candidate_cell_C_real_median_s,candidate_real_session_drift_percent,retained_cross_session_real_delta_percent,rerun_cell_median_real_delta_percent,rerun_paired_median_real_delta_percent
rxvm,1203145,1172138.000,-2.577162,1176279,1178224.000,+0.165352,-2.233,+0.519222,+0.585597,8.33,8.545,+2.581032,8.52,8.500,-0.234742,+2.281,-0.526624,-0.578393
rxbvm,1183390,1155409.500,-2.364436,1156303,1154918.000,-0.119778,-2.289,-0.042539,+0.671077,8.46,8.670,+2.482270,8.67,8.675,+0.057670,+2.482,+0.057670,-0.703523
