sequence,vm_mode,phase,round,position,cell,vm_binary,image,library,native_cps,process_real_s,effective_count,pass,started_utc,ended_utc,stdout,stderr
1,rxvm,warmup,0,1,A,/tmp/crexx-nr09-rebaseline-847e62f04/cmake-build-release/bin/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/tmp/crexx-nr09-rebaseline-847e62f04/cmake-build-release/bin/library.rxbin,1207827,8.54,100,1,2026-07-19T10:21:51Z,2026-07-19T10:21:59Z,raw/001-rxvm-warmup-r00-p1-cellA.stdout.txt,raw/001-rxvm-warmup-r00-p1-cellA.stderr.txt
2,rxvm,warmup,0,2,B,/Users/adrian/CLionProjects/CREXX/cmake-build-release/bin/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/tmp/crexx-nr09-rebaseline-847e62f04/cmake-build-release/bin/library.rxbin,1208059,8.29,100,1,2026-07-19T10:21:59Z,2026-07-19T10:22:08Z,raw/002-rxvm-warmup-r00-p2-cellB.stdout.txt,raw/002-rxvm-warmup-r00-p2-cellB.stderr.txt
3,rxvm,warmup,0,3,C,/Users/adrian/CLionProjects/CREXX/cmake-build-release/bin/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/cmake-build-release/bin/library.rxbin,1213790,8.25,100,1,2026-07-19T10:22:08Z,2026-07-19T10:22:16Z,raw/003-rxvm-warmup-r00-p3-cellC.stdout.txt,raw/003-rxvm-warmup-r00-p3-cellC.stderr.txt
4,rxbvm,warmup,0,1,C,/Users/adrian/CLionProjects/CREXX/cmake-build-release/bin/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/cmake-build-release/bin/library.rxbin,1197007,8.37,100,1,2026-07-19T10:22:16Z,2026-07-19T10:22:24Z,raw/004-rxbvm-warmup-r00-p1-cellC.stdout.txt,raw/004-rxbvm-warmup-r00-p1-cellC.stderr.txt
5,rxbvm,warmup,0,2,B,/Users/adrian/CLionProjects/CREXX/cmake-build-release/bin/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/tmp/crexx-nr09-rebaseline-847e62f04/cmake-build-release/bin/library.rxbin,1202606,8.33,100,1,2026-07-19T10:22:24Z,2026-07-19T10:22:33Z,raw/005-rxbvm-warmup-r00-p2-cellB.stdout.txt,raw/005-rxbvm-warmup-r00-p2-cellB.stderr.txt
6,rxbvm,warmup,0,3,A,/tmp/crexx-nr09-rebaseline-847e62f04/cmake-build-release/bin/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/tmp/crexx-nr09-rebaseline-847e62f04/cmake-build-release/bin/library.rxbin,1177240,8.83,100,1,2026-07-19T10:22:33Z,2026-07-19T10:22:41Z,raw/006-rxbvm-warmup-r00-p3-cellA.stdout.txt,raw/006-rxbvm-warmup-r00-p3-cellA.stderr.txt
7,rxvm,recorded,1,1,A,/tmp/crexx-nr09-rebaseline-847e62f04/cmake-build-release/bin/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/tmp/crexx-nr09-rebaseline-847e62f04/cmake-build-release/bin/library.rxbin,1201945,8.33,100,1,2026-07-19T10:22:41Z,2026-07-19T10:22:50Z,raw/007-rxvm-recorded-r01-p1-cellA.stdout.txt,raw/007-rxvm-recorded-r01-p1-cellA.stderr.txt
8,rxvm,recorded,1,2,B,/Users/adrian/CLionProjects/CREXX/cmake-build-release/bin/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/tmp/crexx-nr09-rebaseline-847e62f04/cmake-build-release/bin/library.rxbin,1200554,8.34,100,1,2026-07-19T10:22:50Z,2026-07-19T10:22:58Z,raw/008-rxvm-recorded-r01-p2-cellB.stdout.txt,raw/008-rxvm-recorded-r01-p2-cellB.stderr.txt
9,rxvm,recorded,1,3,C,/Users/adrian/CLionProjects/CREXX/cmake-build-release/bin/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/cmake-build-release/bin/library.rxbin,1207126,8.30,100,1,2026-07-19T10:22:58Z,2026-07-19T10:23:06Z,raw/009-rxvm-recorded-r01-p3-cellC.stdout.txt,raw/009-rxvm-recorded-r01-p3-cellC.stderr.txt
10,rxbvm,recorded,1,1,A,/tmp/crexx-nr09-rebaseline-847e62f04/cmake-build-release/bin/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/tmp/crexx-nr09-rebaseline-847e62f04/cmake-build-release/bin/library.rxbin,1186117,8.45,100,1,2026-07-19T10:23:06Z,2026-07-19T10:23:15Z,raw/010-rxbvm-recorded-r01-p1-cellA.stdout.txt,raw/010-rxbvm-recorded-r01-p1-cellA.stderr.txt
