vm_mode,cell,n,native_cps_median,native_cps_mean,native_cps_min,native_cps_max,process_real_median_s,process_real_mean_s,process_real_min_s,process_real_max_s
rxvm,A,12,1172138.000,1166416.333,1095495,1215062,8.545,8.598,8.25,9.15
rxvm,B,12,1160281.500,1161039.167,1061116,1211777,8.635,8.639,8.27,9.44
rxvm,C,12,1178224.000,1173023.417,1093568,1220086,8.500,8.547,8.21,9.16
rxbvm,A,12,1155409.500,1154009.250,1112157,1199252,8.670,8.686,8.35,9.01
rxbvm,B,12,1156167.000,1145712.583,1030130,1200128,8.665,8.758,8.35,9.72
rxbvm,C,12,1154918.000,1159247.667,1121475,1202797,8.675,8.646,8.33,8.93
