vm_mode,comparison,n,native_cps_delta_median_percent,native_cps_delta_mean_percent,native_cps_delta_ci95_low_percent,native_cps_delta_ci95_high_percent,native_cps_delta_q1_percent,native_cps_delta_q3_percent,native_cps_favorable_count,native_cps_delta_min_percent,native_cps_delta_max_percent,process_real_delta_median_percent,process_real_delta_mean_percent,process_real_delta_ci95_low_percent,process_real_delta_ci95_high_percent,process_real_delta_q1_percent,process_real_delta_q3_percent,process_real_favorable_count,process_real_delta_min_percent,process_real_delta_max_percent
rxvm,infrastructure_B_vs_A,12,-0.152230,-0.467867,-1.217016,+0.281281,-0.999762,+0.168413,4,-3.138216,+1.045291,+0.117496,+0.467547,-0.299588,+1.234683,-0.171356,+1.031820,4,-1.138952,+3.169399
rxvm,fusion_C_vs_B,12,+0.616551,+1.070475,-0.211336,+2.352286,+0.146658,+0.995936,10,-1.212120,+6.607572,-0.584240,-1.023582,-2.230447,+0.183283,-0.996894,-0.208227,10,-6.144068,+1.215470
rxvm,overall_C_vs_A,12,+0.585597,+0.578933,-0.139782,+1.297647,+0.245084,+1.013857,9,-1.143645,+3.261996,-0.578393,-0.578822,-1.283354,+0.125710,-1.005918,-0.183202,9,-3.169399,+1.090909
rxbvm,infrastructure_B_vs_A,12,+0.021972,-0.712505,-3.095470,+1.670460,-0.692744,+0.902485,6,-11.920674,+2.980152,-0.058877,+0.832703,-1.805220,+3.470627,-0.891096,+0.621122,6,-2.890173,+13.418903
rxbvm,fusion_C_vs_B,12,+0.805046,+1.283587,-0.736078,+3.303252,-0.541909,+1.889661,8,-2.558981,+8.867327,-0.815754,-1.174327,-3.069956,+0.721302,-1.791247,+0.508588,8,-8.127572,+2.549247
rxbvm,overall_C_vs_A,12,+0.671077,+0.470037,-0.933948,+1.874022,-1.090796,+1.451558,8,-4.110391,+3.871978,-0.703523,-0.444673,-1.835560,+0.946213,-1.460301,+1.082339,8,-3.699422,+4.200700
