workload,instruction_index,dynamic_count,procedure,instruction,source_step,recursive_operations,recursive_operation_share_percent,recursive_bytes,recursive_byte_share_percent,top_payload_bytes,empty_operations,scalar_operations,string_operations,binary_operations,decimal_operations,reference_operations,object_operations,native_operations,compound_operations,dual_vm_identity
Richards,8,1,main(),"copy r0,a1 /* aka r14 */",".srcstep 1 1 17 ""awfy_richards.crexx"" 11 5 19 ""arg argv = .string[]""",2,0.000004,9,0.000002,8,0,0,1,0,0,0,1,0,0,exact
Richards,150,1,main(),"copy r4,r8",".srcstep 29 29 33 ""awfy_richards.crexx"" 77 5 11 ""    return""",29,0.000051,224,0.000050,224,23,5,0,0,0,0,1,0,0,exact
Richards,6630,106604,§awfy_richards.richardsscheduler.schedule(),"copy r5,a1 /* aka r14 */",".srcstep 922 922 33 ""awfy_richards.crexx"" 300 10 28 ""      if isHoldingOrWaiting(current_task) then current_task = task_link[current_task]""",15670674,27.766291,124512560,27.782313,23879296,7203883,6547938,0,0,0,0,1918853,0,0,exact
Richards,2945,65790,§awfy_richards.richardsscheduler.runtask(),"copy r3,a1 /* aka r55 */",".srcstep 357 357 33 ""awfy_richards.crexx"" 218 8 27 ""    if isWaitingWithPacket(identity) then do""",9671064,17.135803,76842192,17.145691,14736960,4459152,4027703,0,0,0,0,1184209,0,0,exact
Richards,3663,23252,§awfy_richards.richardsscheduler.runtask(),"copy r34,a1 /* aka r55 */",".srcstep 463 463 33 ""awfy_richards.crexx"" 227 52 62 ""      when identity = 2 | identity = 3 then return runHandler(identity, message)""",3417990,6.056211,27157904,6.059705,5208448,1598281,1401182,0,0,0,0,418527,0,0,exact
Richards,3806,2942,§awfy_richards.richardsscheduler.runtask(),"copy r30,r46",".srcstep 478 478 33 ""awfy_richards.crexx"" 196 5 11 ""    return current_task""",2942,0.005213,0,0.000000,0,0,2942,0,0,0,0,0,0,0,exact
Richards,3809,2942,§awfy_richards.richardsscheduler.runtask(),"copy a1 /* aka r55 */,r34",".srcstep 480 480 6 ""awfy_richards.crexx"" 270 29 47 ""    if work_packet = 0 then return markWaiting()""",432438,0.766221,3435968,0.766663,659008,196520,182968,0,0,0,0,52950,0,0,exact
Richards,3377,4654,§awfy_richards.richardsscheduler.runtask(),"copy r22,a1 /* aka r55 */",".srcstep 416 416 33 ""awfy_richards.crexx"" 226 37 46 ""      when identity = 1 then return runWorker(message)""",684132,1.212188,5435824,1.212888,1042496,319893,280468,0,0,0,0,83771,0,0,exact
Richards,2687,23246,§awfy_richards.richardsscheduler.queuepacket(),"copy r6,a1 /* aka r23 */",".srcstep 316 316 33 ""awfy_richards.crexx"" 208 12 20 ""    task = findTask(packet_identity[packet])""",3417150,6.054722,27151232,6.058216,5207104,1607775,1390949,0,0,0,0,418426,0,0,exact
Richards,2793,23246,§awfy_richards.richardsscheduler.queuepacket(),"copy r11,a1 /* aka r23 */",".srcstep 332 332 33 ""awfy_richards.crexx"" 213 12 20 ""    return addInput(task, packet, current_task)""",3417150,6.054722,27151232,6.058216,5207104,1617898,1380826,0,0,0,0,418426,0,0,exact
