candidate,workload,vm_identity,c0_generic_copy,candidate_generic_copy,generic_copy_delta,c0_recursive_copy_ops,candidate_recursive_copy_ops,recursive_copy_ops_delta,c0_total_copy_ops,candidate_total_copy_ops,total_copy_ops_delta,c0_logical_bytes,candidate_logical_bytes,logical_bytes_delta,c0_attribute_blocks,candidate_attribute_blocks,attribute_blocks_delta,c0_attribute_slot_bytes,candidate_attribute_slot_bytes,attribute_slot_bytes_delta
C1a-R2,Richards,rxvm=rxbvm,416260,383015,-33245,56457882,51570879,-4887003,56902732,51992483,-4910249,451730841,412714809,-39016032,41346,41310,-36,82095936,82012608,-83328
C1c-R1,Towers,rxvm=rxbvm,982781,737161,-245620,26625542,19567122,-7058420,26789582,19649142,-7140440,206454410,151295850,-55158560,1409607,1207293,-202314,2796660288,2395269312,-401390976
