workload,instruction_index,dynamic_count,dynamic_share_percent,procedure,rxdas_line,instruction,source_step,pre_trace,post_trace,pattern,mapping,vm_count_identity
Richards,8,1,0.000240,main(),46,"copy r0,a1 /* aka r14 */",".srcstep 1 1 17 ""awfy_richards.crexx"" 11 5 19 ""arg argv = .string[]""",,,"COPY_REG_REG(r1,r2) | BR_ID(c1)",r1=R0;r2=R14;c1=label@16,rxvm=rxbvm
Richards,150,1,0.000240,main(),152,"copy r4,r8",".srcstep 29 29 33 ""awfy_richards.crexx"" 77 5 11 ""    return""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 8 29 29 0 ""§factory"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 4 29 29 0 ""scheduler"" """"","COPY_REG_REG(r1,r2) | SETTP_REG_INT(r1,c1)",r1=R4;r2=R8;c1=int:256,rxvm=rxbvm
Richards,164,1,0.000240,main(),169,"copy r2,r10",".srcstep 33 33 33 ""awfy_richards.crexx"" 104 5 11 ""    return queue_packet_count""",".traceevent ""V"" 6 ""R"" ""I"" ""r"" 10 33 33 0 ""queue_packet_count"" """"",".traceevent ""A"" 6 ""R"" ""I"" ""r"" 2 33 33 0 ""queue_count"" """"","COPY_REG_REG(r1,r2) | UNLINK_REG(r2)",r1=R2;r2=R10,rxvm=rxbvm
Richards,173,1,0.000240,main(),179,"copy r1,r10",".srcstep 36 36 33 ""awfy_richards.crexx"" 107 5 11 ""    return hold_count""",".traceevent ""V"" 6 ""R"" ""I"" ""r"" 10 36 36 0 ""hold_count"" """"",".traceevent ""A"" 6 ""R"" ""I"" ""r"" 1 36 36 0 ""hold_count"" """"","COPY_REG_REG(r1,r2) | UNLINK_REG(r2)",r1=R1;r2=R10,rxvm=rxbvm
Richards,2584,9999,2.402104,§awfy_richards.richardsscheduler.release(),1729,"copy r3,a1 /* aka r13 */",".srcstep 298 298 33 ""awfy_richards.crexx"" 200 12 20 ""    task = findTask(identity)""",".traceevent ""V"" 6 ""R"" ""O"" ""a"" 1 298 298 0 ""§this"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 3 298 298 0 ""§this"" """"","COPY_REG_REG(r1,r2) | ILT_REG_REG_INT(r3,r4,c1)",r1=R3;r2=R13;r3=R4;r4=R14;c1=int:0,rxvm=rxbvm
Richards,2687,23246,5.584490,§awfy_richards.richardsscheduler.queuepacket(),1812,"copy r6,a1 /* aka r23 */",".srcstep 316 316 33 ""awfy_richards.crexx"" 208 12 20 ""    task = findTask(packet_identity[packet])""",".traceevent ""V"" 6 ""R"" ""O"" ""a"" 1 316 316 0 ""§this"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 6 316 316 0 ""§this"" """"","COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c1)",r1=R6;r2=R23;r3=R8;c1=int:15,rxvm=rxbvm
Richards,2793,23246,5.584490,§awfy_richards.richardsscheduler.queuepacket(),1889,"copy r11,a1 /* aka r23 */",".srcstep 332 332 33 ""awfy_richards.crexx"" 213 12 20 ""    return addInput(task, packet, current_task)""",".traceevent ""V"" 6 ""R"" ""O"" ""a"" 1 332 332 0 ""§this"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 11 332 332 0 ""§this"" """"","COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r2,c1)",r1=R11;r2=R23;r3=R7;c1=int:2,rxvm=rxbvm
Richards,2881,3140,0.754336,§awfy_richards.richardsscheduler.queuepacket(),1954,"copy a1 /* aka r23 */,r11",".srcstep 341 341 6 ""awfy_richards.crexx"" 179 65 80 ""      if task_priority[identity] > task_priority[old_task] then return identity""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 11 353 353 0 ""§this"" """"",".traceevent ""V"" 6 ""R"" ""I"" ""r"" 9 353 353 0 ""__inline_leave_1512_1511"" """"","COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)",r1=R23;r2=R11;r3=R21;r4=R9,rxvm=rxbvm
Richards,2926,20106,4.830154,§awfy_richards.richardsscheduler.queuepacket(),1982,"copy a1 /* aka r23 */,r11",".srcstep 350 350 6 ""awfy_richards.crexx"" 182 5 20 ""    return old_task""",".traceevent ""V"" 6 ""R"" ""O"" ""r"" 11 353 353 0 ""§this"" """"",".traceevent ""V"" 6 ""R"" ""I"" ""r"" 10 353 353 0 ""__inline_leave_1531_1530"" """"","COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4)",r1=R23;r2=R11;r3=R21;r4=R10,rxvm=rxbvm
Richards,2945,65790,15.805026,§awfy_richards.richardsscheduler.runtask(),2009,"copy r3,a1 /* aka r55 */",".srcstep 357 357 33 ""awfy_richards.crexx"" 218 8 27 ""    if isWaitingWithPacket(identity) then do""",".traceevent ""V"" 6 ""R"" ""O"" ""a"" 1 357 357 0 ""§this"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 3 357 357 0 ""§this"" """"","COPY_REG_REG(r1,r2) | LINKSETATTRSLINKADD_REG_REG_INT_INT_REG_REG_INT(r3,r1,c1,c2,r4,r5,c3)",r1=R3;r2=R55;r3=R5;c1=int:23;c2=int:6;r4=R4;r5=R56;c3=int:1,rxvm=rxbvm
Richards,3184,10000,2.402345,§awfy_richards.richardsscheduler.runtask(),2168,"copy r15,a1 /* aka r55 */",".srcstep 391 391 33 ""awfy_richards.crexx"" 225 37 45 ""      when identity = 0 then return runIdler()""",".traceevent ""V"" 6 ""R"" ""O"" ""a"" 1 391 391 0 ""§this"" """"",".traceevent ""A"" 6 ""R"" ""O"" ""r"" 15 391 391 0 ""§this"" """"","COPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r1,c1)",r1=R15;r2=R55;r3=R9;c1=int:8,rxvm=rxbvm
Richards,3270,1,0.000240,§awfy_richards.richardsscheduler.runtask(),2221,"copy r12,r16",".srcstep 398 398 33 ""awfy_richards.crexx"" 192 5 11 ""    return task_link[current_task]""",".traceevent ""V"" 6 ""R"" ""I"" ""r"" 16 398 398 0 ""__inline_ret_707_708"" """"",".traceevent ""A"" 6 ""R"" ""I"" ""r"" 12 398 398 0 ""__inline_leave_1585_1584"" """"","COPY_REG_REG(r1,r2) | COPY_REG_REG(r3,r4)",r1=R12;r2=R16;r3=R55;r4=R15,rxvm=rxbvm
