comparison,workload,crexx_cell,reference_cell,ratio_higher_is_better
rxvm/oorexx,Sieve,sieve-rxvm,sieve-oorexx,7.214291
rxvm/netrexx,Sieve,sieve-rxvm,sieve-netrexx,1.892228
rxbvm/oorexx,Sieve,sieve-rxbvm,sieve-oorexx,5.338790
rxbvm/netrexx,Sieve,sieve-rxbvm,sieve-netrexx,1.400305
rxvm/oorexx,Permute,permute-rxvm,permute-oorexx,8.005043
rxvm/netrexx,Permute,permute-rxvm,permute-netrexx,0.536613
rxbvm/oorexx,Permute,permute-rxbvm,permute-oorexx,7.015322
rxbvm/netrexx,Permute,permute-rxbvm,permute-netrexx,0.470268
rxvm/oorexx,Bounce,bounce-rxvm,bounce-oorexx,3.902513
rxvm/netrexx,Bounce,bounce-rxvm,bounce-netrexx,1.707562
rxbvm/oorexx,Bounce,bounce-rxbvm,bounce-oorexx,2.963270
rxbvm/netrexx,Bounce,bounce-rxbvm,bounce-netrexx,1.296592
rxvm/oorexx,Richards,richards-rxvm,richards-oorexx,0.267262
rxvm/netrexx,Richards,richards-rxvm,richards-netrexx,0.157815
rxbvm/oorexx,Richards,richards-rxbvm,richards-oorexx,0.264171
rxbvm/netrexx,Richards,richards-rxbvm,richards-netrexx,0.155990
rxvm/oorexx,Base64,base64-rxvm,base64-oorexx,0.719817
rxvm/netrexx,Base64,base64-rxvm,base64-netrexx,0.827447
rxbvm/oorexx,Base64,base64-rxbvm,base64-oorexx,0.724922
rxbvm/netrexx,Base64,base64-rxbvm,base64-netrexx,0.833316
