module,procedure,null_delta,endlife_delta,copies_delta,unlink_delta,reference_ops_delta
_address,§_rxsysb.addressdriverregistry.add(),0,-4,0,0,0
_address,§_rxsysb.addressdriverregistry.lookup(),0,-27,0,0,0
_address,§_rxsysb.addressdriverregistry.drivers(),0,-1,0,0,0
_address,§_rxsysb.standardaddressstem.get(),0,-3,0,0,0
_address,§_rxsysb.standardaddressstem.set(),0,-3,0,0,0
_address,§_rxsysb.standardaddressstem.drop(),0,-3,0,0,0
_address,§_rxsysb.standardaddressstem.exists(),0,-3,0,0,0
_address,§_rxsysb.standardaddressstem.next(),0,-1,0,0,0
_address,§_rxsysb.standardaddresssandbox.get(),0,-3,0,0,0
_address,§_rxsysb.standardaddresssandbox.set(),0,-3,0,0,0
_address,§_rxsysb.standardaddresssandbox.drop(),0,-3,0,0,0
_address,§_rxsysb.standardaddresssandbox.exists(),0,-3,0,0,0
_address,§_rxsysb.standardaddresssandbox.next(),0,-1,0,0,0
_address,§_rxsysb.addressrequest.add_binding(),0,-5,0,0,0
_address,§_rxsysb.addressrequest.get_binding_value(),0,-7,0,0,0
_address,§_rxsysb.addressresponse.add_updated_binding(),0,-5,0,0,0
_address,§_rxsysb.crexxaddressenvironment.§match(),0,-2,0,0,0
_address,§_rxsysb.crexxaddressenvironment.invoke(),0,-2,0,0,0
_address,§_rxsysb.systemaddressenvironment.invoke(),0,-2,0,0,0
_address,§_rxsysb.shelladdressenvironment.§match(),0,-2,0,0,0
_address,§_rxsysb.shelladdressenvironment.invoke(),0,-2,0,0,0
_address,§_rxsysb.pathaddressenvironment.§match(),0,-2,0,0,0
_address,§_rxsysb.pathaddressenvironment.invoke(),0,-2,0,0,0
_address,§_rxsysb.unknownaddressenvironment.execute(),0,-1,0,0,0
_address,§_rxsysb.unknownaddressenvironment.invoke(),0,-2,0,0,0
_address,_address(),0,-10,0,0,0
_address,_address_with_sandbox(),0,-10,0,0,0
_address,_address_new_request(),0,-3,0,0,0
_address,_address_apply_response_var(),0,-9,0,0,0
_address,_address_apply_response_sandbox(),0,-1,0,0,0
_address,_address_apply_response_stem(),0,-34,0,0,0
_address,_address_apply_response_request_stem(),0,-34,0,0,0
_address,_address_environment(),0,-5,0,0,0
_address,_address_function(),0,-9,0,0,0
_address,_address_call_response(),0,-1,0,0,0
_address,_address_call(),0,-1,0,0,0
_address,addresscall(),0,-1,0,0,0
_address,_new_address_environment(),0,-2,0,0,0
_address,_ensure_address_environment(),0,-5,0,0,0
_address,_register_address_environment(),0,-5,0,0,0
_address,_set_address_environment(),0,-5,0,0,0
_address,_enable_native_address_environment(),0,-2,0,0,0
_address,native_address_runtime_enabled(),0,-2,0,0,0
_address,alias_address_environment(),0,-10,0,0,0
