vm,n,native_cps_median,native_cps_mean,native_cps_min,native_cps_max,process_real_median_s,process_real_mean_s,process_real_min_s,process_real_max_s
rxvm,3,1195649,1193388.667,1180932,1203585,8.38,8.393,8.32,8.48
rxbvm,3,1180487,1181398.333,1179414,1184294,8.48,8.477,8.46,8.49
