vm,baseline_cps_median,candidate_cps_median,cps_delta_percent,baseline_cps_min,baseline_cps_max,candidate_cps_min,candidate_cps_max,baseline_real_median_s,candidate_real_median_s,real_delta_percent,baseline_real_min_s,baseline_real_max_s,candidate_real_min_s,candidate_real_max_s
rxvm,1145721,1195649,+4.358,1138702,1172036,1180932,1203585,8.74,8.38,-4.119,8.55,8.80,8.32,8.48
rxbvm,1114685,1180487,+5.903,1098014,1132910,1179414,1184294,8.99,8.48,-5.673,8.84,9.12,8.46,8.49
