sequence,vm,phase,phase_sequence,source_sha256,rxas_sha256,image_sha256,library_sha256,native_cps,process_real_s,effective_count,pass,stdout,stderr
1,rxvm,warmup,1,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6,05aa58c27041adc4f86cfc0224f7c0803836f982d19a5c4f6cea1e4887173f4a,466de7f06414148e4a3f63337e716ce332e1c082363297974240f4b3cc9cabbe,6d1ae40af463fd53633f44603a57cc2291aaa3149bb4ef0d04a67511ea04cf13,1184954,8.45,100,1,raw/01-rxvm-warmup-1.stdout.txt,raw/01-rxvm-warmup-1.stderr.txt
2,rxvm,recorded,1,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6,05aa58c27041adc4f86cfc0224f7c0803836f982d19a5c4f6cea1e4887173f4a,466de7f06414148e4a3f63337e716ce332e1c082363297974240f4b3cc9cabbe,6d1ae40af463fd53633f44603a57cc2291aaa3149bb4ef0d04a67511ea04cf13,1195649,8.38,100,1,raw/02-rxvm-recorded-1.stdout.txt,raw/02-rxvm-recorded-1.stderr.txt
3,rxvm,recorded,2,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6,05aa58c27041adc4f86cfc0224f7c0803836f982d19a5c4f6cea1e4887173f4a,466de7f06414148e4a3f63337e716ce332e1c082363297974240f4b3cc9cabbe,6d1ae40af463fd53633f44603a57cc2291aaa3149bb4ef0d04a67511ea04cf13,1180932,8.48,100,1,raw/03-rxvm-recorded-2.stdout.txt,raw/03-rxvm-recorded-2.stderr.txt
4,rxvm,recorded,3,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6,05aa58c27041adc4f86cfc0224f7c0803836f982d19a5c4f6cea1e4887173f4a,466de7f06414148e4a3f63337e716ce332e1c082363297974240f4b3cc9cabbe,6d1ae40af463fd53633f44603a57cc2291aaa3149bb4ef0d04a67511ea04cf13,1203585,8.32,100,1,raw/04-rxvm-recorded-3.stdout.txt,raw/04-rxvm-recorded-3.stderr.txt
5,rxbvm,warmup,1,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6,05aa58c27041adc4f86cfc0224f7c0803836f982d19a5c4f6cea1e4887173f4a,466de7f06414148e4a3f63337e716ce332e1c082363297974240f4b3cc9cabbe,6d1ae40af463fd53633f44603a57cc2291aaa3149bb4ef0d04a67511ea04cf13,1166254,8.85,100,1,raw/05-rxbvm-warmup-1.stdout.txt,raw/05-rxbvm-warmup-1.stderr.txt
6,rxbvm,recorded,1,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6,05aa58c27041adc4f86cfc0224f7c0803836f982d19a5c4f6cea1e4887173f4a,466de7f06414148e4a3f63337e716ce332e1c082363297974240f4b3cc9cabbe,6d1ae40af463fd53633f44603a57cc2291aaa3149bb4ef0d04a67511ea04cf13,1179414,8.49,100,1,raw/06-rxbvm-recorded-1.stdout.txt,raw/06-rxbvm-recorded-1.stderr.txt
7,rxbvm,recorded,2,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6,05aa58c27041adc4f86cfc0224f7c0803836f982d19a5c4f6cea1e4887173f4a,466de7f06414148e4a3f63337e716ce332e1c082363297974240f4b3cc9cabbe,6d1ae40af463fd53633f44603a57cc2291aaa3149bb4ef0d04a67511ea04cf13,1184294,8.46,100,1,raw/07-rxbvm-recorded-2.stdout.txt,raw/07-rxbvm-recorded-2.stderr.txt
8,rxbvm,recorded,3,2970c3d73fe2537ec8f81295c585495c4668b442d5b9a2335b1ee453a13bbdd6,05aa58c27041adc4f86cfc0224f7c0803836f982d19a5c4f6cea1e4887173f4a,466de7f06414148e4a3f63337e716ce332e1c082363297974240f4b3cc9cabbe,6d1ae40af463fd53633f44603a57cc2291aaa3149bb4ef0d04a67511ea04cf13,1180487,8.48,100,1,raw/08-rxbvm-recorded-3.stdout.txt,raw/08-rxbvm-recorded-3.stderr.txt
