Compile requests                         556
Compile requests executed               1786
Cache hits                                17
Cache hits (C/C++)                         5
Cache hits (CUBIN)                        12
Cache misses                            1692
Cache misses (C/C++)                     474
Cache misses (CUBIN)                     296
Cache misses (CUDA)                       75
Cache misses (CUDA (Device code))         77
Cache misses (PTX)                       770
Cache hits rate                         0.99 %
Cache hits rate (C/C++)                 1.04 %
Cache hits rate (CUBIN)                 3.90 %
Cache hits rate (CUDA)                  0.00 %
Cache hits rate (CUDA (Device code))    0.00 %
Cache hits rate (PTX)                   0.00 %
Cache timeouts                             0
Cache read errors                          0
Forced recaches                            0
Cache write errors                         1
Cache errors                               0
Compilations                            1767
Compilation failures                       0
Non-cacheable compilations                75
Non-cacheable calls                        0
Non-compilation calls                      0
Unsupported compiler calls                 0
Average cache write                    0.288 s
Average compiler                       4.220 s
Average cache read hit                 0.142 s
Failed distributed compilations            0
Cache location                       ghac, name: 90541733aa72480a9e77ce99e66fc1cfabfa835d74c751408eb0351b7adcec6b, prefix: /sccache/
Base directories                     (none)
Version (client)                     0.16.0
