workload,vm,metric,pairs,control_median,candidate_median,min_percent,q1_percent,median_percent,q3_percent,max_percent,mean_percent,mean_95_ci_low_percent,mean_95_ci_high_percent,interval_result,favorable,total,guard_hit
Decimal-steady-9-rxbvm,rxbvm,elapsed_ns,12,1134967000.000000,1120695000.000000,-2.456323,-1.914683,-1.252903,-0.717120,-0.146853,-1.314789,-1.808441,-0.821137,clear_favorable,12,12,no
Decimal-steady-9-rxtvm,rxtvm,elapsed_ns,24,1137513500.000000,1131664500.000000,-1.761071,-1.308099,-0.630041,-0.045130,0.987673,-0.553696,-0.876319,-0.231074,clear_favorable,18,24,no
Decimal-cold-9-rxbvm,rxbvm,elapsed_ns,36,15859000.000000,15853000.000000,-24.050388,-0.312305,-0.028495,0.531180,44.331024,1.819533,-2.141463,5.780528,noisy_inconclusive,19,36,no
Decimal-cold-9-rxtvm,rxtvm,elapsed_ns,36,15943500.000000,15931000.000000,-28.857071,-1.818038,-0.156246,0.443905,45.065227,-2.071495,-6.565125,2.422135,noisy_inconclusive,23,36,no
Decimal-steady-18-rxbvm,rxbvm,elapsed_ns,12,1706885500.000000,1690467000.000000,-1.917011,-1.330794,-0.854379,-0.712248,-0.015818,-0.956753,-1.284027,-0.629478,clear_favorable,12,12,no
Decimal-steady-18-rxtvm,rxtvm,elapsed_ns,12,1711538000.000000,1698976000.000000,-1.419432,-0.845578,-0.669338,-0.579402,0.154649,-0.693682,-0.939485,-0.447879,clear_favorable,11,12,no
Decimal-cold-18-rxbvm,rxbvm,elapsed_ns,36,15899500.000000,15870500.000000,-28.779325,-6.601875,-0.174966,0.598201,37.701648,-0.838207,-6.175120,4.498706,noisy_inconclusive,23,36,no
Decimal-cold-18-rxtvm,rxtvm,elapsed_ns,36,15925000.000000,15921500.000000,-30.478100,-0.426871,0.046527,1.016895,40.975610,0.501677,-3.746081,4.749435,noisy_inconclusive,18,36,no
