comparison,workload,crexx_cell,reference_cell,ratio_higher_is_better
rxvm/oorexx,Sieve,sieve-rxvm,sieve-oorexx,6.286637
rxvm/netrexx,Sieve,sieve-rxvm,sieve-netrexx,2.146256
rxbvm/oorexx,Sieve,sieve-rxbvm,sieve-oorexx,6.396555
rxbvm/netrexx,Sieve,sieve-rxbvm,sieve-netrexx,2.183782
rxvm/oorexx,Permute,permute-rxvm,permute-oorexx,8.537691
rxvm/netrexx,Permute,permute-rxvm,permute-netrexx,0.547669
rxbvm/oorexx,Permute,permute-rxbvm,permute-oorexx,7.950572
rxbvm/netrexx,Permute,permute-rxbvm,permute-netrexx,0.510007
rxvm/oorexx,Bounce,bounce-rxvm,bounce-oorexx,4.187727
rxvm/netrexx,Bounce,bounce-rxvm,bounce-netrexx,1.622052
rxbvm/oorexx,Bounce,bounce-rxbvm,bounce-oorexx,4.065511
rxbvm/netrexx,Bounce,bounce-rxbvm,bounce-netrexx,1.574713
rxvm/oorexx,Richards,richards-rxvm,richards-oorexx,0.404024
rxvm/netrexx,Richards,richards-rxvm,richards-netrexx,0.203627
rxbvm/oorexx,Richards,richards-rxbvm,richards-oorexx,0.369341
rxbvm/netrexx,Richards,richards-rxbvm,richards-netrexx,0.186147
rxvm/oorexx,Base64,base64-rxvm,base64-oorexx,0.702712
rxvm/netrexx,Base64,base64-rxvm,base64-netrexx,0.642565
rxbvm/oorexx,Base64,base64-rxbvm,base64-oorexx,0.693483
rxbvm/netrexx,Base64,base64-rxbvm,base64-netrexx,0.634126
