role,runtime,workload,form,path,size_bytes,sha256
product,crexx,toolchain,compiler,/private/tmp/crexx-perf2-0809.uMsNxm/build-release/bin/rxc,2802496,2f74aed9ec33f52d7f39df38eff04c8c1cb5269497bbebb354d3e900b8a2a701
product,crexx,toolchain,assembler,/private/tmp/crexx-perf2-0809.uMsNxm/build-release/bin/rxas,579736,689de0b669248735e5d9b00627d0c9a95a98cc05cf5b86e94e601064dfc331d9
product,crexx,toolchain,linker,/private/tmp/crexx-perf2-0809.uMsNxm/build-release/bin/rxlink,145416,f3c16ac1df12424922ff392bab90f4be0cbbae2b9892b52de09e7c3d8b0703ac
product,crexx,runtime,threaded-executable,/private/tmp/crexx-perf2-0809.uMsNxm/build-release/bin/rxvm,998904,931c75e18530c4c4f80f578f64599e7cc8e31aaad76a272ec4b618853fa662ad
product,crexx,runtime,bytecode-executable,/private/tmp/crexx-perf2-0809.uMsNxm/build-release/bin/rxbvm,999064,62efe6a725ad7b2a544d92611e021d11757b89635db3075a750838c41b4ebf24
product,crexx,library,linked-rxbin,/private/tmp/crexx-perf2-0809.uMsNxm/build-release/bin/library.rxbin,862512,61984fd0a7f73736e6482a7f012bdbe2cc0ecc36cc6656f397e69df64a1a4c76
build,crexx,toolchain,cmake-cache,/private/tmp/crexx-perf2-0809.uMsNxm/build-release/CMakeCache.txt,38222,65f4128eb4edf4666359f443f303f1d65cec0c1446615cf5014e58eff155b004
tool,crexx,PERF2-09,matrix-driver,performance/tools/run_cross_runtime_matrix.crexx,30844,77cfd1d1b4532b545d19f8313ac74567211834ca4fd7e2537a493c8f40bbceab
tool,crexx,PERF2-09,lifecycle-driver,performance/tools/run_lifecycle.crexx,18167,6690e730dcd61beef812e1b90b568e3678fad93c6691de003071d5effbba9d6b
tool,crexx,PERF2-09,artifact-inventory,performance/tools/inventory_performance_artifacts.crexx,8220,1b84d1511bf7c99c803cb66eae2e02806c2f2ce93337db4a965be5901f3ff17f
manifest,all,PERF2-09,formal-matrix,performance/manifests/perf2-09-mac-closure-v1.txt,8765,aa15f57692845d7d823886b8a4899b87488b3620c8b575034e20da049658e931
manifest,all,PERF2-09,timing-append,performance/manifests/perf2-09-mac-timing-noise-append-v1.txt,907,8f0a15dc5e28c9fe56ed8341ec82ff39cf88b5249b6f28070760c7573b2f2fe4
manifest,all,PERF2-09,rss-append,performance/manifests/perf2-09-mac-rss-noise-append-v1.txt,1322,e427efb3d86f68b38d8b2a83b85ef9dd9b6b4cfb9463b4569c1f45f502a9d3d9
benchmark,crexx,Sieve,source,tests/benchmarks/awfy_sieve.crexx,983,395cc773ded763af39cd7ca0813582281e7f1be5768e5207f05e379e1756c18d
benchmark,crexx,Sieve,rxas,/private/tmp/crexx-perf2-0809.uMsNxm/build-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxas,9774,966809207608512d0fe16771b9086baa36ff4754cee2ea5252fc8881bd498358
benchmark,crexx,Sieve,rxbin,/private/tmp/crexx-perf2-0809.uMsNxm/build-release/tests/benchmarks/benchmark_awfy_sieve_opt.rxbin,4864,75d264a9acb4f17aab6c85e1a2991904580950ec6cd4da1c235d1010319e4f7f
benchmark,crexx,Permute,source,tests/benchmarks/awfy_permute.crexx,1313,272178f1429f704f8b90e530b96a4e161acb627872530a277d2c7e6e9daed7e4
benchmark,crexx,Permute,rxas,/private/tmp/crexx-perf2-0809.uMsNxm/build-release/tests/benchmarks/benchmark_awfy_permute_opt.rxas,29684,cf203b7484dec623bee0e263f6748a6b6a9160832714df245c1097d00779182d
benchmark,crexx,Permute,rxbin,/private/tmp/crexx-perf2-0809.uMsNxm/build-release/tests/benchmarks/benchmark_awfy_permute_opt.rxbin,11773,c1aa378b3dad522a6c9a4c35395da762cc89d870e4f36e920d22bbab7fac83e2
benchmark,crexx,Bounce,source,tests/benchmarks/awfy_bounce.crexx,2230,9d569ff3f2995dfc8408352b5b085bc0e91e828d05c99684802677c5105284f1
benchmark,crexx,Bounce,rxas,/private/tmp/crexx-perf2-0809.uMsNxm/build-release/tests/benchmarks/benchmark_awfy_bounce_opt.rxas,45362,18682cbb57d7d2933f7963fb8da6a5359838950231fe3f5e389967c770631a2e
benchmark,crexx,Bounce,rxbin,/private/tmp/crexx-perf2-0809.uMsNxm/build-release/tests/benchmarks/benchmark_awfy_bounce_opt.rxbin,17175,7510f0b3857f0f87fcda024e63ae49472888cd1f4e6daf968940b986dffb0aee
benchmark,crexx,Richards,source,tests/benchmarks/awfy_richards.crexx,9403,cd136e6cc8bc5dd487db99abe706fc96d161b3e4b102e13b20cce69bc4692372
benchmark,crexx,Richards,rxas,/private/tmp/crexx-perf2-0809.uMsNxm/build-release/tests/benchmarks/benchmark_awfy_richards_opt.rxas,255035,ec61aa8cb044312675502c0ce2a46d4f131e0640bae6188d5db007bfb8731673
