rank,count,sites,modules,symbols,status,pattern,mapping,example_module,example_start
1,862451,51,1,6,over_3_symbols,"SETATTRS_REG_INT(r1,c1) | IADD_REG_REG_INT(r2,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r2)","r1=R8;c1=int:6;r2=R9;r3=R13;c2=int:1;r4=R7","benchmark_awfy_richards_opt",2518
2,769796,41,1,7,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r1,c2) | IADD_REG_REG_INT(r3,r4,c3)","r1=R8;r2=R12;c1=int:21;c2=int:6;r3=R9;r4=R13;c3=int:1","benchmark_awfy_richards_opt",2514
3,290777,4,1,6,over_3_symbols,"IADD_REG_REG_INT(r1,r2,c1) | LINKATTR1_REG_REG_REG(r3,r4,r1) | BRF_ID_REG(c2,r3)","r1=R8;r2=R3;c1=int:1;r3=R9;r4=R7;c2=label@4409","benchmark_awfy_richards_opt",4390
4,280380,68,1,4,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | LINKATTR1_REG_REG_INT(r2,r3,c1)","r1=R3;r2=R4;r3=R2;c1=int:24","benchmark_awfy_richards_opt",509
5,255032,97,1,3,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r1) | UNLINK_REG(r3)","r1=R5;r2=R3;r3=R4","benchmark_awfy_richards_opt",527
6,245462,28,1,4,over_3_symbols,"UNLINK_REG(r1) | LINKATTR1_REG_REG_INT(r1,r2,c1) | SETATTRS_REG_INT(r1,c2)","r1=R4;r2=R2;c1=int:24;c2=int:6","benchmark_awfy_richards_opt",511
7,236955,36,1,4,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | ICOPY_REG_REG(r1,r3) | UNLINK_REG(r1)","r1=R9;r2=R8;c1=int:22;r3=R10","benchmark_awfy_richards_opt",94
8,219120,27,1,6,over_3_symbols,"LINKATTR1_REG_REG_INT(r1,r2,c1) | MINATTRS_REG_REG_INT(r1,r3,c2) | LINKATTR1_REG_REG_REG(r4,r1,r3)","r1=R6;r2=R9;c1=int:17;r3=R10;c2=int:0;r4=R5","benchmark_awfy_richards_opt",2926
9,218892,7,1,6,over_3_symbols,"ICOPY_REG_REG(r1,r2) | LINKATTR1_REG_REG_INT(r3,r4,c1) | SETATTRS_REG_INT(r3,c2)","r1=R23;r2=R0;r3=R17;r4=R24;c1=int:21;c2=int:6","benchmark_awfy_richards_opt",1158
10,204259,25,1,3,candidate,"UNLINK_REG(r1) | UNLINK_REG(r2) | UNLINK_REG(r3)","r1=R5;r2=R3;r3=R4","benchmark_awfy_richards_opt",507
11,195649,9,1,6,over_3_symbols,"COPY_REG_REG(r1,r2) | ICOPY_REG_REG(r3,r4) | LINKATTR1_REG_REG_INT(r5,r1,c1)","r1=R20;r2=R60;r3=R19;r4=R0;r5=R13;c1=int:9","benchmark_awfy_richards_opt",894
12,190570,17,1,3,candidate,"ICOPY_REG_REG(r1,r2) | UNLINK_REG(r2) | UNLINK_REG(r3)","r1=R0;r2=R7;r3=R6","benchmark_awfy_richards_opt",2972
13,189834,7,1,4,over_3_symbols,"UNLINK_REG(r1) | UNLINK_REG(r2) | BRF_ID_REG(c1,r3)","r1=R8;r2=R6;c1=label@3894;r3=R11","benchmark_awfy_richards_opt",3885
14,182099,73,1,3,candidate,"LOAD_REG_INT(r1,c1) | ICOPY_REG_REG(r2,r1) | UNLINK_REG(r2)","r1=R3;c1=int:0;r2=R5","benchmark_awfy_richards_opt",524
