artifact,variant,sha256,bytes,instructions
library,accepted-nr27,5cf045b7275a9261443219765456c6e9aadad41cfd0b6df47f15ec218f31aaa9,860816,55664
library,nr18,6521fd638853dee40059e19517ff6d0588e7d3725b0756ddea444e84d1043b57,858896,54829
sieve-linked,accepted-nr27,e4a931f92d0b7274a02187c3dfde8a114af0ddd2f069d6c760b20933ff78668b,4840,
sieve-linked,nr18,e4a931f92d0b7274a02187c3dfde8a114af0ddd2f069d6c760b20933ff78668b,4840,
permute-linked,accepted-nr27,8a12b4062368ab823f308a147cfd007328d5386008162cccbcd2f09a4e63367a,11933,
permute-linked,nr18,8a12b4062368ab823f308a147cfd007328d5386008162cccbcd2f09a4e63367a,11933,
bounce-linked,accepted-nr27,7368b4f774263342e7331f97bb16f2fecc3da1db62bc5a587f1625480e38861a,17887,
bounce-linked,nr18,7368b4f774263342e7331f97bb16f2fecc3da1db62bc5a587f1625480e38861a,17887,
richards-linked,accepted-nr27,45d2f0e9fd6598d4d1a97c96021c35b57f691f74c0c47010a5e297dc4b26cd35,79606,
richards-linked,nr18,45d2f0e9fd6598d4d1a97c96021c35b57f691f74c0c47010a5e297dc4b26cd35,79606,
base64-linked,accepted-nr27,1e598d1c40848a277a3d921257f356eef60a17319d06763c084bd6d1f04ca928,38417,
base64-linked,nr18,1e598d1c40848a277a3d921257f356eef60a17319d06763c084bd6d1f04ca928,38417,
