phase,vm,round,position,variant,cps,effective_count,calibrated,pass
warmup,rxtvm,1,1,A,44242854,500,1,1
warmup,rxtvm,1,2,B,44148005,500,1,1
warmup,rxtvm,1,3,C,43760076,500,1,1
warmup,rxtvm,1,4,D,44197215,500,1,1
warmup,rxtvm,1,5,E,43947081,500,1,1
warmup,rxtvm,2,1,E,43778659,500,1,1
warmup,rxtvm,2,2,D,43521214,500,1,1
warmup,rxtvm,2,3,C,43624574,500,1,1
warmup,rxtvm,2,4,B,42872307,500,1,1
warmup,rxtvm,2,5,A,42923834,500,1,1
warmup,rxbvm,1,1,A,46115421,500,1,1
warmup,rxbvm,1,2,B,46128908,500,1,1
warmup,rxbvm,1,3,C,46222127,500,1,1
warmup,rxbvm,1,4,D,46274744,500,1,1
warmup,rxbvm,1,5,E,45446778,500,1,1
warmup,rxbvm,2,1,E,45317604,500,1,1
warmup,rxbvm,2,2,D,45457066,500,1,1
warmup,rxbvm,2,3,C,45685590,500,1,1
warmup,rxbvm,2,4,B,45554766,500,1,1
warmup,rxbvm,2,5,A,45332395,500,1,1
record,rxtvm,1,1,A,43049451,500,1,1
record,rxtvm,1,2,B,43299865,500,1,1
record,rxtvm,1,3,C,43062057,500,1,1
record,rxtvm,1,4,D,42841634,500,1,1
record,rxtvm,1,5,E,42894338,500,1,1
record,rxbvm,1,1,A,44689582,500,1,1
record,rxbvm,1,2,B,44969610,500,1,1
record,rxbvm,1,3,C,45186303,500,1,1
record,rxbvm,1,4,D,45886757,500,1,1
record,rxbvm,1,5,E,45429477,500,1,1
record,rxbvm,2,1,B,45520219,500,1,1
record,rxbvm,2,2,C,45429642,500,1,1
record,rxbvm,2,3,D,45248377,500,1,1
record,rxbvm,2,4,E,44890920,500,1,1
record,rxbvm,2,5,A,45029224,500,1,1
record,rxtvm,2,1,B,43358930,500,1,1
record,rxtvm,2,2,C,42801953,500,1,1
record,rxtvm,2,3,D,42787485,500,1,1
record,rxtvm,2,4,E,43044633,500,1,1
record,rxtvm,2,5,A,42506489,500,1,1
record,rxtvm,3,1,C,43068956,500,1,1
record,rxtvm,3,2,D,43015859,500,1,1
record,rxtvm,3,3,E,42648870,500,1,1
record,rxtvm,3,4,A,42466091,500,1,1
record,rxtvm,3,5,B,42757701,500,1,1
record,rxbvm,3,1,C,45140613,500,1,1
record,rxbvm,3,2,D,44937196,500,1,1
record,rxbvm,3,3,E,44816682,500,1,1
record,rxbvm,3,4,A,45726075,500,1,1
record,rxbvm,3,5,B,45740674,500,1,1
record,rxbvm,4,1,D,45852966,500,1,1
record,rxbvm,4,2,E,45332889,500,1,1
record,rxbvm,4,3,A,45268164,500,1,1
record,rxbvm,4,4,B,45025858,500,1,1
record,rxbvm,4,5,C,45786288,500,1,1
record,rxtvm,4,1,D,42944258,500,1,1
record,rxtvm,4,2,E,42431062,500,1,1
record,rxtvm,4,3,A,42500021,500,1,1
record,rxtvm,4,4,B,43117201,500,1,1
record,rxtvm,4,5,C,42398860,500,1,1
record,rxtvm,5,1,E,42528109,500,1,1
record,rxtvm,5,2,A,42275326,500,1,1
record,rxtvm,5,3,B,42373133,500,1,1
record,rxtvm,5,4,C,42689799,500,1,1
record,rxtvm,5,5,D,42913151,500,1,1
record,rxbvm,5,1,E,45158307,500,1,1
record,rxbvm,5,2,A,45224394,500,1,1
record,rxbvm,5,3,B,45234746,500,1,1
record,rxbvm,5,4,C,45037458,500,1,1
record,rxbvm,5,5,D,45614278,500,1,1
record,rxbvm,6,1,E,45348430,500,1,1
record,rxbvm,6,2,D,44890758,500,1,1
record,rxbvm,6,3,C,45115849,500,1,1
record,rxbvm,6,4,B,45556717,500,1,1
record,rxbvm,6,5,A,45102825,500,1,1
record,rxtvm,6,1,E,42574569,500,1,1
record,rxtvm,6,2,D,43066619,500,1,1
record,rxtvm,6,3,C,41994433,500,1,1
record,rxtvm,6,4,B,42550512,500,1,1
record,rxtvm,6,5,A,42962487,500,1,1
record,rxtvm,7,1,D,42755873,500,1,1
record,rxtvm,7,2,C,42845819,500,1,1
record,rxtvm,7,3,B,37870324,500,1,1
record,rxtvm,7,4,A,42610017,500,1,1
record,rxtvm,7,5,E,42886796,500,1,1
record,rxbvm,7,1,D,44913985,500,1,1
record,rxbvm,7,2,C,45072251,500,1,1
record,rxbvm,7,3,B,44823391,500,1,1
record,rxbvm,7,4,A,45130916,500,1,1
record,rxbvm,7,5,E,44581717,500,1,1
record,rxbvm,8,1,C,45176913,500,1,1
record,rxbvm,8,2,B,45153984,500,1,1
record,rxbvm,8,3,A,45168302,500,1,1
record,rxbvm,8,4,E,44978105,500,1,1
record,rxbvm,8,5,D,45543397,500,1,1
record,rxtvm,8,1,C,42802356,500,1,1
record,rxtvm,8,2,B,42577071,500,1,1
record,rxtvm,8,3,A,42923355,500,1,1
record,rxtvm,8,4,E,42723723,500,1,1
record,rxtvm,8,5,D,42006782,500,1,1
record,rxtvm,9,1,B,42725329,500,1,1
record,rxtvm,9,2,A,42796714,500,1,1
record,rxtvm,9,3,E,42414577,500,1,1
record,rxtvm,9,4,D,42581966,500,1,1
record,rxtvm,9,5,C,42663135,500,1,1
record,rxbvm,9,1,B,45253210,500,1,1
record,rxbvm,9,2,A,45852630,500,1,1
record,rxbvm,9,3,E,45054990,500,1,1
record,rxbvm,9,4,D,45541654,500,1,1
record,rxbvm,9,5,C,45906095,500,1,1
record,rxbvm,10,1,A,45316659,500,1,1
record,rxbvm,10,2,E,44752501,500,1,1
record,rxbvm,10,3,D,45236137,500,1,1
record,rxbvm,10,4,C,45198271,500,1,1
record,rxbvm,10,5,B,44864898,500,1,1
record,rxtvm,10,1,A,42647051,500,1,1
record,rxtvm,10,2,E,42585411,500,1,1
record,rxtvm,10,3,D,43042299,500,1,1
record,rxtvm,10,4,C,41367956,500,1,1
record,rxtvm,10,5,B,42776064,500,1,1
record,rxtvm,11,1,A,42841928,500,1,1
record,rxtvm,11,2,B,43050748,500,1,1
record,rxtvm,11,3,C,42526445,500,1,1
record,rxtvm,11,4,D,43140490,500,1,1
record,rxtvm,11,5,E,41815810,500,1,1
record,rxbvm,11,1,A,45258535,500,1,1
record,rxbvm,11,2,B,45315509,500,1,1
record,rxbvm,11,3,C,45094812,500,1,1
record,rxbvm,11,4,D,45252186,500,1,1
record,rxbvm,11,5,E,45786498,500,1,1
record,rxbvm,12,1,B,44885721,500,1,1
record,rxbvm,12,2,C,44536209,500,1,1
record,rxbvm,12,3,D,45169403,500,1,1
record,rxbvm,12,4,E,45051701,500,1,1
record,rxbvm,12,5,A,44902651,500,1,1
record,rxtvm,12,1,B,42100690,500,1,1
record,rxtvm,12,2,C,42803785,500,1,1
record,rxtvm,12,3,D,42873079,500,1,1
record,rxtvm,12,4,E,42380172,500,1,1
record,rxtvm,12,5,A,42584541,500,1,1
record,rxtvm,13,1,C,42265463,500,1,1
record,rxtvm,13,2,D,42869220,500,1,1
record,rxtvm,13,3,E,42835798,500,1,1
record,rxtvm,13,4,A,42415764,500,1,1
record,rxtvm,13,5,B,42744797,500,1,1
record,rxbvm,13,1,C,42211405,500,1,1
record,rxbvm,13,2,D,45432366,500,1,1
record,rxbvm,13,3,E,45301057,500,1,1
record,rxbvm,13,4,A,45349335,500,1,1
record,rxbvm,13,5,B,45367070,500,1,1
record,rxbvm,14,1,D,45823718,500,1,1
record,rxbvm,14,2,E,45402250,500,1,1
record,rxbvm,14,3,A,45674155,500,1,1
record,rxbvm,14,4,B,44742329,500,1,1
record,rxbvm,14,5,C,43316070,500,1,1
record,rxtvm,14,1,D,42559023,500,1,1
record,rxtvm,14,2,E,42433115,500,1,1
record,rxtvm,14,3,A,42880801,500,1,1
record,rxtvm,14,4,B,42899601,500,1,1
record,rxtvm,14,5,C,42969982,500,1,1
record,rxtvm,15,1,E,41943846,500,1,1
record,rxtvm,15,2,A,42616591,500,1,1
record,rxtvm,15,3,B,42243966,500,1,1
record,rxtvm,15,4,C,42400909,500,1,1
record,rxtvm,15,5,D,42541244,500,1,1
record,rxbvm,15,1,E,44854313,500,1,1
record,rxbvm,15,2,A,45412848,500,1,1
record,rxbvm,15,3,B,45699871,500,1,1
record,rxbvm,15,4,C,45092290,500,1,1
record,rxbvm,15,5,D,45117518,500,1,1
record,rxbvm,16,1,E,45138249,500,1,1
record,rxbvm,16,2,D,45178913,500,1,1
record,rxbvm,16,3,C,45299087,500,1,1
record,rxbvm,16,4,B,45334492,500,1,1
record,rxbvm,16,5,A,45212126,500,1,1
record,rxtvm,16,1,E,42841304,500,1,1
record,rxtvm,16,2,D,43268990,500,1,1
record,rxtvm,16,3,C,42922876,500,1,1
record,rxtvm,16,4,B,42866684,500,1,1
record,rxtvm,16,5,A,42700080,500,1,1
record,rxtvm,17,1,D,43111959,500,1,1
record,rxtvm,17,2,C,42850226,500,1,1
record,rxtvm,17,3,B,42969354,500,1,1
record,rxtvm,17,4,A,42670089,500,1,1
record,rxtvm,17,5,E,42794773,500,1,1
record,rxbvm,17,1,D,44619352,500,1,1
record,rxbvm,17,2,C,45240189,500,1,1
record,rxbvm,17,3,B,44107113,500,1,1
record,rxbvm,17,4,A,45308734,500,1,1
record,rxbvm,17,5,E,44820820,500,1,1
record,rxbvm,18,1,C,45054259,500,1,1
record,rxbvm,18,2,B,45134827,500,1,1
record,rxbvm,18,3,A,45084890,500,1,1
record,rxbvm,18,4,E,45486386,500,1,1
record,rxbvm,18,5,D,45383623,500,1,1
record,rxtvm,18,1,C,42283012,500,1,1
record,rxtvm,18,2,B,42976519,500,1,1
record,rxtvm,18,3,A,41514068,500,1,1
record,rxtvm,18,4,E,42975005,500,1,1
record,rxtvm,18,5,D,42304227,500,1,1
record,rxtvm,19,1,B,42430738,500,1,1
record,rxtvm,19,2,A,42784263,500,1,1
record,rxtvm,19,3,E,42864148,500,1,1
record,rxtvm,19,4,D,42871499,500,1,1
record,rxtvm,19,5,C,42248856,500,1,1
record,rxbvm,19,1,B,44876657,500,1,1
record,rxbvm,19,2,A,45500335,500,1,1
record,rxbvm,19,3,E,44683591,500,1,1
record,rxbvm,19,4,D,44858941,500,1,1
record,rxbvm,19,5,C,44744091,500,1,1
record,rxbvm,20,1,A,44549502,500,1,1
record,rxbvm,20,2,E,45689013,500,1,1
record,rxbvm,20,3,D,44937519,500,1,1
record,rxbvm,20,4,C,45076396,500,1,1
record,rxbvm,20,5,B,44879476,500,1,1
record,rxtvm,20,1,A,42824975,500,1,1
record,rxtvm,20,2,E,42664300,500,1,1
record,rxtvm,20,3,D,42616155,500,1,1
record,rxtvm,20,4,C,42838918,500,1,1
record,rxtvm,20,5,B,42598364,500,1,1
record,rxtvm,21,1,A,42635887,500,1,1
record,rxtvm,21,2,B,42642396,500,1,1
record,rxtvm,21,3,C,42744724,500,1,1
record,rxtvm,21,4,D,42995958,500,1,1
record,rxtvm,21,5,E,42586681,500,1,1
record,rxbvm,21,1,A,44832314,500,1,1
record,rxbvm,21,2,B,44650831,500,1,1
record,rxbvm,21,3,C,44501684,500,1,1
record,rxbvm,21,4,D,44923267,500,1,1
record,rxbvm,21,5,E,44960996,500,1,1
record,rxbvm,22,1,B,44532560,500,1,1
record,rxbvm,22,2,C,45756916,500,1,1
record,rxbvm,22,3,D,45823592,500,1,1
record,rxbvm,22,4,E,45015602,500,1,1
record,rxbvm,22,5,A,45151864,500,1,1
record,rxtvm,22,1,B,42360783,500,1,1
record,rxtvm,22,2,C,42484926,500,1,1
record,rxtvm,22,3,D,41807104,500,1,1
record,rxtvm,22,4,E,42829230,500,1,1
record,rxtvm,22,5,A,42261390,500,1,1
record,rxtvm,23,1,C,42466235,500,1,1
record,rxtvm,23,2,D,42860033,500,1,1
record,rxtvm,23,3,E,42512597,500,1,1
record,rxtvm,23,4,A,41959474,500,1,1
record,rxtvm,23,5,B,42603046,500,1,1
record,rxbvm,23,1,C,44695814,500,1,1
record,rxbvm,23,2,D,45577065,500,1,1
record,rxbvm,23,3,E,44960552,500,1,1
record,rxbvm,23,4,A,45032225,500,1,1
record,rxbvm,23,5,B,45252841,500,1,1
record,rxbvm,24,1,D,45468062,500,1,1
record,rxbvm,24,2,E,45887515,500,1,1
record,rxbvm,24,3,A,45437692,500,1,1
record,rxbvm,24,4,B,44636082,500,1,1
record,rxbvm,24,5,C,45239575,500,1,1
record,rxtvm,24,1,D,42482869,500,1,1
record,rxtvm,24,2,E,42511440,500,1,1
record,rxtvm,24,3,A,42196372,500,1,1
record,rxtvm,24,4,B,42683968,500,1,1
record,rxtvm,24,5,C,42834844,500,1,1
record,rxtvm,25,1,E,42774234,500,1,1
record,rxtvm,25,2,A,42719489,500,1,1
record,rxtvm,25,3,B,42532703,500,1,1
record,rxtvm,25,4,C,42618988,500,1,1
record,rxtvm,25,5,D,43073557,500,1,1
record,rxbvm,25,1,E,45046547,500,1,1
record,rxbvm,25,2,A,44985753,500,1,1
record,rxbvm,25,3,B,44508656,500,1,1
record,rxbvm,25,4,C,45596724,500,1,1
record,rxbvm,25,5,D,45290635,500,1,1
record,rxbvm,26,1,E,44911686,500,1,1
record,rxbvm,26,2,D,45050118,500,1,1
record,rxbvm,26,3,C,45398540,500,1,1
record,rxbvm,26,4,B,44875609,500,1,1
record,rxbvm,26,5,A,44334338,500,1,1
record,rxtvm,26,1,E,42763771,500,1,1
record,rxtvm,26,2,D,43265732,500,1,1
record,rxtvm,26,3,C,42790085,500,1,1
record,rxtvm,26,4,B,42527711,500,1,1
record,rxtvm,26,5,A,42595316,500,1,1
record,rxtvm,27,1,D,42410512,500,1,1
record,rxtvm,27,2,C,42504863,500,1,1
record,rxtvm,27,3,B,43120288,500,1,1
record,rxtvm,27,4,A,42945439,500,1,1
record,rxtvm,27,5,E,42563153,500,1,1
record,rxbvm,27,1,D,45624060,500,1,1
record,rxbvm,27,2,C,44434057,500,1,1
record,rxbvm,27,3,B,44963867,500,1,1
record,rxbvm,27,4,A,44557958,500,1,1
record,rxbvm,27,5,E,45030603,500,1,1
record,rxbvm,28,1,C,44728520,500,1,1
record,rxbvm,28,2,B,44204327,500,1,1
record,rxbvm,28,3,A,44789663,500,1,1
record,rxbvm,28,4,E,45116093,500,1,1
record,rxbvm,28,5,D,44607888,500,1,1
record,rxtvm,28,1,C,42380819,500,1,1
record,rxtvm,28,2,B,42748342,500,1,1
record,rxtvm,28,3,A,43242720,500,1,1
record,rxtvm,28,4,E,42692095,500,1,1
record,rxtvm,28,5,D,42732011,500,1,1
record,rxtvm,29,1,B,42904350,500,1,1
record,rxtvm,29,2,A,42668961,500,1,1
record,rxtvm,29,3,E,43104972,500,1,1
record,rxtvm,29,4,D,42615828,500,1,1
record,rxtvm,29,5,C,42930063,500,1,1
record,rxbvm,29,1,B,44921329,500,1,1
record,rxbvm,29,2,A,44531211,500,1,1
record,rxbvm,29,3,E,45083549,500,1,1
record,rxbvm,29,4,D,45147950,500,1,1
record,rxbvm,29,5,C,45236997,500,1,1
record,rxbvm,30,1,A,44614734,500,1,1
record,rxbvm,30,2,E,44745212,500,1,1
record,rxbvm,30,3,D,45079809,500,1,1
record,rxbvm,30,4,C,45668774,500,1,1
record,rxbvm,30,5,B,45497313,500,1,1
record,rxtvm,30,1,A,42716386,500,1,1
record,rxtvm,30,2,E,42893198,500,1,1
record,rxtvm,30,3,D,42714525,500,1,1
record,rxtvm,30,4,C,42691585,500,1,1
record,rxtvm,30,5,B,42013806,500,1,1
record,rxtvm,31,1,A,42848683,500,1,1
record,rxtvm,31,2,B,42422278,500,1,1
record,rxtvm,31,3,C,42332486,500,1,1
record,rxtvm,31,4,D,42998584,500,1,1
record,rxtvm,31,5,E,42854192,500,1,1
record,rxbvm,31,1,A,44696613,500,1,1
record,rxbvm,31,2,B,44958732,500,1,1
record,rxbvm,31,3,C,45450290,500,1,1
record,rxbvm,31,4,D,45481917,500,1,1
record,rxbvm,31,5,E,44382861,500,1,1
record,rxbvm,32,1,B,44789904,500,1,1
record,rxbvm,32,2,C,45035348,500,1,1
record,rxbvm,32,3,D,45049225,500,1,1
record,rxbvm,32,4,E,45000936,500,1,1
record,rxbvm,32,5,A,45015076,500,1,1
record,rxtvm,32,1,B,42402347,500,1,1
record,rxtvm,32,2,C,42706572,500,1,1
record,rxtvm,32,3,D,43219321,500,1,1
record,rxtvm,32,4,E,42612704,500,1,1
record,rxtvm,32,5,A,42491786,500,1,1
record,rxtvm,33,1,C,42192704,500,1,1
record,rxtvm,33,2,D,42533210,500,1,1
record,rxtvm,33,3,E,42606459,500,1,1
record,rxtvm,33,4,A,42296211,500,1,1
record,rxtvm,33,5,B,42347832,500,1,1
record,rxbvm,33,1,C,44607808,500,1,1
record,rxbvm,33,2,D,45599802,500,1,1
record,rxbvm,33,3,E,45519556,500,1,1
record,rxbvm,33,4,A,45127250,500,1,1
record,rxbvm,33,5,B,44563161,500,1,1
record,rxbvm,34,1,D,45321219,500,1,1
record,rxbvm,34,2,E,45038269,500,1,1
record,rxbvm,34,3,A,45189080,500,1,1
record,rxbvm,34,4,B,45131975,500,1,1
record,rxbvm,34,5,C,45297035,500,1,1
record,rxtvm,34,1,D,42846407,500,1,1
record,rxtvm,34,2,E,42949755,500,1,1
record,rxtvm,34,3,A,42420371,500,1,1
record,rxtvm,34,4,B,43046338,500,1,1
record,rxtvm,34,5,C,42690491,500,1,1
record,rxtvm,35,1,E,42642796,500,1,1
record,rxtvm,35,2,A,42543524,500,1,1
record,rxtvm,35,3,B,42499841,500,1,1
record,rxtvm,35,4,C,42805910,500,1,1
record,rxtvm,35,5,D,42212510,500,1,1
record,rxbvm,35,1,E,45033969,500,1,1
record,rxbvm,35,2,A,45003933,500,1,1
record,rxbvm,35,3,B,45337533,500,1,1
record,rxbvm,35,4,C,45227994,500,1,1
record,rxbvm,35,5,D,45024439,500,1,1
record,rxbvm,36,1,E,44492576,500,1,1
record,rxbvm,36,2,D,45015643,500,1,1
record,rxbvm,36,3,C,44806360,500,1,1
record,rxbvm,36,4,B,44771776,500,1,1
record,rxbvm,36,5,A,45798450,500,1,1
record,rxtvm,36,1,E,43227093,500,1,1
record,rxtvm,36,2,D,42270143,500,1,1
record,rxtvm,36,3,C,43070106,500,1,1
record,rxtvm,36,4,B,42772368,500,1,1
record,rxtvm,36,5,A,42732559,500,1,1
record,rxtvm,37,1,D,42931463,500,1,1
record,rxtvm,37,2,C,43120176,500,1,1
record,rxtvm,37,3,B,42506380,500,1,1
record,rxtvm,37,4,A,42991522,500,1,1
record,rxtvm,37,5,E,42606495,500,1,1
record,rxbvm,37,1,D,44690141,500,1,1
record,rxbvm,37,2,C,45264763,500,1,1
record,rxbvm,37,3,B,44831630,500,1,1
record,rxbvm,37,4,A,45359126,500,1,1
record,rxbvm,37,5,E,45460951,500,1,1
record,rxbvm,38,1,C,45409961,500,1,1
record,rxbvm,38,2,B,45600176,500,1,1
record,rxbvm,38,3,A,45353449,500,1,1
record,rxbvm,38,4,E,44705005,500,1,1
record,rxbvm,38,5,D,45538875,500,1,1
record,rxtvm,38,1,C,43151808,500,1,1
record,rxtvm,38,2,B,42543198,500,1,1
record,rxtvm,38,3,A,42639814,500,1,1
record,rxtvm,38,4,E,43389068,500,1,1
record,rxtvm,38,5,D,42804664,500,1,1
record,rxtvm,39,1,B,42437545,500,1,1
record,rxtvm,39,2,A,42768014,500,1,1
record,rxtvm,39,3,E,42868632,500,1,1
record,rxtvm,39,4,D,42950899,500,1,1
record,rxtvm,39,5,C,42677119,500,1,1
record,rxbvm,39,1,B,44551050,500,1,1
record,rxbvm,39,2,A,45334985,500,1,1
record,rxbvm,39,3,E,44886487,500,1,1
record,rxbvm,39,4,D,44414322,500,1,1
record,rxbvm,39,5,C,45324423,500,1,1
record,rxbvm,40,1,A,44694775,500,1,1
record,rxbvm,40,2,E,45187528,500,1,1
record,rxbvm,40,3,D,44974989,500,1,1
record,rxbvm,40,4,C,45261772,500,1,1
record,rxbvm,40,5,B,44909225,500,1,1
record,rxtvm,40,1,A,42679450,500,1,1
record,rxtvm,40,2,E,42891395,500,1,1
record,rxtvm,40,3,D,42567574,500,1,1
record,rxtvm,40,4,C,42161964,500,1,1
record,rxtvm,40,5,B,42522431,500,1,1
