vm,round,position,variant,elapsed_seconds
rxvm,1,1,control,0.202379942
rxvm,1,2,swap,0.245441914
rxvm,2,1,swap,0.238025904
rxvm,2,2,control,0.196632147
rxvm,3,1,control,0.206924915
rxvm,3,2,swap,0.244695902
rxvm,4,1,swap,0.263062000
rxvm,4,2,control,0.192841053
rxvm,5,1,control,0.218000174
rxvm,5,2,swap,0.257130861
rxvm,6,1,swap,0.243834972
rxvm,6,2,control,0.192583084
rxvm,7,1,control,0.196568012
rxvm,7,2,swap,0.240386963
rxvm,8,1,swap,0.236829996
rxvm,8,2,control,0.198358059
rxvm,9,1,control,0.204029083
rxvm,9,2,swap,0.249299049
rxvm,10,1,swap,0.243312836
rxvm,10,2,control,0.206355095
rxvm,11,1,control,0.203989029
rxvm,11,2,swap,0.253688097
rxvm,12,1,swap,0.249336004
rxvm,12,2,control,0.210317850
rxvm,13,1,control,0.199391127
rxvm,13,2,swap,0.251461029
rxvm,14,1,swap,0.242104053
rxvm,14,2,control,0.196222067
rxvm,15,1,control,0.219516039
rxvm,15,2,swap,0.245062113
rxvm,16,1,swap,0.260961056
rxvm,16,2,control,0.206501007
rxbvm,1,1,control,0.201712132
rxbvm,1,2,swap,0.274734020
rxbvm,2,1,swap,0.271798134
rxbvm,2,2,control,0.212378025
rxbvm,3,1,control,0.207464933
rxbvm,3,2,swap,0.270274878
rxbvm,4,1,swap,0.274167776
rxbvm,4,2,control,0.212523937
rxbvm,5,1,control,0.218420029
rxbvm,5,2,swap,0.277101994
rxbvm,6,1,swap,0.285534143
rxbvm,6,2,control,0.206765890
rxbvm,7,1,control,0.204690933
rxbvm,7,2,swap,0.291514874
rxbvm,8,1,swap,0.310163021
rxbvm,8,2,control,0.256160021
rxbvm,9,1,control,0.234430790
rxbvm,9,2,swap,0.309074879
rxbvm,10,1,swap,0.295979023
rxbvm,10,2,control,0.210526943
rxbvm,11,1,control,0.207376003
rxbvm,11,2,swap,0.280322075
rxbvm,12,1,swap,0.296140909
rxbvm,12,2,control,0.206359863
rxbvm,13,1,control,0.211756945
rxbvm,13,2,swap,0.283677101
rxbvm,14,1,swap,0.279512167
rxbvm,14,2,control,0.218718052
rxbvm,15,1,control,0.209865093
rxbvm,15,2,swap,0.279231071
rxbvm,16,1,swap,0.276102066
rxbvm,16,2,control,0.208100080
