runtime,vm,lifecycle,phase,sequence,elapsed_ns,correctness
crexx,shared,compile-load-first-result,compile,1,128401000,pass
crexx,shared,compile-load-first-result,assemble,1,15042000,pass
crexx,rxvm,compile-load-first-result,load_first_result,1,9871000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,1,8174000,pass
crexx,shared,compile-load-first-result,compile,2,81828000,pass
crexx,shared,compile-load-first-result,assemble,2,8242000,pass
crexx,rxvm,compile-load-first-result,load_first_result,2,3694000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,2,3128000,pass
crexx,shared,compile-load-first-result,compile,3,82689000,pass
crexx,shared,compile-load-first-result,assemble,3,8608000,pass
crexx,rxvm,compile-load-first-result,load_first_result,3,3867000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,3,3537000,pass
crexx,shared,compile-load-first-result,compile,4,81643000,pass
crexx,shared,compile-load-first-result,assemble,4,7922000,pass
crexx,rxvm,compile-load-first-result,load_first_result,4,4076000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,4,3592000,pass
crexx,shared,compile-load-first-result,compile,5,82135000,pass
crexx,shared,compile-load-first-result,assemble,5,7415000,pass
crexx,rxvm,compile-load-first-result,load_first_result,5,3540000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,5,3677000,pass
crexx,shared,compile-load-first-result,compile,6,82878000,pass
crexx,shared,compile-load-first-result,assemble,6,8244000,pass
crexx,rxvm,compile-load-first-result,load_first_result,6,3877000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,6,3448000,pass
crexx,shared,compile-load-first-result,compile,7,81997000,pass
crexx,shared,compile-load-first-result,assemble,7,8188000,pass
crexx,rxvm,compile-load-first-result,load_first_result,7,3828000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,7,3600000,pass
crexx,shared,compile-load-first-result,compile,8,80978000,pass
crexx,shared,compile-load-first-result,assemble,8,8009000,pass
crexx,rxvm,compile-load-first-result,load_first_result,8,3566000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,8,3632000,pass
crexx,shared,compile-load-first-result,compile,9,82094000,pass
crexx,shared,compile-load-first-result,assemble,9,7769000,pass
crexx,rxvm,compile-load-first-result,load_first_result,9,3909000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,9,3606000,pass
crexx,shared,compile-load-first-result,compile,10,82372000,pass
crexx,shared,compile-load-first-result,assemble,10,8155000,pass
crexx,rxvm,compile-load-first-result,load_first_result,10,3998000,pass
crexx,rxbvm,compile-load-first-result,load_first_result,10,3581000,pass
