runtime,vm,phase,n,min_ns,q1_ns,median_ns,q3_ns,max_ns,mad_ns,relative_mad_percent,span_percent,rerun_recommended
crexx,shared,compile,20,76580000.000000,77741000.000000,78098000.000000,79110500.000000,80973000.000000,751500.000000,0.962253,5.624984,no
crexx,shared,assemble,20,6629000.000000,6779000.000000,7002000.000000,7107500.000000,19160000.000000,153000.000000,2.185090,178.963153,yes
crexx,rxvm,load_first_result,20,2727000.000000,2845750.000000,2913500.000000,2958750.000000,3121000.000000,65500.000000,2.248155,13.523254,yes
crexx,rxbvm,load_first_result,20,2613000.000000,2716750.000000,2767000.000000,2862250.000000,3036000.000000,67500.000000,2.439465,15.287315,yes
oorexx,oorexx,translate,20,3777000.000000,3889250.000000,4018500.000000,4206250.000000,5575000.000000,145500.000000,3.620754,44.743063,yes
oorexx,oorexx,load_first_result,20,7729000.000000,7947750.000000,8148500.000000,8634750.000000,37216000.000000,254500.000000,3.123274,361.870283,yes
netrexx,netrexx,compile,20,389459000.000000,397844750.000000,401986000.000000,406678250.000000,506942000.000000,4909500.000000,1.221311,29.225645,yes
netrexx,netrexx,load_first_result,20,28066000.000000,28694500.000000,29528500.000000,30380000.000000,32777000.000000,846500.000000,2.866722,15.954078,yes
