workload,vm,entry,rank,transition,count,total_ns
Sieve,rxvm,sieve-opt-guard,1,sequential_same_frame,4968371,0
Sieve,rxvm,sieve-opt-guard,2,branch_same_frame,1857003,0
Sieve,rxvm,sieve-opt-guard,3,external_entry,1,0
Sieve,rxvm,sieve-opt-guard,4,terminal,1,0
Sieve,rxbvm,sieve-opt-guard,1,sequential_same_frame,4968371,0
Sieve,rxbvm,sieve-opt-guard,2,branch_same_frame,1857003,0
Sieve,rxbvm,sieve-opt-guard,3,external_entry,1,0
Sieve,rxbvm,sieve-opt-guard,4,terminal,1,0
Richards,rxvm,richards-opt,1,sequential_same_frame,7156384,0
Richards,rxvm,richards-opt,2,branch_same_frame,1220546,0
Richards,rxvm,richards-opt,3,call_enter_frame,119157,0
Richards,rxvm,richards-opt,4,return_leave_frame,119157,0
Richards,rxvm,richards-opt,5,external_entry,1,0
Richards,rxbvm,richards-opt,1,sequential_same_frame,7156384,0
Richards,rxbvm,richards-opt,2,branch_same_frame,1220546,0
Richards,rxbvm,richards-opt,3,call_enter_frame,119157,0
Richards,rxbvm,richards-opt,4,return_leave_frame,119157,0
Richards,rxbvm,richards-opt,5,external_entry,1,0
Base64,rxvm,base64-opt,1,sequential_same_frame,37135803,0
Base64,rxvm,base64-opt,2,branch_same_frame,9587060,0
Base64,rxvm,base64-opt,3,call_enter_frame,500,0
Base64,rxvm,base64-opt,4,return_leave_frame,500,0
Base64,rxvm,base64-opt,5,external_entry,1,0
Base64,rxbvm,base64-opt,1,sequential_same_frame,37135803,0
Base64,rxbvm,base64-opt,2,branch_same_frame,9587060,0
Base64,rxbvm,base64-opt,3,call_enter_frame,500,0
Base64,rxbvm,base64-opt,4,return_leave_frame,500,0
Base64,rxbvm,base64-opt,5,external_entry,1,0
Towers,rxvm,towers-opt,1,sequential_same_frame,5777682,0
Towers,rxvm,towers-opt,2,branch_same_frame,1037873,0
Towers,rxvm,towers-opt,3,call_enter_frame,163950,0
Towers,rxvm,towers-opt,4,return_leave_frame,163950,0
Towers,rxvm,towers-opt,5,external_entry,1,0
Towers,rxbvm,towers-opt,1,sequential_same_frame,5777682,0
Towers,rxbvm,towers-opt,2,branch_same_frame,1037873,0
Towers,rxbvm,towers-opt,3,call_enter_frame,163950,0
Towers,rxbvm,towers-opt,4,return_leave_frame,163950,0
Towers,rxbvm,towers-opt,5,external_entry,1,0
RexxCPS,rxvm,rexxcps-opt-smoke,1,sequential_same_frame,22955031,0
RexxCPS,rxvm,rexxcps-opt-smoke,2,branch_same_frame,3220119,0
RexxCPS,rxvm,rexxcps-opt-smoke,3,call_enter_frame,136642,0
RexxCPS,rxvm,rexxcps-opt-smoke,4,return_leave_frame,136642,0
RexxCPS,rxvm,rexxcps-opt-smoke,5,external_entry,1,0
RexxCPS,rxbvm,rexxcps-opt-smoke,1,sequential_same_frame,22955031,0
RexxCPS,rxbvm,rexxcps-opt-smoke,2,branch_same_frame,3220119,0
RexxCPS,rxbvm,rexxcps-opt-smoke,3,call_enter_frame,136642,0
RexxCPS,rxbvm,rexxcps-opt-smoke,4,return_leave_frame,136642,0
RexxCPS,rxbvm,rexxcps-opt-smoke,5,external_entry,1,0
