workload,vm,entry,rank,procedure,module,kind,calls,total_ns,average_ns
Sieve,rxvm,sieve-opt-guard,1,awfy_sieve.main,benchmark_awfy_sieve_opt,procedure,1,0,0
Sieve,rxbvm,sieve-opt-guard,1,awfy_sieve.main,benchmark_awfy_sieve_opt,procedure,1,0,0
Richards,rxvm,richards-opt,1,awfy_richards.richardsscheduler.runtask,benchmark_awfy_richards_opt,method,65790,0,0
Richards,rxvm,richards-opt,2,awfy_richards.richardsscheduler.queuepacket,benchmark_awfy_richards_opt,method,23246,0,0
Richards,rxvm,richards-opt,3,awfy_richards.richardsscheduler.appendpacket,benchmark_awfy_richards_opt,method,20114,0,0
Richards,rxvm,richards-opt,4,awfy_richards.richardsscheduler.release,benchmark_awfy_richards_opt,method,9999,0,0
Richards,rxvm,richards-opt,5,awfy_richards.richardsscheduler.createpacket,benchmark_awfy_richards_opt,method,3,0,0
Richards,rxbvm,richards-opt,1,awfy_richards.richardsscheduler.runtask,benchmark_awfy_richards_opt,method,65790,0,0
Richards,rxbvm,richards-opt,2,awfy_richards.richardsscheduler.queuepacket,benchmark_awfy_richards_opt,method,23246,0,0
Richards,rxbvm,richards-opt,3,awfy_richards.richardsscheduler.appendpacket,benchmark_awfy_richards_opt,method,20114,0,0
Richards,rxbvm,richards-opt,4,awfy_richards.richardsscheduler.release,benchmark_awfy_richards_opt,method,9999,0,0
Richards,rxbvm,richards-opt,5,awfy_richards.richardsscheduler.createpacket,benchmark_awfy_richards_opt,method,3,0,0
Base64,rxvm,base64-opt,1,base64_roundtrip.base64_decode,benchmark_base64_roundtrip_opt,procedure,500,0,0
Base64,rxvm,base64-opt,2,base64_roundtrip.main,benchmark_base64_roundtrip_opt,procedure,1,0,0
Base64,rxbvm,base64-opt,1,base64_roundtrip.base64_decode,benchmark_base64_roundtrip_opt,procedure,500,0,0
Base64,rxbvm,base64-opt,2,base64_roundtrip.main,benchmark_base64_roundtrip_opt,procedure,1,0,0
Towers,rxvm,towers-opt,1,awfy_towers.towersbenchmark.pushdisk,benchmark_awfy_towers_opt,method,82050,0,0
Towers,rxvm,towers-opt,2,awfy_towers.towersbenchmark.movedisks,benchmark_awfy_towers_opt,method,81900,0,0
Towers,rxvm,towers-opt,3,awfy_towers.main,benchmark_awfy_towers_opt,procedure,1,0,0
Towers,rxbvm,towers-opt,1,awfy_towers.towersbenchmark.pushdisk,benchmark_awfy_towers_opt,method,82050,0,0
Towers,rxbvm,towers-opt,2,awfy_towers.towersbenchmark.movedisks,benchmark_awfy_towers_opt,method,81900,0,0
Towers,rxbvm,towers-opt,3,awfy_towers.main,benchmark_awfy_towers_opt,procedure,1,0,0
RexxCPS,rxvm,rexxcps-opt-smoke,1,rexxcps_levelb.cps_subroutine,benchmark_rexxcps_levelb_opt,procedure,131600,0,0
RexxCPS,rxvm,rexxcps-opt-smoke,2,_rxsysb._elapsed,/private/tmp/crexx-perf3-01.jetu7C/src/lib/rxfnsb/rxas/_elapsed,procedure,1800,0,0
RexxCPS,rxvm,rexxcps-opt-smoke,3,rxfnsb.time,time,procedure,600,0,0
RexxCPS,rxvm,rexxcps-opt-smoke,4,rxfnsb.strip,strip,procedure,416,0,0
RexxCPS,rxvm,rexxcps-opt-smoke,5,rxfnsb._trace_ensure_runtime,trace,procedure,400,0,0
RexxCPS,rxbvm,rexxcps-opt-smoke,1,rexxcps_levelb.cps_subroutine,benchmark_rexxcps_levelb_opt,procedure,131600,0,0
RexxCPS,rxbvm,rexxcps-opt-smoke,2,_rxsysb._elapsed,/private/tmp/crexx-perf3-01.jetu7C/src/lib/rxfnsb/rxas/_elapsed,procedure,1800,0,0
RexxCPS,rxbvm,rexxcps-opt-smoke,3,rxfnsb.time,time,procedure,600,0,0
RexxCPS,rxbvm,rexxcps-opt-smoke,4,rxfnsb.strip,strip,procedure,416,0,0
RexxCPS,rxbvm,rexxcps-opt-smoke,5,rxfnsb._trace_ensure_runtime,trace,procedure,400,0,0
