workload,vm,entry,schema,dynamic_instructions,calls,fresh_frames,reused_frames,frame_entry_work,copy_ops,copy_bytes,move_ops,move_bytes,clear_reset_destroy_ops,clear_reset_destroy_bytes,conversion_ops,allocation_requests,allocation_bytes,max_request_bytes,frame_high_water,branch_executions,branch_taken,branch_fallthrough,backedges,selector_attempts,frame_entry_ns,copy_ns,move_ns,clear_reset_destroy_ns,conversion_ns,status
Sieve,rxvm,sieve-opt-guard,5,6825375,0,1,0,19,52,10,0,0,506584,120209,3,8319,4231352,2031616,1,2977355,1857003,1120352,1053450,0,0,0,0,0,0,complete
Sieve,rxbvm,sieve-opt-guard,5,6825375,0,1,0,19,52,10,0,0,506584,120209,3,8319,4231352,2031616,1,2977355,1857003,1120352,1053450,0,0,0,0,0,0,complete
Richards,rxvm,richards-opt,5,8615245,119157,9,119149,4702575,56902732,451730841,99035,0,860895,3978206,4,735010,172258936,15008,6,1750622,1220546,530076,116253,0,0,0,0,0,0,complete
Richards,rxbvm,richards-opt,5,8615245,119157,9,119149,4702575,56902732,451730841,99035,0,860895,3978206,4,735010,172258936,15008,6,1750622,1220546,530076,116253,0,0,0,0,0,0,complete
Base64,rxvm,base64-opt,5,46723864,500,2,499,21043,2221004,18274056,500,512000,1376,1062800,4,1694,603040,11312,2,13007111,9587060,3420051,344548,0,0,0,0,0,0,complete
Base64,rxbvm,base64-opt,5,46723864,500,2,499,21043,2221004,18274056,500,512000,1376,1062800,4,1694,603040,11312,2,13007111,9587060,3420051,344548,0,0,0,0,0,0,complete
Towers,rxvm,towers-opt,5,7143456,163950,14,163937,4343135,26789582,206454410,0,0,31345134,41935002,3,17243733,5864230528,9728,14,1461605,1037873,423732,150,0,0,0,0,0,0,complete
Towers,rxbvm,towers-opt,5,7143456,163950,14,163937,4343135,26789582,206454410,0,0,31345134,41935002,3,17243733,5864230528,9728,14,1461605,1037873,423732,150,0,0,0,0,0,0,complete
RexxCPS,rxvm,rexxcps-opt-smoke,5,26448435,136642,21,136622,3778186,1053578,45983531,2624,8047,1558439,68271806,3009511,1439774,261043768,27992,5,4302342,3220119,1082223,536331,0,0,0,0,0,0,complete
RexxCPS,rxbvm,rexxcps-opt-smoke,5,26448435,136642,21,136622,3778186,1053578,45983531,2624,8039,1558439,68271818,3009511,1439774,261043768,27992,5,4302342,3220119,1082223,536331,0,0,0,0,0,0,complete
