workload,round,tool,real_s,max_rss_bytes
rexxcps,1,m05,0.19,103022592
rexxcps,1,m06,0.17,104103936
rexxcps,2,m05,0.18,103022592
rexxcps,2,m06,0.18,104136704
rexxcps,3,m05,0.18,102858752
rexxcps,3,m06,0.18,104071168
