round,vm,order,image,repetitions,elapsed_seconds,checksum,correct
1,rxvm,1,baseline,100000,3.055500984,19400000,1
1,rxvm,2,candidate,100000,0.283473015,19400000,1
1,rxbvm,1,baseline,100000,3.045573950,19400000,1
1,rxbvm,2,candidate,100000,0.281886101,19400000,1
2,rxvm,1,candidate,100000,0.283952951,19400000,1
2,rxvm,2,baseline,100000,3.071241140,19400000,1
2,rxbvm,1,candidate,100000,0.282474041,19400000,1
2,rxbvm,2,baseline,100000,3.027555943,19400000,1
3,rxvm,1,baseline,100000,3.093003988,19400000,1
3,rxvm,2,candidate,100000,0.285603046,19400000,1
3,rxbvm,1,baseline,100000,3.017212868,19400000,1
3,rxbvm,2,candidate,100000,0.277122021,19400000,1
4,rxvm,1,candidate,100000,0.282956123,19400000,1
4,rxvm,2,baseline,100000,3.038758993,19400000,1
4,rxbvm,1,candidate,100000,0.280565023,19400000,1
4,rxbvm,2,baseline,100000,3.047044992,19400000,1
5,rxvm,1,baseline,100000,2.989082098,19400000,1
5,rxvm,2,candidate,100000,0.286163807,19400000,1
5,rxbvm,1,baseline,100000,3.000519037,19400000,1
5,rxbvm,2,candidate,100000,0.280001879,19400000,1
6,rxvm,1,candidate,100000,0.284344912,19400000,1
6,rxvm,2,baseline,100000,3.095688820,19400000,1
6,rxbvm,1,candidate,100000,0.282682896,19400000,1
6,rxbvm,2,baseline,100000,3.113641024,19400000,1
7,rxvm,1,baseline,100000,3.152317047,19400000,1
7,rxvm,2,candidate,100000,0.285818100,19400000,1
7,rxbvm,1,baseline,100000,2.976799965,19400000,1
7,rxbvm,2,candidate,100000,0.279762030,19400000,1
8,rxvm,1,candidate,100000,0.282811165,19400000,1
8,rxvm,2,baseline,100000,3.023956060,19400000,1
8,rxbvm,1,candidate,100000,0.287022114,19400000,1
8,rxbvm,2,baseline,100000,3.114945889,19400000,1
9,rxvm,1,baseline,100000,3.120532990,19400000,1
9,rxvm,2,candidate,100000,0.284204006,19400000,1
9,rxbvm,1,baseline,100000,3.073231936,19400000,1
9,rxbvm,2,candidate,100000,0.282752991,19400000,1
10,rxvm,1,candidate,100000,0.284268856,19400000,1
10,rxvm,2,baseline,100000,3.144622087,19400000,1
10,rxbvm,1,candidate,100000,0.286534071,19400000,1
10,rxbvm,2,baseline,100000,3.014803171,19400000,1
11,rxvm,1,baseline,100000,3.086576939,19400000,1
11,rxvm,2,candidate,100000,0.289680958,19400000,1
11,rxbvm,1,baseline,100000,3.052752972,19400000,1
11,rxbvm,2,candidate,100000,0.283823967,19400000,1
12,rxvm,1,candidate,100000,0.284334898,19400000,1
12,rxvm,2,baseline,100000,3.076920986,19400000,1
12,rxbvm,1,candidate,100000,0.282251835,19400000,1
12,rxbvm,2,baseline,100000,3.117908955,19400000,1
13,rxvm,1,baseline,100000,3.186621904,19400000,1
13,rxvm,2,candidate,100000,0.304173946,19400000,1
13,rxbvm,1,baseline,100000,3.075191975,19400000,1
13,rxbvm,2,candidate,100000,0.287427187,19400000,1
