round,vm,order,image,repetitions,elapsed_seconds,queue_packets,holds,correct
14,rxvm,1,candidate,1,0.576647997,23246,9297,1
14,rxvm,2,baseline,1,0.578365803,23246,9297,1
14,rxbvm,1,candidate,1,0.575556993,23246,9297,1
14,rxbvm,2,baseline,1,0.581326962,23246,9297,1
15,rxvm,1,baseline,1,0.580993891,23246,9297,1
15,rxvm,2,candidate,1,0.579865932,23246,9297,1
15,rxbvm,1,baseline,1,0.582004070,23246,9297,1
15,rxbvm,2,candidate,1,0.585405827,23246,9297,1
16,rxvm,1,candidate,1,0.589436054,23246,9297,1
16,rxvm,2,baseline,1,0.580405951,23246,9297,1
16,rxbvm,1,candidate,1,0.581321955,23246,9297,1
16,rxbvm,2,baseline,1,0.582651854,23246,9297,1
17,rxvm,1,baseline,1,0.574652910,23246,9297,1
17,rxvm,2,candidate,1,0.579772949,23246,9297,1
17,rxbvm,1,baseline,1,0.585350037,23246,9297,1
17,rxbvm,2,candidate,1,0.583266973,23246,9297,1
18,rxvm,1,candidate,1,0.579915047,23246,9297,1
18,rxvm,2,baseline,1,0.577069044,23246,9297,1
18,rxbvm,1,candidate,1,0.580727816,23246,9297,1
18,rxbvm,2,baseline,1,0.584546089,23246,9297,1
19,rxvm,1,baseline,1,0.580378056,23246,9297,1
19,rxvm,2,candidate,1,0.579260111,23246,9297,1
19,rxbvm,1,baseline,1,0.580858946,23246,9297,1
19,rxbvm,2,candidate,1,0.586597919,23246,9297,1
20,rxvm,1,candidate,1,0.577279091,23246,9297,1
20,rxvm,2,baseline,1,0.581752062,23246,9297,1
20,rxbvm,1,candidate,1,0.583700895,23246,9297,1
20,rxbvm,2,baseline,1,0.585521936,23246,9297,1
21,rxvm,1,baseline,1,0.581421137,23246,9297,1
21,rxvm,2,candidate,1,0.578704834,23246,9297,1
21,rxbvm,1,baseline,1,0.579826117,23246,9297,1
21,rxbvm,2,candidate,1,0.585947990,23246,9297,1
22,rxvm,1,candidate,1,0.589117050,23246,9297,1
22,rxvm,2,baseline,1,0.579056025,23246,9297,1
22,rxbvm,1,candidate,1,0.582520008,23246,9297,1
22,rxbvm,2,baseline,1,0.582448959,23246,9297,1
23,rxvm,1,baseline,1,0.579889059,23246,9297,1
23,rxvm,2,candidate,1,0.578108072,23246,9297,1
23,rxbvm,1,baseline,1,0.579722166,23246,9297,1
23,rxbvm,2,candidate,1,0.581097126,23246,9297,1
24,rxvm,1,candidate,1,0.581597090,23246,9297,1
24,rxvm,2,baseline,1,0.581701040,23246,9297,1
24,rxbvm,1,candidate,1,0.583304882,23246,9297,1
24,rxbvm,2,baseline,1,0.584174156,23246,9297,1
25,rxvm,1,baseline,1,0.577924967,23246,9297,1
25,rxvm,2,candidate,1,0.575637817,23246,9297,1
25,rxbvm,1,baseline,1,0.586508989,23246,9297,1
25,rxbvm,2,candidate,1,0.587796211,23246,9297,1
26,rxvm,1,candidate,1,0.579041004,23246,9297,1
26,rxvm,2,baseline,1,0.583907127,23246,9297,1
26,rxbvm,1,candidate,1,0.582875013,23246,9297,1
26,rxbvm,2,baseline,1,0.581183910,23246,9297,1
27,rxvm,1,baseline,1,0.578529119,23246,9297,1
27,rxvm,2,candidate,1,0.577414989,23246,9297,1
27,rxbvm,1,baseline,1,0.586204052,23246,9297,1
27,rxbvm,2,candidate,1,0.583026886,23246,9297,1
28,rxvm,1,candidate,1,0.580749035,23246,9297,1
28,rxvm,2,baseline,1,0.585314989,23246,9297,1
28,rxbvm,1,candidate,1,0.583601952,23246,9297,1
28,rxbvm,2,baseline,1,0.583905935,23246,9297,1
29,rxvm,1,baseline,1,0.576218843,23246,9297,1
29,rxvm,2,candidate,1,0.579049110,23246,9297,1
29,rxbvm,1,baseline,1,0.582458973,23246,9297,1
29,rxbvm,2,candidate,1,0.583186150,23246,9297,1
30,rxvm,1,candidate,1,0.580757141,23246,9297,1
30,rxvm,2,baseline,1,0.581357002,23246,9297,1
30,rxbvm,1,candidate,1,0.585314035,23246,9297,1
30,rxbvm,2,baseline,1,0.585174084,23246,9297,1
31,rxvm,1,baseline,1,0.583851814,23246,9297,1
31,rxvm,2,candidate,1,0.579470158,23246,9297,1
31,rxbvm,1,baseline,1,0.585438013,23246,9297,1
31,rxbvm,2,candidate,1,0.584511042,23246,9297,1
32,rxvm,1,candidate,1,0.580755949,23246,9297,1
32,rxvm,2,baseline,1,0.583508015,23246,9297,1
32,rxbvm,1,candidate,1,0.587329865,23246,9297,1
32,rxbvm,2,baseline,1,0.582452059,23246,9297,1
33,rxvm,1,baseline,1,0.579437017,23246,9297,1
33,rxvm,2,candidate,1,0.590497017,23246,9297,1
33,rxbvm,1,baseline,1,0.585764885,23246,9297,1
33,rxbvm,2,candidate,1,0.580605030,23246,9297,1
34,rxvm,1,candidate,1,0.582637072,23246,9297,1
34,rxvm,2,baseline,1,0.574862003,23246,9297,1
34,rxbvm,1,candidate,1,0.581806898,23246,9297,1
34,rxbvm,2,baseline,1,0.587884903,23246,9297,1
35,rxvm,1,baseline,1,0.581066132,23246,9297,1
35,rxvm,2,candidate,1,0.578560114,23246,9297,1
35,rxbvm,1,baseline,1,0.585080862,23246,9297,1
35,rxbvm,2,candidate,1,0.593568087,23246,9297,1
36,rxvm,1,candidate,1,0.580395937,23246,9297,1
36,rxvm,2,baseline,1,0.575957060,23246,9297,1
36,rxbvm,1,candidate,1,0.581737041,23246,9297,1
36,rxbvm,2,baseline,1,0.587924004,23246,9297,1
37,rxvm,1,baseline,1,0.586097956,23246,9297,1
37,rxvm,2,candidate,1,0.576809883,23246,9297,1
37,rxbvm,1,baseline,1,0.584130049,23246,9297,1
37,rxbvm,2,candidate,1,0.586508989,23246,9297,1
