round,vm,order,image,repetitions,elapsed_seconds,queue_packets,holds,correct
1,rxvm,1,baseline,1,0.587162018,23246,9297,1
1,rxvm,2,candidate,1,0.582758904,23246,9297,1
1,rxbvm,1,baseline,1,0.583425045,23246,9297,1
1,rxbvm,2,candidate,1,0.584980965,23246,9297,1
2,rxvm,1,candidate,1,0.581983089,23246,9297,1
2,rxvm,2,baseline,1,0.580106974,23246,9297,1
2,rxbvm,1,candidate,1,0.582493067,23246,9297,1
2,rxbvm,2,baseline,1,0.582257032,23246,9297,1
3,rxvm,1,baseline,1,0.585053205,23246,9297,1
3,rxvm,2,candidate,1,0.586152077,23246,9297,1
3,rxbvm,1,baseline,1,0.586050987,23246,9297,1
3,rxbvm,2,candidate,1,0.583176136,23246,9297,1
4,rxvm,1,candidate,1,0.576070070,23246,9297,1
4,rxvm,2,baseline,1,0.578994036,23246,9297,1
4,rxbvm,1,candidate,1,0.585708857,23246,9297,1
4,rxbvm,2,baseline,1,0.587122917,23246,9297,1
5,rxvm,1,baseline,1,0.576382875,23246,9297,1
5,rxvm,2,candidate,1,0.578918934,23246,9297,1
5,rxbvm,1,baseline,1,0.582413912,23246,9297,1
5,rxbvm,2,candidate,1,0.584707022,23246,9297,1
6,rxvm,1,candidate,1,0.579288960,23246,9297,1
6,rxvm,2,baseline,1,0.584609032,23246,9297,1
6,rxbvm,1,candidate,1,0.582508087,23246,9297,1
6,rxbvm,2,baseline,1,0.579158068,23246,9297,1
7,rxvm,1,baseline,1,0.574763775,23246,9297,1
7,rxvm,2,candidate,1,0.590015173,23246,9297,1
7,rxbvm,1,baseline,1,0.582295179,23246,9297,1
7,rxbvm,2,candidate,1,0.581486940,23246,9297,1
8,rxvm,1,candidate,1,0.581039906,23246,9297,1
8,rxvm,2,baseline,1,0.579901934,23246,9297,1
8,rxbvm,1,candidate,1,0.582358122,23246,9297,1
8,rxbvm,2,baseline,1,0.581504822,23246,9297,1
9,rxvm,1,baseline,1,0.584999084,23246,9297,1
9,rxvm,2,candidate,1,0.577167988,23246,9297,1
9,rxbvm,1,baseline,1,0.581007957,23246,9297,1
9,rxbvm,2,candidate,1,0.588901043,23246,9297,1
10,rxvm,1,candidate,1,0.585331917,23246,9297,1
10,rxvm,2,baseline,1,0.588310003,23246,9297,1
10,rxbvm,1,candidate,1,0.579562902,23246,9297,1
10,rxbvm,2,baseline,1,0.582781076,23246,9297,1
11,rxvm,1,baseline,1,0.582774878,23246,9297,1
11,rxvm,2,candidate,1,0.582664013,23246,9297,1
11,rxbvm,1,baseline,1,0.582634926,23246,9297,1
11,rxbvm,2,candidate,1,0.581868172,23246,9297,1
12,rxvm,1,candidate,1,0.583034992,23246,9297,1
12,rxvm,2,baseline,1,0.577213049,23246,9297,1
12,rxbvm,1,candidate,1,0.585587025,23246,9297,1
12,rxbvm,2,baseline,1,0.582154036,23246,9297,1
13,rxvm,1,baseline,1,0.581248999,23246,9297,1
13,rxvm,2,candidate,1,0.579400063,23246,9297,1
13,rxbvm,1,baseline,1,0.585285902,23246,9297,1
13,rxbvm,2,candidate,1,0.579646111,23246,9297,1
