vm,round,slot,mode,seconds
rxvm,1,1,generic,1.69
rxvm,1,2,prepared,0.23
rxvm,1,3,chained,0.06
rxbvm,1,1,generic,1.64
rxbvm,1,2,prepared,0.23
rxbvm,1,3,chained,0.06
rxvm,2,1,prepared,0.23
rxvm,2,2,chained,0.06
rxvm,2,3,generic,1.70
rxbvm,2,1,prepared,0.23
rxbvm,2,2,chained,0.06
rxbvm,2,3,generic,1.64
rxvm,3,1,chained,0.06
rxvm,3,2,generic,1.73
rxvm,3,3,prepared,0.23
rxbvm,3,1,chained,0.06
rxbvm,3,2,generic,1.66
rxbvm,3,3,prepared,0.23
rxvm,4,1,generic,1.68
rxvm,4,2,prepared,0.23
rxvm,4,3,chained,0.06
rxbvm,4,1,generic,1.65
rxbvm,4,2,prepared,0.23
rxbvm,4,3,chained,0.06
rxvm,5,1,prepared,0.23
rxvm,5,2,chained,0.06
rxvm,5,3,generic,1.68
rxbvm,5,1,prepared,0.23
rxbvm,5,2,chained,0.06
rxbvm,5,3,generic,1.66
rxvm,6,1,chained,0.06
rxvm,6,2,generic,1.67
rxvm,6,3,prepared,0.23
rxbvm,6,1,chained,0.06
rxbvm,6,2,generic,1.63
rxbvm,6,3,prepared,0.23
