round,vm,order,image,repetitions,elapsed_seconds,max_rss_bytes,peak_footprint_bytes,correct
1,rxvm,1,baseline,1,0.005373001,7045120,2130328,1
1,rxvm,2,candidate,1,0.004474878,6586368,1720704,1
1,rxbvm,1,baseline,1,0.004256964,6946816,2032024,1
1,rxbvm,2,candidate,1,0.003870010,6586368,1720704,1
2,rxvm,1,candidate,1,0.003743887,6602752,1737088,1
2,rxvm,2,baseline,1,0.003720045,7061504,2146712,1
2,rxbvm,1,candidate,1,0.003580809,6586368,1720704,1
2,rxbvm,2,baseline,1,0.003649950,6946816,2032024,1
3,rxvm,1,baseline,1,0.003757000,7045120,2130328,1
3,rxvm,2,candidate,1,0.003813028,6586368,1720704,1
3,rxbvm,1,baseline,1,0.003842115,6930432,2015640,1
3,rxbvm,2,candidate,1,0.003615141,6569984,1704320,1
4,rxvm,1,candidate,1,0.003679037,6586368,1720704,1
4,rxvm,2,baseline,1,0.004456997,7061504,2146712,1
4,rxbvm,1,candidate,1,0.004527092,6569984,1704320,1
4,rxbvm,2,baseline,1,0.004517078,6914048,1999256,1
5,rxvm,1,baseline,1,0.004564047,7061504,2146712,1
5,rxvm,2,candidate,1,0.003778934,6602752,1737088,1
5,rxbvm,1,baseline,1,0.003996134,6930432,2015640,1
5,rxbvm,2,candidate,1,0.003648043,6586368,1720704,1
6,rxvm,1,candidate,1,0.004072905,6586368,1720704,1
6,rxvm,2,baseline,1,0.003952980,7061504,2146712,1
6,rxbvm,1,candidate,1,0.003648996,6569984,1704320,1
6,rxbvm,2,baseline,1,0.003742933,6930432,2015640,1
7,rxvm,1,baseline,1,0.004116058,7045120,2130328,1
7,rxvm,2,candidate,1,0.003824949,6586368,1720704,1
7,rxbvm,1,baseline,1,0.003659010,6930432,2015640,1
7,rxbvm,2,candidate,1,0.003698826,6569984,1704320,1
8,rxvm,1,candidate,1,0.003827810,6586368,1720704,1
8,rxvm,2,baseline,1,0.003858089,7045120,2130328,1
8,rxbvm,1,candidate,1,0.004001856,6569984,1704320,1
8,rxbvm,2,baseline,1,0.004589081,6930432,2015640,1
9,rxvm,1,baseline,1,0.004204035,7045120,2130328,1
9,rxvm,2,candidate,1,0.003943920,6586368,1720704,1
9,rxbvm,1,baseline,1,0.003984928,6946816,2032024,1
9,rxbvm,2,candidate,1,0.003813028,6569984,1704320,1
10,rxvm,1,candidate,1,0.003721952,6586368,1720704,1
10,rxvm,2,baseline,1,0.005553961,7061504,2146712,1
10,rxbvm,1,candidate,1,0.003942013,6586368,1720704,1
10,rxbvm,2,baseline,1,0.003741980,6914048,1999256,1
11,rxvm,1,baseline,1,0.003898859,7045120,2130328,1
11,rxvm,2,candidate,1,0.003715992,6602752,1737088,1
11,rxbvm,1,baseline,1,0.003931046,6930432,2015640,1
11,rxbvm,2,candidate,1,0.003695965,6569984,1704320,1
12,rxvm,1,candidate,1,0.003695011,6602752,1737088,1
12,rxvm,2,baseline,1,0.003828049,7045120,2130328,1
12,rxbvm,1,candidate,1,0.003701925,6553600,1687936,1
12,rxbvm,2,baseline,1,0.003840923,6914048,1999256,1
13,rxvm,1,baseline,1,0.004137993,7028736,2113944,1
13,rxvm,2,candidate,1,0.003720045,6586368,1720704,1
13,rxbvm,1,baseline,1,0.003904104,6930432,2015640,1
13,rxbvm,2,candidate,1,0.003707886,6553600,1687936,1
