round,vm,order,image,elapsed_seconds,cps,correct
1,rxvm,1,baseline,8.141056061,1229569,1
1,rxvm,2,candidate,5.573643923,1796576,1
1,rxbvm,1,baseline,8.147382975,1228574,1
1,rxbvm,2,candidate,5.639814854,1775389,1
2,rxvm,1,candidate,5.585788012,1792592,1
2,rxvm,2,baseline,8.507562160,1176464,1
2,rxbvm,1,candidate,5.634511948,1777087,1
2,rxbvm,2,baseline,8.245908022,1213818,1
3,rxvm,1,baseline,8.089467049,1237323,1
3,rxvm,2,candidate,5.570318937,1797566,1
3,rxbvm,1,baseline,8.173631907,1224587,1
3,rxbvm,2,candidate,5.632037163,1777991,1
4,rxvm,1,candidate,5.576436043,1795681,1
4,rxvm,2,baseline,8.073083162,1239846,1
4,rxbvm,1,candidate,5.622237921,1781087,1
4,rxbvm,2,baseline,8.166260958,1225671,1
5,rxvm,1,baseline,8.129114866,1231291,1
5,rxvm,2,candidate,5.600056887,1788075,1
5,rxbvm,1,baseline,8.203611135,1220057,1
5,rxbvm,2,candidate,5.651366949,1771784,1
6,rxvm,1,candidate,5.617597818,1782412,1
6,rxvm,2,baseline,8.105345011,1234918,1
6,rxbvm,1,candidate,5.665570021,1767409,1
6,rxbvm,2,baseline,8.235416889,1215409,1
7,rxvm,1,baseline,8.087306976,1237716,1
7,rxvm,2,candidate,5.573612928,1796622,1
7,rxbvm,1,baseline,8.231997967,1215914,1
7,rxbvm,2,candidate,5.616107941,1782867,1
8,rxvm,1,candidate,5.585688114,1792774,1
8,rxvm,2,baseline,8.140434980,1229571,1
8,rxbvm,1,candidate,5.615518808,1783210,1
8,rxbvm,2,baseline,8.171612024,1224886,1
9,rxvm,1,baseline,8.077257156,1239193,1
9,rxvm,2,candidate,5.607708931,1785627,1
9,rxbvm,1,baseline,8.487454891,1179269,1
9,rxbvm,2,candidate,5.617431164,1782552,1
10,rxvm,1,candidate,5.591588020,1790725,1
10,rxvm,2,baseline,8.094488144,1236556,1
10,rxbvm,1,candidate,5.637549877,1776224,1
10,rxbvm,2,baseline,8.162760973,1226182,1
11,rxvm,1,baseline,8.133742094,1230597,1
11,rxvm,2,candidate,5.574069023,1796391,1
11,rxbvm,1,baseline,8.172271967,1224739,1
11,rxbvm,2,candidate,5.615122080,1783262,1
12,rxvm,1,candidate,5.557826996,1801762,1
12,rxvm,2,baseline,8.119553804,1232726,1
12,rxbvm,1,candidate,5.631322861,1778076,1
12,rxbvm,2,baseline,8.180269957,1223559,1
13,rxvm,1,baseline,8.144415140,1228964,1
13,rxvm,2,candidate,5.592581987,1790600,1
13,rxbvm,1,baseline,8.226634026,1216687,1
13,rxbvm,2,candidate,5.650942087,1771994,1
