round,vm,order,image,repetitions,elapsed_seconds,checksum,correct
1,rxvm,1,baseline,100000,1.732445955,8300000,1
1,rxvm,2,candidate,100000,0.048290968,8300000,1
1,rxbvm,1,baseline,100000,1.713921785,8300000,1
1,rxbvm,2,candidate,100000,0.044926167,8300000,1
2,rxvm,1,candidate,100000,0.047012091,8300000,1
2,rxvm,2,baseline,100000,1.705871820,8300000,1
2,rxbvm,1,candidate,100000,0.043676853,8300000,1
2,rxbvm,2,baseline,100000,1.694906950,8300000,1
3,rxvm,1,baseline,100000,1.690897942,8300000,1
3,rxvm,2,candidate,100000,0.044188976,8300000,1
3,rxbvm,1,baseline,100000,1.702510834,8300000,1
3,rxbvm,2,candidate,100000,0.043077946,8300000,1
4,rxvm,1,candidate,100000,0.047712088,8300000,1
4,rxvm,2,baseline,100000,1.676355124,8300000,1
4,rxbvm,1,candidate,100000,0.045368910,8300000,1
4,rxbvm,2,baseline,100000,1.696806908,8300000,1
5,rxvm,1,baseline,100000,1.689431906,8300000,1
5,rxvm,2,candidate,100000,0.046826124,8300000,1
5,rxbvm,1,baseline,100000,1.693542957,8300000,1
5,rxbvm,2,candidate,100000,0.043461800,8300000,1
6,rxvm,1,candidate,100000,0.047688007,8300000,1
6,rxvm,2,baseline,100000,1.701750994,8300000,1
6,rxbvm,1,candidate,100000,0.043702126,8300000,1
6,rxbvm,2,baseline,100000,1.739362001,8300000,1
7,rxvm,1,baseline,100000,1.698344946,8300000,1
7,rxvm,2,candidate,100000,0.046770811,8300000,1
7,rxbvm,1,baseline,100000,1.674495935,8300000,1
7,rxbvm,2,candidate,100000,0.043632984,8300000,1
8,rxvm,1,candidate,100000,0.045946121,8300000,1
8,rxvm,2,baseline,100000,1.677828074,8300000,1
8,rxbvm,1,candidate,100000,0.043714046,8300000,1
8,rxbvm,2,baseline,100000,1.696787834,8300000,1
9,rxvm,1,baseline,100000,1.696560144,8300000,1
9,rxvm,2,candidate,100000,0.046440125,8300000,1
9,rxbvm,1,baseline,100000,1.791467905,8300000,1
9,rxbvm,2,candidate,100000,0.043967009,8300000,1
10,rxvm,1,candidate,100000,0.046197176,8300000,1
10,rxvm,2,baseline,100000,1.718180895,8300000,1
10,rxbvm,1,candidate,100000,0.045633078,8300000,1
10,rxbvm,2,baseline,100000,1.740658045,8300000,1
11,rxvm,1,baseline,100000,1.702269077,8300000,1
11,rxvm,2,candidate,100000,0.045431137,8300000,1
11,rxbvm,1,baseline,100000,1.700929165,8300000,1
11,rxbvm,2,candidate,100000,0.044322014,8300000,1
12,rxvm,1,candidate,100000,0.043474913,8300000,1
12,rxvm,2,baseline,100000,1.718129873,8300000,1
12,rxbvm,1,candidate,100000,0.044054985,8300000,1
12,rxbvm,2,baseline,100000,1.706320047,8300000,1
13,rxvm,1,baseline,100000,1.694254160,8300000,1
13,rxvm,2,candidate,100000,0.043910980,8300000,1
13,rxbvm,1,baseline,100000,1.688241959,8300000,1
13,rxbvm,2,candidate,100000,0.043496847,8300000,1
