image,baseline_instructions,candidate_instructions,delta,baseline_copy,candidate_copy,copy_delta,baseline_sha256,candidate_sha256
benchmark_awfy_bounce_opt.rxas,387,387,0,38,38,0,7d56eedcf41875634739e610bd4187fd144406be890afc795c5442720dff9855,7d56eedcf41875634739e610bd4187fd144406be890afc795c5442720dff9855
benchmark_awfy_list_opt.rxas,250,250,0,9,9,0,c3fce41d51b83eefb43d3c023af5c0ff7409694b4534034e211182be9838ad8a,c3fce41d51b83eefb43d3c023af5c0ff7409694b4534034e211182be9838ad8a
benchmark_awfy_mandelbrot_opt.rxas,121,120,-1,5,4,-1,e6fedf2403b77282e6a12a9f88946f1b350acb914f3d679c9fa10f0bd185e80f,dacd7596cd9202bf55f004598dcbfdec0df81f5ba3aa5180da29bfc0fc8206b0
benchmark_awfy_permute_opt.rxas,233,225,-8,32,24,-8,1796534bc0b205cef0063fc5e8d0f051471473a88d4b75d4ef8428fe21d4513c,fa5d0892f2780ccabb5245588345e489980bbe583ee5f5f39ae243772b89759a
benchmark_awfy_richards_opt.rxas,1926,1914,-12,263,251,-12,739d99282760b890bacb291bdab1f12e78f773764b101d36307b79edd7e4bf21,8586422dfe701d92b615822b8a41008a573dd8667302803d81dd6754334d9bc5
benchmark_awfy_sieve_opt.rxas,75,75,0,4,4,0,1fbd54ed31638fff0e878413c77898ac346635813e1493dc2405e5f1433a6b09,966809207608512d0fe16771b9086baa36ff4754cee2ea5252fc8881bd498358
benchmark_awfy_storage_opt.rxas,217,217,0,23,23,0,f4ec5a7a58b1a3f8805267916dc7a72a05c1ff0d60423cb421baa83c556dbae2,f4ec5a7a58b1a3f8805267916dc7a72a05c1ff0d60423cb421baa83c556dbae2
benchmark_awfy_towers_opt.rxas,613,603,-10,120,110,-10,ce444640da8122c9b633a0e7bc9f6c0fe350f06ef4dcbd04aae2d68ef942fe39,c64fc42d925c51a7d65fb5251330e0791a24816792cc607d4fd0424f5eb7f54a
benchmark_base64_roundtrip_opt.rxas,683,679,-4,90,86,-4,99739653394e27a390d9752c5c4647b7f30bbd4b4ede92bb3023af3d04c6f60f,a12e287b43eb8c012ee01df8cf2a93eecc9f7ba0cda34f925e0cb6db8907879e
benchmark_json_parser_opt.rxas,48,48,0,3,3,0,8d3b2d354ea1b69a309077f5ca078dec2c4d794a7d9a98eba44e03748a4bf2a5,8d3b2d354ea1b69a309077f5ca078dec2c4d794a7d9a98eba44e03748a4bf2a5
benchmark_parse_frozen_generic_opt.rxas,649,649,0,177,177,0,148f16d229975f3234a5b4adb562a3f98acb8a8bd7f123cf14718b63edeea81f,148f16d229975f3234a5b4adb562a3f98acb8a8bd7f123cf14718b63edeea81f
benchmark_parse_frozen_opt.rxas,499,499,0,116,116,0,004ec6225ea77ee00018d54d4201b3441dd2cc192fc7c1bfa42cafe80def5939,004ec6225ea77ee00018d54d4201b3441dd2cc192fc7c1bfa42cafe80def5939
benchmark_rexxcps_levelb_opaque_opt.rxas,1689,1689,0,119,119,0,283b5af171db965fc14df68893f5a3acad4565d2e8e1983b8108b3a9591268c0,502a00c924085a0610c671a7d34596805a52bcd56f4f284f2559695761272ca3
benchmark_rexxcps_levelb_opt.rxas,1618,1618,0,104,104,0,c5cc22ad1458ec4b51f8649deee714bf8abf00ae43d3033177e7b511303ed923,6391e96200f52d3752d714ed4f9f929a4b3c1e400ad3e1792fa237cce0f47813
benchmark_runner_opt.rxas,2640,2640,0,418,418,0,f25c79488d6d1d97ae3831d865a698fe6e3ddcab03b853bc32065ca5fa2fc104,f25c79488d6d1d97ae3831d865a698fe6e3ddcab03b853bc32065ca5fa2fc104
nr03_evidence_tool_selftest_opt.rxas,21470,21466,-4,2634,2630,-4,8762a22709a50664adacdc214648443c7d6018d1a0256fc61317c792b21bfa0d,8517925e1fe7d44be3ffd47a0e82931d1b0f5426e0ad2b294bb225feb3345399
nr10_artifact_inventory_selftest_opt.rxas,2739,2739,0,300,300,0,b8fb4ff28e80c1b8e6a40c691b249358a8cbe6ea7731d36af4cbe5c34c2c1743,b8fb4ff28e80c1b8e6a40c691b249358a8cbe6ea7731d36af4cbe5c34c2c1743
nr10_cross_runtime_matrix_selftest_opt.rxas,11556,11555,-1,1537,1536,-1,163edd7fcad948d7e9e06b03e159501965c00f7c1bafbdee8b91376353573328,da02679b8cb2b012e0d50905bf49eeaf2469a11187dddc4a213b65594a47419c
nr10_lifecycle_tool_selftest_opt.rxas,3552,3551,-1,451,450,-1,219b5a4e915e0465e393af89b7ff2456876402a70d995feecb61343ca14e55ca,e65eab27d683fff7ef612247e42d9c9341fb8950fe8abbd4fc159ab7ea1e8658
