vm_mode,comparison,n,native_cps_delta_median_percent,native_cps_delta_mean_percent,native_cps_delta_ci95_low_percent,native_cps_delta_ci95_high_percent,native_cps_delta_q1_percent,native_cps_delta_q3_percent,native_cps_favorable_count,native_cps_delta_min_percent,native_cps_delta_max_percent,process_real_delta_median_percent,process_real_delta_mean_percent,process_real_delta_ci95_low_percent,process_real_delta_ci95_high_percent,process_real_delta_q1_percent,process_real_delta_q3_percent,process_real_favorable_count,process_real_delta_min_percent,process_real_delta_max_percent
rxvm,infrastructure_B_vs_A,12,-0.845905,+1.007707,-1.895286,+3.910700,-1.228265,+0.909828,5,-2.417199,+14.250188,+0.888804,-0.831235,-3.439534,+1.777064,-0.835395,+1.238848,5,-12.487512,+2.453988
rxvm,corrected_product_C_vs_B,12,+1.345013,+0.482502,-1.349770,+2.314774,+0.083698,+2.411879,9,-6.372846,+3.675164,-1.320386,-0.383820,-2.262746,+1.495106,-2.288522,-0.117736,9,-3.550296,+6.854345
rxvm,overall_C_vs_A,12,+1.384761,+1.417451,-0.747566,+3.582468,-0.902049,+2.227564,8,-2.664514,+10.210162,-1.311271,-1.284921,-3.305429,+0.735587,-2.118138,+0.853117,8,-9.290709,+2.702703
rxbvm,infrastructure_B_vs_A,12,+0.934389,+0.286822,-0.915643,+1.489286,-1.095575,+1.583200,8,-4.014550,+2.209385,-0.910710,-0.264128,-1.484858,+0.956603,-1.560659,+1.106884,8,-2.232667,+4.127358
rxbvm,corrected_product_C_vs_B,12,+2.106349,+1.639693,-0.099542,+3.378929,+0.391863,+3.085901,10,-5.192754,+4.883333,-2.046692,-1.555314,-3.296817,+0.186188,-3.009895,-0.358213,10,-4.689332,+5.454545
rxbvm,overall_C_vs_A,12,+2.868256,+1.914391,+0.161543,+3.667239,+0.018346,+3.855228,9,-3.384348,+5.253028,-2.828215,-1.832315,-3.547645,-0.116985,-3.733258,+0.007856,9,-4.953917,+3.448276
