sequence,vm_mode,phase,round,position,cell,vm_binary,image,library,native_cps,process_real_s,effective_count,pass,started_utc,ended_utc,stdout,stderr
50,rxbvm,recorded,8,2,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/library.rxbin,1218021,8.22,100,1,2026-07-19T20:34:13Z,2026-07-19T20:34:22Z,raw/050-rxbvm-recorded-r08-p2-cellC.stdout.txt,raw/050-rxbvm-recorded-r08-p2-cellC.stderr.txt
51,rxbvm,recorded,8,3,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1163343,8.61,100,1,2026-07-19T20:34:22Z,2026-07-19T20:34:30Z,raw/051-rxbvm-recorded-r08-p3-cellB.stdout.txt,raw/051-rxbvm-recorded-r08-p3-cellB.stderr.txt
52,rxvm,recorded,8,1,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1195673,8.38,100,1,2026-07-19T20:34:30Z,2026-07-19T20:34:39Z,raw/052-rxvm-recorded-r08-p1-cellA.stdout.txt,raw/052-rxvm-recorded-r08-p1-cellA.stderr.txt
53,rxvm,recorded,8,2,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/library.rxbin,1219552,8.22,100,1,2026-07-19T20:34:39Z,2026-07-19T20:34:47Z,raw/053-rxvm-recorded-r08-p2-cellC.stdout.txt,raw/053-rxvm-recorded-r08-p2-cellC.stderr.txt
54,rxvm,recorded,8,3,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1200893,8.34,100,1,2026-07-19T20:34:47Z,2026-07-19T20:34:55Z,raw/054-rxvm-recorded-r08-p3-cellB.stdout.txt,raw/054-rxvm-recorded-r08-p3-cellB.stderr.txt
55,rxvm,recorded,9,1,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/library.rxbin,1204867,8.31,100,1,2026-07-19T20:34:55Z,2026-07-19T20:35:04Z,raw/055-rxvm-recorded-r09-p1-cellC.stdout.txt,raw/055-rxvm-recorded-r09-p1-cellC.stderr.txt
56,rxvm,recorded,9,2,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1199560,8.35,100,1,2026-07-19T20:35:04Z,2026-07-19T20:35:12Z,raw/056-rxvm-recorded-r09-p2-cellB.stdout.txt,raw/056-rxvm-recorded-r09-p2-cellB.stderr.txt
57,rxvm,recorded,9,3,A,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/rxvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1229274,8.15,100,1,2026-07-19T20:35:12Z,2026-07-19T20:35:20Z,raw/057-rxvm-recorded-r09-p3-cellA.stdout.txt,raw/057-rxvm-recorded-r09-p3-cellA.stderr.txt
58,rxbvm,recorded,9,1,C,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/images/cell-c.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/library.rxbin,1202260,8.33,100,1,2026-07-19T20:35:20Z,2026-07-19T20:35:28Z,raw/058-rxbvm-recorded-r09-p1-cellC.stdout.txt,raw/058-rxbvm-recorded-r09-p1-cellC.stderr.txt
59,rxbvm,recorded,9,2,B,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/finalrun01/artifacts/candidate/rxbvm,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/images/cell-a.rxbin,/Users/adrian/CLionProjects/CREXX/performance/evidence/2026-07-18-nr-09-large-instruction-batch-first-release-verdict/rebaseline/artifacts/accepted/library.rxbin,1198740,8.36,100,1,2026-07-19T20:35:29Z,2026-07-19T20:35:37Z,raw/059-rxbvm-recorded-r09-p2-cellB.stdout.txt,raw/059-rxbvm-recorded-r09-p2-cellB.stderr.txt
