vm_mode,round,comparison,left_cell,right_cell,left_position,right_position,left_native_cps,right_native_cps,native_cps_delta_percent,left_process_real_s,right_process_real_s,process_real_delta_percent
rxvm,1,infrastructure_B_vs_A,A,B,1,2,1179707,1168354,-0.962358,8.49,8.57,+0.942285
rxvm,1,corrected_product_C_vs_B,B,C,2,3,1168354,1195713,+2.341670,8.57,8.38,-2.217036
rxvm,1,overall_C_vs_A,A,C,1,3,1179707,1195713,+1.356778,8.49,8.38,-1.295642
rxvm,2,infrastructure_B_vs_A,A,B,3,1,1000464,1143032,+14.250188,10.01,8.76,-12.487512
rxvm,2,corrected_product_C_vs_B,B,C,1,2,1143032,1102613,-3.536121,8.76,9.08,+3.652968
rxvm,2,overall_C_vs_A,A,C,3,2,1000464,1102613,+10.210162,10.01,9.08,-9.290709
rxvm,3,infrastructure_B_vs_A,A,B,2,3,1172045,1225873,+4.592656,8.55,8.17,-4.444444
rxvm,3,corrected_product_C_vs_B,B,C,3,1,1225873,1147750,-6.372846,8.17,8.73,+6.854345
rxvm,3,overall_C_vs_A,A,C,2,1,1172045,1147750,-2.072873,8.55,8.73,+2.105263
rxvm,4,infrastructure_B_vs_A,A,B,3,2,1217561,1200801,-1.376522,8.23,8.34,+1.336574
rxvm,4,corrected_product_C_vs_B,B,C,2,1,1200801,1233211,+2.699032,8.34,8.13,-2.517986
rxvm,4,overall_C_vs_A,A,C,3,1,1217561,1233211,+1.285357,8.23,8.13,-1.215067
rxvm,5,infrastructure_B_vs_A,A,B,1,3,1194593,1185879,-0.729453,8.38,8.45,+0.835322
rxvm,5,corrected_product_C_vs_B,B,C,3,2,1185879,1229462,+3.675164,8.45,8.15,-3.550296
rxvm,5,overall_C_vs_A,A,C,1,2,1194593,1229462,+2.918902,8.38,8.15,-2.744630
rxvm,6,infrastructure_B_vs_A,A,B,2,1,1210379,1197362,-1.075448,8.28,8.37,+1.086957
rxvm,6,corrected_product_C_vs_B,B,C,1,3,1197362,1203832,+0.540355,8.37,8.32,-0.597372
rxvm,6,overall_C_vs_A,A,C,2,3,1210379,1203832,-0.540905,8.28,8.32,+0.483092
rxvm,7,infrastructure_B_vs_A,A,B,2,1,1230318,1209540,-1.688832,8.14,8.28,+1.719902
rxvm,7,corrected_product_C_vs_B,B,C,1,3,1209540,1197536,-0.992443,8.28,8.36,+0.966184
rxvm,7,overall_C_vs_A,A,C,2,3,1230318,1197536,-2.664514,8.14,8.36,+2.702703
rxvm,8,infrastructure_B_vs_A,A,B,1,3,1195673,1200893,+0.436574,8.38,8.34,-0.477327
rxvm,8,corrected_product_C_vs_B,B,C,3,2,1200893,1219552,+1.553760,8.34,8.22,-1.438849
rxvm,8,overall_C_vs_A,A,C,1,2,1195673,1219552,+1.997118,8.38,8.22,-1.909308
rxvm,9,infrastructure_B_vs_A,A,B,3,2,1229274,1199560,-2.417199,8.15,8.35,+2.453988
rxvm,9,corrected_product_C_vs_B,B,C,2,1,1199560,1204867,+0.442412,8.35,8.31,-0.479042
rxvm,9,overall_C_vs_A,A,C,3,1,1229274,1204867,-1.985481,8.15,8.31,+1.963190
rxvm,10,infrastructure_B_vs_A,A,B,2,3,1193709,1212127,+1.542922,8.39,8.26,-1.549464
rxvm,10,corrected_product_C_vs_B,B,C,3,1,1212127,1232494,+1.680269,8.26,8.13,-1.573850
rxvm,10,overall_C_vs_A,A,C,2,1,1193709,1232494,+3.249117,8.39,8.13,-3.098927
rxvm,11,infrastructure_B_vs_A,A,B,3,1,1208215,1193972,-1.178846,8.29,8.39,+1.206273
rxvm,11,corrected_product_C_vs_B,B,C,1,2,1193972,1225284,+2.622507,8.39,8.18,-2.502980
rxvm,11,overall_C_vs_A,A,C,3,2,1208215,1225284,+1.412745,8.29,8.18,-1.326900
rxvm,12,infrastructure_B_vs_A,A,B,1,2,1196199,1204558,+0.698797,8.37,8.32,-0.597372
rxvm,12,corrected_product_C_vs_B,B,C,2,3,1204558,1218245,+1.136267,8.32,8.22,-1.201923
rxvm,12,overall_C_vs_A,A,C,1,3,1196199,1218245,+1.843004,8.37,8.22,-1.792115
rxbvm,1,infrastructure_B_vs_A,A,B,1,2,1149793,1160858,+0.962347,8.71,8.63,-0.918485
rxbvm,1,corrected_product_C_vs_B,B,C,2,3,1160858,1152563,-0.714558,8.63,8.69,+0.695249
rxbvm,1,overall_C_vs_A,A,C,1,3,1149793,1152563,+0.240913,8.71,8.69,-0.229621
rxbvm,2,infrastructure_B_vs_A,A,B,3,1,1130809,1141059,+0.906431,8.86,8.78,-0.902935
rxbvm,2,corrected_product_C_vs_B,B,C,1,2,1141059,1164323,+2.038808,8.78,8.60,-2.050114
rxbvm,2,overall_C_vs_A,A,C,3,2,1130809,1164323,+2.963719,8.86,8.60,-2.934537
rxbvm,3,infrastructure_B_vs_A,A,B,2,3,1181851,1134405,-4.014550,8.48,8.83,+4.127358
rxbvm,3,corrected_product_C_vs_B,B,C,3,1,1134405,1157631,+2.047417,8.83,8.65,-2.038505
rxbvm,3,overall_C_vs_A,A,C,2,1,1181851,1157631,-2.049328,8.48,8.65,+2.004717
rxbvm,4,infrastructure_B_vs_A,A,B,3,2,1191692,1214423,+1.907456,8.41,8.25,-1.902497
rxbvm,4,corrected_product_C_vs_B,B,C,2,1,1214423,1151361,-5.192754,8.25,8.70,+5.454545
rxbvm,4,overall_C_vs_A,A,C,3,1,1191692,1151361,-3.384348,8.41,8.70,+3.448276
rxbvm,5,infrastructure_B_vs_A,A,B,1,3,1177056,1187197,+0.861556,8.51,8.44,-0.822562
rxbvm,5,corrected_product_C_vs_B,B,C,3,2,1187197,1221439,+2.884273,8.44,8.20,-2.843602
rxbvm,5,overall_C_vs_A,A,C,1,2,1177056,1221439,+3.770679,8.51,8.20,-3.642773
rxbvm,6,infrastructure_B_vs_A,A,B,2,1,1180785,1199841,+1.613842,8.49,8.35,-1.648999
rxbvm,6,corrected_product_C_vs_B,B,C,1,3,1199841,1229302,+2.455409,8.35,8.15,-2.395210
rxbvm,6,overall_C_vs_A,A,C,2,3,1180785,1229302,+4.108877,8.49,8.15,-4.004711
