vm_mode,cell,position,n,native_cps_mean,process_real_mean_s
rxvm,A,1,4,1191543.000,8.405
rxvm,A,2,4,1201612.750,8.340
rxvm,A,3,4,1163878.500,8.670
rxvm,B,1,4,1185976.500,8.450
rxvm,B,2,4,1193318.250,8.395
rxvm,B,3,4,1206193.000,8.305
rxvm,C,1,4,1204580.500,8.325
rxvm,C,2,4,1194227.750,8.408
rxvm,C,3,4,1203831.500,8.320
rxbvm,A,1,4,1175137.250,8.525
rxbvm,A,2,4,1185518.750,8.453
rxbvm,A,3,4,1164160.000,8.610
rxbvm,B,1,4,1178935.250,8.500
rxbvm,B,2,4,1187152.000,8.442
rxbvm,B,3,4,1168513.250,8.575
rxbvm,C,1,4,1176352.250,8.518
rxbvm,C,2,4,1204591.000,8.317
rxbvm,C,3,4,1210840.500,8.280
